Name;Description;City
Alpaugh.A;Alpaugh;Alpaugh
ALTURAS.C;Alturas Ranger Station;Alturas
ALTURAS.A;Alturas;Alturas
ANTIOCH.C;Antioch Pumping Plant 3;Antioch
Nickels_Soils_Lab.P;Arbuckle/Nickels Soils Lab;Arbuckle
ARYOSECO.A;Arroyo Seco;Arroyo Seco
ARVIN.A;Arvin-Edison;Arvin-Edison
ATASCADERO.A;Atascadero;Atascadero
Auburn.A;Auburn;Auburn
AUBURN.C;Auburn;Auburn
BAKER.C;Baker;Baker
BAKRSFLD.C;Bakersfield WSO Airport;Bakersfield
LOST_HILLS.A;Belridge;Belridge
BENNETT_VALLEY.A;Bennett Valley;Bennett Valley
BIGBAR.C;Big Bar 4 E;Big Bar
Big_Bear_Lake.A;Big Bear Lake;Big Bear Lake
BISHOP.C;Bishop WSO Airport;Bishop
BISHOP.A;Bishop;Bishop
Black_Point.A;Black Point;Black Point
BLACKWLL.A;Blackwells Corner;Blackwells Corner
BLYTHE_NE.A;Blythe Northeast;Blythe Northeast
BLYTHE.C;Blythe;Blythe
Borrego_Springs.A;Borrego Springs;Borrego Springs
BRNTWOOD.A;Brentwood;Brentwood
BRDGPORT.C;Bridgeport;Bridgeport
BRWNSVLY.A;Browns Valley;Browns Valley
BRYTE.A;Bryte;Bryte
BUNTNGVL.A;Buntingville;Buntingville
BURNEY.C;Burney;Burney
CARUTHERS-01.P;CAR (Research PestCast);Caruthers
CLAY_STATION-01.P;CLA (Research PestCast);San Joaquin
Collegeville-02.P;COL2 (Research PestCast);Collegeville
CHICO.C;CSU Chico University Farm;CSU Chico University Farm
Cadiz_Valley.A;Cadiz Valley;Cadiz Valley
SNLSOBPO.C;Cal Poly San Luis Obispo;San Luis
BRAWLEY.A;Calipatria/Mulberry;Calipatria
CAMARILLO.A;Camarillo;Camarillo
CAMINO.A;Camino;Camino
CAMPARDE.C;Camp Pardee;Camp Pardee
Carmel.A;Carmel;Carmel
NAPA.A;Carneros;Carneros
CASTROVL.A;Castroville;Castroville
CATHEDRL.A;Cathedral City;Cathedral City
CEDARVIL.C;Cedarville;Cedarville
CHESTER.C;Chester;Chester
CLEARLAK.C;Clearlake;Clearlake
CLOVRDLE.C;Cloverdale;Cloverdale
Coalinga.A;Coalinga;Coalinga
COALINGA.C;Coalinga;Coalinga
COLFAX.C;Colfax;Colfax
COLUSA.A;Colusa;Colusa
COLUSA.C;Colusa;Colusa
CONCORD.A;Concord;Concord
CORCORAN.C;Corcoran Irrigation District;Corcoran
CORCORAN.T;Corcoran;Corcoran
COVELO.C;Covelo;Covelo
CRESCENT.C;Crescent City 3 NNW;Crescent City
CUYAMA.A;Cuyama;Cuyama
Del_Rey/Fowler-01.P;DELF (Research PestCast);Fresno
DAGGETT.C;Daggett FAA Airport;Daggett
DAVIS.A;Davis;Davis
DAVIS.C;Davis;Davis
DAVIS.T;Davis;Davis
SNTACRUZ.A;De Laveaga;De Laveaga
Delano.A;Delano;Delano
Denair_II.A;Denair II;Denair II
Diamond_Springs.A;Diamond Springs;Diamond Springs
DIXON.A;Dixon;Dixon
DOWNEVIL.C;Downieville;Downieville
DOYLE.C;Doyle 4 SSE;Doyle
DURHAM.A;Durham;Durham
EASTON-01.P;EAS (Research PestCast);Easton
ESCALON-01.P;ESL (Research PestCast);Escalon
ELCENTRO.C;El Centro;El Centro
ESCONDIDO_SPV.A;Escondido SPV;Escondido
Esparto.A;Esparto;Esparto
EUREKA.C;Eureka WSO;Eureka
FIREBAUGH/ALISO-01.P;FRBA (Research PestCast);Firebaugh
FAIR_OAKS.A;Fair Oaks;Fair Oaks
Fair_Play-01.P;Fair Play;Fair Play
FAMOSO.A;Famoso;Famoso
FIREBAGH.A;Firebaugh/Telles;Firebaugh
Five_Points_SW.A;Five Points South West;Five Points
FIVE_PTS.C;Five Points;Five Points
FIVE_PTS.A;Five Points/WSFS USDA;Five Points
FRTJONES.C;Fort Jones Ranger Station;Fort Jones
FRESNO.A;Fresno State;Fresno
FRESNO.C;Fresno Yosemite International Airport;Fresno
Gerber_South.A;Gerber South;Gerber
Gilroy.A;Gilroy;Gilroy
GILROY.C;Gilroy;Gilroy
GLENDALE.A;Glendale;Glendale
