"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: No data were available from station LIVERMOR.C.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation            0          716            0           15            0        "
"                     LIVERMOR.C   BRNTWOOD.A   none         LIVERMOR.C   "
"Air Temps, max/min       0          580            0          151            0        "
"                     LIVERMOR.C   BRNTWOOD.A   none         LIVERMOR.C   "
"Air Temps, observed      0            0            0            0          731        "
"                     LIVERMOR.C   none         none         none         "
"Weather Condition        0            0            0            0          731        "
"                     LIVERMOR.C   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
LIVERMOR.C,20130810,2359,0.000,,30.6,11.1,,,,,,,,,,,,,
LIVERMOR.C,20130811,2359,0.000,,30.6,12.2,,,,,,,,,,,,,
LIVERMOR.C,20130812,2359,0.000,,31.7,11.7,,,,,,,,,,,,,
LIVERMOR.C,20130813,2359,0.000,,33.3,10.0,,,,,,,,,,,,,
LIVERMOR.C,20130814,2359,0.000,,31.1,13.9,,,,,,,,,,,,,
LIVERMOR.C,20130815,2359,0.000,,34.4,13.9,,,,,,,,,,,,,
LIVERMOR.C,20130816,2359,0.000,,33.3,16.1,,,,,,,,,,,,,
LIVERMOR.C,20130817,2359,0.000,,31.1,14.4,,,,,,,,,,,,,
LIVERMOR.C,20130818,2359,0.000,,36.1,15.6,,,,,,,,,,,,,
LIVERMOR.C,20130819,2359,0.000,,34.4,18.3,,,,,,,,,,,,,
LIVERMOR.C,20130820,2359,0.000,,31.7,16.7,,,,,,,,,,,,,
LIVERMOR.C,20130821,2359,0.000,,29.4,13.9,,,,,,,,,,,,,
LIVERMOR.C,20130822,2359,0.000,,30.6,12.2,,,,,,,,,,,,,
LIVERMOR.C,20130823,2359,0.000,,31.1,11.1,,,,,,,,,,,,,
LIVERMOR.C,20130824,2359,0.000,,30.6,13.3,,,,,,,,,,,,,
LIVERMOR.C,20130825,2359,0.000,,29.4,17.2,,,,,,,,,,,,,
LIVERMOR.C,20130826,2359,0.000,,28.3,13.9,,,,,,,,,,,,,
LIVERMOR.C,20130827,2359,0.000,,32.8,12.2,,,,,,,,,,,,,
LIVERMOR.C,20130828,2359,0.000,,31.1,14.4,,,,,,,,,,,,,
LIVERMOR.C,20130829,2359,0.000,,30.6,13.9,,,,,,,,,,,,,
LIVERMOR.C,20130830,2359,0.000,,33.9,14.4,,,,,,,,,,,,,
LIVERMOR.C,20130831,2359,0.000,,32.2,13.9,,,,,,,,,,,,,
LIVERMOR.C,20130901,2359,0.000,,32.2,17.2,,,,,,,,,,,,,
LIVERMOR.C,20130902,2359,0.000,,29.4,20.6,,,,,,,,,,,,,
LIVERMOR.C,20130903,2359,0.000,,29.4,13.3,,,,,,,,,,,,,
LIVERMOR.C,20130904,2359,0.000,,30.0,13.3,,,,,,,,,,,,,
LIVERMOR.C,20130905,2359,0.000,,32.2,13.3,,,,,,,,,,,,,
LIVERMOR.C,20130906,2359,0.000,,31.7,11.1,,,,,,,,,,,,,
LIVERMOR.C,20130907,2359,0.000,,35.0,12.2,,,,,,,,,,,,,
LIVERMOR.C,20130908,2359,0.000,,35.6,15.6,,,,,,,,,,,,,
LIVERMOR.C,20130909,2359,0.000,,36.7,15.6,,,,,,,,,,,,,
LIVERMOR.C,20130910,2359,0.000,,32.2,13.3,,,,,,,,,,,,,
LIVERMOR.C,20130911,2359,0.000,,27.2,13.3,,,,,,,,,,,,,
LIVERMOR.C,20130912,2359,0.000,,30.0,11.7,,,,,,,,,,,,,
LIVERMOR.C,20130913,2359,0.000,,32.2,13.9,,,,,,,,,,,,,
LIVERMOR.C,20130914,2359,0.000,,31.1,12.2,,,,,,,,,,,,,
LIVERMOR.C,20130915,2359,0.000,,28.9,10.6,,,,,,,,,,,,,
LIVERMOR.C,20130916,2359,0.000,,30.6,12.8,,,,,,,,,,,,,
LIVERMOR.C,20130917,2359,0.000,,26.1,14.4,,,,,,,,,,,,,
LIVERMOR.C,20130918,2359,0.000,,29.4,14.4,,,,,,,,,,,,,
LIVERMOR.C,20130919,2359,0.000,,31.7,8.9,,,,,,,,,,,,,
LIVERMOR.C,20130920,2359,0.000,,26.1,10.6,,,,,,,,,,,,,
LIVERMOR.C,20130921,2359,0.000,,21.7,13.9,,,,,,,,,,,,,
LIVERMOR.C,20130922,2359,0.000,,23.9,10.0,,,,,,,,,,,,,
LIVERMOR.C,20130923,2359,0.000,,27.8,11.1,,,,,,,,,,,,,
LIVERMOR.C,20130924,2359,0.000,,26.7,14.4,,,,,,,,,,,,,
LIVERMOR.C,20130925,2359,0.000,,22.2,13.3,,,,,,,,,,,,,
LIVERMOR.C,20130926,2359,0.000,,24.4,12.8,,,,,,,,,,,,,
LIVERMOR.C,20130927,2359,0.000,,26.1,12.2,,,,,,,,,,,,,
LIVERMOR.C,20130928,2359,0.000,,28.9,7.8,,,,,,,,,,,,,
LIVERMOR.C,20130929,2359,0.000,,26.1,12.8,,,,,,,,,,,,,
LIVERMOR.C,20130930,2359,0.000,,28.9,11.7,,,,,,,,,,,,,
LIVERMOR.C,20131001,2359,5.076,,24.4,10.6,,,,,,,,,,,,,
LIVERMOR.C,20131002,2359,0.000,,26.1,11.1,,,,,,,,,,,,,
LIVERMOR.C,20131003,2359,0.761,,23.3,13.3,,,,,,,,,,,,,
LIVERMOR.C,20131004,2359,0.000,,26.7,12.2,,,,,,,,,,,,,
LIVERMOR.C,20131005,2359,4.822,,28.3,8.3,,,,,,,,,,,,,
LIVERMOR.C,20131006,2359,0.000,,27.8,7.2,,,,,,,,,,,,,
LIVERMOR.C,20131007,2359,0.000,,28.9,9.4,,,,,,,,,,,,,
LIVERMOR.C,20131008,2359,0.000,,25.0,11.1,,,,,,,,,,,,,
LIVERMOR.C,20131009,2359,0.000,,22.2,11.1,,,,,,,,,,,,,
LIVERMOR.C,20131010,2359,0.000,,23.9,8.3,,,,,,,,,,,,,
LIVERMOR.C,20131011,2359,0.000,,22.2,6.7,,,,,,,,,,,,,
LIVERMOR.C,20131012,2359,0.000,,24.4,5.6,,,,,,,,,,,,,
LIVERMOR.C,20131013,2359,0.000,,23.9,11.1,,,,,,,,,,,,,
LIVERMOR.C,20131014,2359,0.000,,25.0,9.4,,,,,,,,,,,,,
