"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station DURHAM.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          708            0            0           23            0        "
"                     DURHAM.A     ORLAND2.A    CHICO.C      DURHAM.A     "
"Air Temps, max/min     683            0            0           48            0        "
"                     DURHAM.A     ORLAND2.A    CHICO.C      DURHAM.A     "
"Soil Temps, max/min    706            0            0            0           25        "
"                     DURHAM.A     ORLAND2.A    none         none         "
"Rel. Humidity          686            0            0            0           45        "
"                     DURHAM.A     none         none         none         "
"ETo                    716            0            0            0           15        "
"                     DURHAM.A     none         none         none         "
"Solar Radiation        703            0            0           28            0        "
"                     DURHAM.A     ORLAND2.A    none         DURHAM.A     "
"Wind Speed & Dir       708            0            0            0           23        "
"                     DURHAM.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DURHAM.A,20130810,2359,0.000,,28.9,12.8,,,0,0,,,22.2,21.1,,294,5.076,93.0,50.0
DURHAM.A,20130811,2359,0.000,,30.6,13.3,,,0,0,,,22.8,21.1,,297,5.330,95.0,46.0
DURHAM.A,20130812,2359,0.000,,30.6,13.3,,,0,0,,,22.8,21.1,,288,5.076,94.0,40.0
DURHAM.A,20130813,2359,0.000,,33.3,12.8,,,0,0,,,22.2,21.1,,304,5.584,93.0,38.0
DURHAM.A,20130814,2359,0.000,,33.3,18.3,,,0,0,,,23.9,21.1,,354,5.584,94.0,37.0
DURHAM.A,20130815,2359,0.000,,32.8,13.3,,,0,0,,,24.4,21.7,,300,5.584,95.0,43.0
DURHAM.A,20130816,2359,0.000,,33.9,15.0,,,0,0,,,25.0,22.2,,296,5.076,100.0,0.0
DURHAM.A,20130817,2359,0.000,,33.3,15.0,,,0,0,,,26.1,22.8,,279,4.822,100.0,0.0
DURHAM.A,20130818,2359,0.000,,33.3,16.7,,,0,0,,,26.1,23.9,,278,5.330,85.0,0.0
DURHAM.A,20130819,2359,0.000,,31.7,18.9,,,0,0,,,25.6,24.4,,113,2.284,73.0,28.0
DURHAM.A,20130820,2359,0.000,,31.1,13.9,,,0,0,,,,,,278,4.315,97.0,45.0
DURHAM.A,20130821,2359,0.000,,31.1,17.8,,,0,0,,,26.1,24.4,,268,4.822,95.0,59.0
DURHAM.A,20130822,2359,0.000,,31.7,15.6,,,0,0,,,25.6,23.9,,271,4.569,100.0,49.0
DURHAM.A,20130823,2359,0.000,,30.0,12.2,,,0,0,,,25.0,23.3,,284,4.822,97.0,53.0
DURHAM.A,20130824,2359,0.000,,30.0,13.9,,,0,0,,,24.4,22.8,,269,4.822,97.0,56.0
DURHAM.A,20130825,2359,0.000,,29.4,16.1,,,0,0,,,24.4,23.3,,272,4.822,92.0,51.0
DURHAM.A,20130826,2359,0.000,,29.4,14.4,,,0,0,,,24.4,22.8,,283,4.822,96.0,42.0
DURHAM.A,20130827,2359,0.000,,32.2,11.7,,,0,0,,,23.9,22.2,,282,5.330,97.0,39.0
DURHAM.A,20130828,2359,0.000,,31.7,14.4,,,0,0,,,23.9,22.2,,276,5.076,94.0,41.0
