"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 83% of requested data were available from station COLUSA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          716            0            0           15            0        "
"                     COLUSA.A     none         COLUSA.C     COLUSA.A     "
"Air Temps, max/min     705           16            0           10            0        "
"                     COLUSA.A     DURHAM.A     COLUSA.C     COLUSA.A     "
"Soil Temps, max/min    716            0            0           15            0        "
"                     COLUSA.A     none         none         COLUSA.A     "
"Rel. Humidity          698            0            0            0           33        "
"                     COLUSA.A     none         none         none         "
"ETo                      0            0            0            0          731        "
"                     COLUSA.A     none         none         none         "
"Solar Radiation        710            0            0           21            0        "
"                     COLUSA.A     none         none         COLUSA.A     "
"Wind Speed & Dir       708            0            0            0           23        "
"                     COLUSA.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
COLUSA.A,20130810,2359,0.000,,29.4,13.9,,,0,0,,,23.3,22.2,,289,,94.0,39.0
COLUSA.A,20130811,2359,0.000,,31.1,13.9,,,0,0,,,23.3,22.2,,290,,95.0,35.0
COLUSA.A,20130812,2359,0.000,,31.7,13.9,,,0,0,,,23.9,22.2,,290,,88.0,27.0
COLUSA.A,20130813,2359,0.000,,34.4,13.3,,,0,0,,,23.9,22.2,,299,,97.0,26.0
COLUSA.A,20130814,2359,0.000,,34.4,14.4,,,0,0,,,23.9,22.2,,295,,86.0,24.0
COLUSA.A,20130815,2359,0.000,,33.9,15.6,,,0,0,,,23.9,22.2,,293,,93.0,35.0
COLUSA.A,20130816,2359,0.000,,34.4,23.3,,,0,0,,,25.6,23.3,,319,,91.0,32.0
COLUSA.A,20130817,2359,0.000,,36.1,16.7,,,0,0,,,29.4,21.7,,274,,78.0,32.0
COLUSA.A,20130818,2359,0.000,,36.7,17.8,,,0,0,,,28.9,26.7,,275,,90.0,32.0
COLUSA.A,20130819,2359,0.000,,33.3,20.6,,,0,0,,,28.3,26.7,,115,,93.0,50.0
COLUSA.A,20130820,2359,0.000,,34.4,20.6,,,0,0,,,27.8,25.6,,245,,75.0,38.0
COLUSA.A,20130821,2359,0.000,,31.1,17.8,,,0,0,,,27.8,25.6,,267,,79.0,35.0
COLUSA.A,20130822,2359,0.000,,31.1,15.6,,,0,0,,,26.7,24.4,,274,,81.0,36.0
COLUSA.A,20130823,2359,0.000,,31.1,12.8,,,0,0,,,26.1,23.9,,278,,92.0,35.0
COLUSA.A,20130824,2359,0.000,,30.0,15.6,,,0,0,,,26.1,23.9,,263,,84.0,39.0
COLUSA.A,20130825,2359,0.000,,30.6,17.2,,,0,0,,,25.6,23.9,,267,,92.0,35.0
COLUSA.A,20130826,2359,0.000,,31.1,15.0,,,0,0,,,25.6,23.9,,278,,94.0,32.0
COLUSA.A,20130827,2359,0.000,,32.2,12.2,,,0,0,,,25.6,23.9,,276,,97.0,29.0
COLUSA.A,20130828,2359,0.000,,32.2,16.1,,,0,0,,,25.6,23.3,,271,,88.0,31.0
COLUSA.A,20130829,2359,0.000,,32.2,17.2,,,0,0,,,25.6,23.9,,269,,92.0,37.0
COLUSA.A,20130830,2359,0.000,,35.0,15.6,,,0,0,,,26.1,23.9,,267,,95.0,31.0
COLUSA.A,20130831,2359,0.000,,34.4,16.1,,,0,0,,,26.1,23.9,,271,,82.0,29.0
COLUSA.A,20130901,2359,0.000,,29.4,17.2,,,0,0,,,25.6,17.2,,171,,81.0,39.0
