"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 92% of requested data were available from station BRNTWOOD.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          716            0            0           15            0        "
"                     BRNTWOOD.A   none         TRACY.C      BRNTWOOD.A   "
"Air Temps, max/min     580            0            0          151            0        "
"                     BRNTWOOD.A   none         TRACY.C      BRNTWOOD.A   "
"Soil Temps, max/min    696            0            0           35            0        "
"                     BRNTWOOD.A   none         none         BRNTWOOD.A   "
"Rel. Humidity          617            0            0            0          114        "
"                     BRNTWOOD.A   none         none         none         "
"ETo                    716            0            0            0           15        "
"                     BRNTWOOD.A   none         none         none         "
"Solar Radiation        696            0            0           35            0        "
"                     BRNTWOOD.A   none         none         BRNTWOOD.A   "
"Wind Speed & Dir       708            0            0            0           23        "
"                     BRNTWOOD.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
BRNTWOOD.A,20130810,2359,0.000,,30.6,11.1,,,0,0,,,24.4,21.1,,305,5.838,92.0,35.0
BRNTWOOD.A,20130811,2359,0.000,,30.6,12.2,,,0,0,,,24.4,21.1,,304,6.345,90.0,31.0
BRNTWOOD.A,20130812,2359,0.000,,31.7,11.7,,,0,0,,,24.4,21.1,,308,6.091,86.0,28.0
BRNTWOOD.A,20130813,2359,0.000,,33.3,10.0,,,0,0,,,24.4,20.6,,310,6.599,91.0,28.0
BRNTWOOD.A,20130814,2359,0.000,,32.2,13.3,,,0,0,,,25.0,21.7,,298,6.599,83.0,23.0
BRNTWOOD.A,20130815,2359,0.000,,34.4,13.9,,,0,0,,,25.6,21.7,,307,6.345,84.0,29.0
BRNTWOOD.A,20130816,2359,0.000,,33.3,16.1,,,0,0,,,25.6,22.2,,300,6.599,82.0,35.0
BRNTWOOD.A,20130817,2359,0.000,,31.1,14.4,,,0,0,,,24.4,22.2,,229,5.076,87.0,35.0
BRNTWOOD.A,20130818,2359,0.000,,36.1,15.6,,,0,0,,,25.6,21.7,,275,5.838,82.0,30.0
BRNTWOOD.A,20130819,2359,0.000,,34.4,18.3,,,0,0,,,26.1,22.8,,273,6.599,77.0,34.0
BRNTWOOD.A,20130820,2359,0.000,,31.7,16.7,,,0,0,,,25.6,23.3,,279,6.345,76.0,34.0
BRNTWOOD.A,20130821,2359,0.000,,29.4,13.9,,,0,0,,,25.6,22.2,,291,5.838,79.0,43.0
BRNTWOOD.A,20130822,2359,0.000,,30.6,12.2,,,0,0,,,24.4,21.7,,292,6.091,88.0,28.0
BRNTWOOD.A,20130823,2359,0.000,,31.1,11.1,,,0,0,,,24.4,21.1,,290,5.838,87.0,30.0
BRNTWOOD.A,20130824,2359,0.000,,30.6,13.3,,,0,0,,,23.9,21.1,,281,6.345,78.0,26.0
BRNTWOOD.A,20130825,2359,0.000,,29.4,17.2,,,0,0,,,24.4,21.7,,264,5.584,74.0,45.0
BRNTWOOD.A,20130826,2359,0.000,,28.3,13.9,,,0,0,,,23.9,21.1,,286,5.838,84.0,43.0
BRNTWOOD.A,20130827,2359,0.000,,32.8,12.2,,,0,0,,,23.9,21.1,,281,6.091,87.0,31.0
BRNTWOOD.A,20130828,2359,0.000,,31.1,14.4,,,0,0,,,23.9,21.1,,280,6.091,74.0,40.0
