"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station CONCORD.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          719            2            0           10            0        "
"                     CONCORD.A    BRNTWOOD.A   LIVERMOR.C   WALNUTCK.A   "
"Air Temps, max/min     652           60            0           19            0        "
"                     CONCORD.A    BRNTWOOD.A   LIVERMOR.C   WALNUTCK.A   "
"Soil Temps, max/min    695           25            0           11            0        "
"                     CONCORD.A    BRNTWOOD.A   none         WALNUTCK.A   "
"Rel. Humidity          701            0            0            0           30        "
"                     CONCORD.A    none         none         none         "
"ETo                    720            0            0            0           11        "
"                     CONCORD.A    none         none         none         "
"Solar Radiation        694           25            0           12            0        "
"                     CONCORD.A    BRNTWOOD.A   none         WALNUTCK.A   "
"Wind Speed & Dir       712            0            0            0           19        "
"                     CONCORD.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
CONCORD.A,20130810,2359,0.000,,26.1,13.9,,,0,0,,,19.4,18.9,,289,5.330,88.0,46.0
CONCORD.A,20130811,2359,0.000,,27.8,13.9,,,0,0,,,20.0,18.9,,306,5.584,90.0,38.0
CONCORD.A,20130812,2359,0.000,,29.4,13.3,,,0,0,,,20.0,18.9,,306,5.584,87.0,34.0
CONCORD.A,20130813,2359,0.000,,32.8,11.1,,,0,0,,,20.0,18.3,,310,5.838,90.0,19.0
CONCORD.A,20130814,2359,0.000,,30.6,15.0,,,0,0,,,20.0,18.9,,308,6.091,83.0,28.0
CONCORD.A,20130815,2359,0.000,,30.0,16.7,,,0,0,,,20.6,19.4,,304,5.838,87.0,42.0
CONCORD.A,20130816,2359,0.000,,31.7,16.7,,,0,0,,,20.6,19.4,,298,6.091,89.0,34.0
CONCORD.A,20130817,2359,0.000,,28.3,16.7,,,0,0,,,20.6,20.0,,178,3.300,80.0,41.0
CONCORD.A,20130818,2359,0.000,,35.6,13.9,,,0,0,,,20.6,19.4,,279,5.584,89.0,29.0
CONCORD.A,20130819,2359,0.000,,31.7,16.7,,,0,0,,,20.6,20.0,,267,5.838,84.0,34.0
CONCORD.A,20130820,2359,0.000,,28.9,14.4,,,0,0,,,20.6,20.0,,276,5.584,84.0,30.0
CONCORD.A,20130821,2359,0.000,,27.2,13.9,,,0,0,,,20.0,19.4,,286,5.330,85.0,36.0
CONCORD.A,20130822,2359,0.000,,24.4,13.9,,,0,0,,,20.0,18.9,,291,5.076,84.0,45.0
CONCORD.A,20130823,2359,0.000,,27.2,13.9,,,0,0,,,20.0,18.9,,286,5.076,84.0,37.0
CONCORD.A,20130824,2359,0.000,,27.8,14.4,,,0,0,,,20.0,18.9,,282,5.330,85.0,40.0
CONCORD.A,20130825,2359,0.000,,28.3,16.1,,,0,0,,,20.6,19.4,,272,5.076,87.0,44.0
CONCORD.A,20130826,2359,0.000,,26.7,15.6,,,0,0,,,20.0,19.4,,275,5.076,83.0,40.0
CONCORD.A,20130827,2359,0.000,,29.4,12.8,,,0,0,,,20.0,18.9,,285,5.584,86.0,30.0
CONCORD.A,20130828,2359,0.000,,31.1,14.4,,,0,0,,,23.9,21.1,,280,5.330,86.0,44.0
CONCORD.A,20130829,2359,0.000,,28.9,16.1,,,0,0,,,20.6,19.4,,263,4.822,88.0,41.0
CONCORD.A,20130830,2359,0.000,,32.8,16.1,,,0,0,,,20.6,19.4,,285,5.584,85.0,26.0
CONCORD.A,20130831,2359,0.000,,28.9,14.4,,,0,0,,,20.6,19.4,,281,5.330,80.0,33.0
CONCORD.A,20130901,2359,0.000,,27.8,16.1,,,0,0,,,20.6,19.4,,220,4.569,78.0,36.0
CONCORD.A,20130902,2359,0.000,,27.8,17.8,,,0,0,,,20.6,20.0,,201,4.061,81.0,45.0
CONCORD.A,20130903,2359,0.000,,29.4,13.3,,,0,0,,,23.9,22.2,,271,5.076,83.0,34.0
CONCORD.A,20130904,2359,0.000,,26.7,15.6,,,0,0,,,20.0,19.4,,271,5.076,82.0,39.0
CONCORD.A,20130905,2359,0.000,,27.2,15.6,,,0,0,,,20.0,19.4,,273,5.076,83.0,34.0
CONCORD.A,20130906,2359,0.000,,33.3,11.7,,,0,0,,,20.0,18.9,,272,4.822,90.0,20.0
CONCORD.A,20130907,2359,0.000,,34.4,12.2,,,0,0,,,20.0,18.9,,270,5.076,70.0,16.0
CONCORD.A,20130908,2359,0.000,,34.4,13.3,,,0,0,,,20.0,18.9,,263,5.076,88.0,20.0
CONCORD.A,20130909,2359,0.000,,35.0,13.9,,,0,0,,,20.0,19.4,,255,5.076,88.0,23.0
CONCORD.A,20130910,2359,0.000,,25.0,15.6,,,0,0,,,20.0,19.4,,244,4.315,83.0,52.0
CONCORD.A,20130911,2359,0.000,,23.9,17.2,,,0,0,,,20.0,19.4,,215,3.807,84.0,56.0
CONCORD.A,20130912,2359,0.000,,27.2,15.6,,,0,0,,,20.0,19.4,,221,4.061,87.0,48.0
CONCORD.A,20130913,2359,0.000,,28.3,14.4,,,SW,2,,,20.0,19.4,,241,4.315,87.9,35.5
CONCORD.A,20130914,2359,0.000,,25.0,13.9,,,SW,3,,,19.4,18.9,,251,4.569,88.0,51.0
CONCORD.A,20130915,2359,0.000,,27.2,13.9,,,W,2,,,19.4,18.9,,249,0.254,,
CONCORD.A,20130916,2359,0.000,,28.9,14.4,,,SW,2,,,19.4,18.9,,249,4.569,90.4,35.0
CONCORD.A,20130917,2359,0.000,,24.4,13.9,,,0,0,,,19.4,18.9,,247,4.569,82.0,41.0
CONCORD.A,20130918,2359,0.000,,28.9,10.6,,,0,0,,,18.9,18.3,,245,4.569,85.0,22.0
CONCORD.A,20130919,2359,0.000,,31.7,8.9,,,0,0,,,18.3,17.8,,249,4.569,87.0,18.0
CONCORD.A,20130920,2359,0.000,,23.9,10.0,,,0,0,,,18.3,17.2,,220,3.807,90.0,57.0
CONCORD.A,20130921,2359,0.000,,20.6,12.2,,,0,0,,,18.3,17.8,,102,1.523,92.0,61.0
CONCORD.A,20130922,2359,0.000,,23.3,9.4,,,0,0,,,17.8,17.2,,237,3.807,95.0,44.0
CONCORD.A,20130923,2359,0.000,,27.8,10.6,,,0,0,,,17.8,17.2,,236,4.061,90.0,33.0
CONCORD.A,20130924,2359,0.000,,25.0,14.4,,,0,0,,,18.3,17.8,,225,4.315,81.0,38.0
CONCORD.A,20130925,2359,0.000,,21.7,9.4,,,0,0,,,17.8,17.2,,234,4.061,84.0,35.0
CONCORD.A,20130926,2359,0.000,,24.4,7.2,,,0,0,,,17.2,16.1,,237,3.807,88.0,22.0
CONCORD.A,20130927,2359,0.000,,26.1,12.2,,,0,0,,,18.3,16.7,,240,3.807,72.0,20.0
CONCORD.A,20130928,2359,0.000,,27.8,7.8,,,0,0,,,17.2,16.1,,230,4.061,79.0,16.0
CONCORD.A,20130929,2359,0.000,,25.0,13.9,,,0,0,,,17.8,16.7,,206,3.300,88.0,51.0
CONCORD.A,20130930,2359,0.000,,24.4,14.4,,,0,0,,,18.3,17.8,,150,2.538,86.0,52.0
CONCORD.A,20131001,2359,0.000,,23.9,11.7,,,0,0,,,18.3,17.2,,219,3.553,81.0,37.0
CONCORD.A,20131002,2359,0.000,,25.0,9.4,,,0,0,,,17.8,16.7,,219,3.807,87.0,33.0
CONCORD.A,20131003,2359,0.000,,23.9,6.7,,,0,0,,,17.8,16.1,,226,4.061,80.0,18.0
CONCORD.A,20131004,2359,0.000,,27.8,10.0,,,0,0,,,17.2,16.1,,221,4.569,54.0,14.0
CONCORD.A,20131005,2359,0.000,,28.3,9.4,,,0,0,,,17.2,16.1,,223,4.061,59.0,14.0
CONCORD.A,20131006,2359,0.000,,28.9,6.1,,,0,0,,,16.7,15.6,,185,3.300,65.0,14.0
CONCORD.A,20131007,2359,0.000,,28.3,8.3,,,0,0,,,16.7,15.6,,209,4.061,63.0,12.0
CONCORD.A,20131008,2359,0.000,,25.0,7.8,,,0,0,,,16.7,15.6,,187,3.046,80.0,25.0
CONCORD.A,20131009,2359,0.000,,21.7,8.9,,,0,0,,,16.7,15.6,,198,3.046,82.0,33.0
CONCORD.A,20131010,2359,0.000,,23.3,8.3,,,0,0,,,16.1,15.0,,197,3.046,87.0,33.0
CONCORD.A,20131011,2359,0.000,,21.7,6.7,,,0,0,,,16.1,15.0,,193,2.792,92.0,39.0
CONCORD.A,20131012,2359,0.000,,23.3,5.6,,,0,0,,,15.6,14.4,,195,3.046,,
CONCORD.A,20131013,2359,0.000,,24.4,6.7,,,0,0,,,15.6,14.4,,199,3.046,90.0,26.0
CONCORD.A,20131014,2359,0.000,,25.6,5.6,,,0,0,,,15.6,14.4,,198,3.300,81.0,20.0
CONCORD.A,20131015,2359,0.000,,27.2,6.1,,,0,0,,,15.6,14.4,,199,3.553,71.0,17.0
CONCORD.A,20131016,2359,0.000,,27.2,6.7,,,0,0,,,15.6,13.9,,190,3.300,60.0,20.0
CONCORD.A,20131017,2359,0.000,,27.8,6.7,,,0,0,,,15.6,13.9,,191,3.300,64.0,15.0
CONCORD.A,20131018,2359,0.000,,28.3,6.1,,,0,0,,,15.6,13.9,,188,3.046,72.0,20.0
CONCORD.A,20131019,2359,0.000,,28.3,6.7,,,0,0,,,15.6,13.9,,183,3.046,78.0,21.0
CONCORD.A,20131020,2359,0.000,,26.7,5.6,,,0,0,,,15.0,13.9,,182,2.792,88.0,28.0
CONCORD.A,20131021,2359,0.000,,23.3,7.2,,,0,0,,,15.6,14.4,,173,2.538,93.0,42.0
CONCORD.A,20131022,2359,0.000,,28.3,5.6,,,0,0,,,15.6,13.9,,176,2.538,94.0,25.0
CONCORD.A,20131023,2359,0.000,,23.3,7.2,,,0,0,,,15.0,14.4,,171,2.538,95.0,41.0
CONCORD.A,20131024,2359,0.000,,18.3,8.9,,,0,0,,,15.0,14.4,,176,2.284,89.0,54.0
CONCORD.A,20131025,2359,0.000,,21.7,7.2,,,0,0,,,15.0,13.9,,156,2.284,92.0,43.0
CONCORD.A,20131026,2359,0.000,,26.7,5.0,,,0,0,,,15.0,13.9,,166,2.538,92.0,26.0
CONCORD.A,20131027,2359,0.000,,16.7,6.1,,,0,0,,,14.4,13.9,,154,2.284,92.0,62.0
CONCORD.A,20131028,2359,0.000,,17.8,8.3,,,0,0,,,14.4,13.3,,160,2.284,81.0,48.0
CONCORD.A,20131029,2359,0.000,,17.2,6.1,,,0,0,,,14.4,13.9,,108,1.269,89.0,51.0
CONCORD.A,20131030,2359,0.000,,20.0,3.9,,,0,0,,,13.9,12.8,,153,2.031,93.0,41.0
CONCORD.A,20131031,2359,0.000,,20.0,4.4,,,0,0,,,15.6,12.8,,213,2.284,90.0,33.0
CONCORD.A,20131101,2359,0.000,,23.3,4.4,,,0,0,,,15.6,13.3,,162,2.538,88.0,31.0
CONCORD.A,20131102,2359,0.000,,22.8,5.0,,,0,0,,,13.9,12.8,,140,2.284,89.0,33.0
CONCORD.A,20131103,2359,0.508,,18.3,2.2,,,0,0,,,13.3,12.2,,122,1.777,93.0,24.0
CONCORD.A,20131104,2359,0.000,,21.7,1.7,,,0,0,,,12.8,11.7,,154,2.538,83.0,17.0
CONCORD.A,20131105,2359,0.508,,22.8,4.4,,,0,0,,,12.8,11.7,,145,2.284,69.0,24.0
CONCORD.A,20131106,2359,0.254,,21.1,4.4,,,0,0,,,12.8,11.7,,135,2.284,78.0,31.0
CONCORD.A,20131107,2359,0.000,,24.4,7.2,,,0,0,,,13.3,12.2,,141,2.284,68.0,25.0
CONCORD.A,20131108,2359,0.254,,23.9,5.0,,,0,0,,,13.3,12.2,,140,2.284,87.0,34.0
CONCORD.A,20131109,2359,0.000,,22.2,5.0,,,0,0,,,12.8,12.2,,130,2.031,91.0,37.0
CONCORD.A,20131110,2359,0.508,,18.9,4.4,,,0,0,,,12.8,11.7,,137,1.777,91.0,55.0
CONCORD.A,20131111,2359,0.000,,20.6,5.6,,,0,0,,,12.8,11.7,,97,1.269,96.0,42.0
CONCORD.A,20131112,2359,0.254,,21.1,7.8,,,0,0,,,13.3,12.8,,89,1.523,80.0,40.0
CONCORD.A,20131113,2359,0.000,,25.0,5.0,,,0,0,,,13.3,12.2,,133,2.031,90.0,32.0
CONCORD.A,20131114,2359,0.000,,17.8,6.1,,,0,0,,,13.3,12.2,,116,1.777,95.0,51.0
CONCORD.A,20131115,2359,0.000,,19.4,5.0,,,0,0,,,12.8,12.2,,133,2.031,77.0,27.0
CONCORD.A,20131116,2359,0.508,,18.9,5.6,,,0,0,,,12.8,11.7,,129,1.777,87.0,34.0
