"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station MORAGA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          719            1            0           11            0        "
"                     MORAGA.A     CONCORD.A    CONCORD.A    WALNUTCK.A   "
"Air Temps, max/min     694           19            0           18            0        "
"                     MORAGA.A     CONCORD.A    CONCORD.A    WALNUTCK.A   "
"Soil Temps, max/min    694           22            0           15            0        "
"                     MORAGA.A     CONCORD.A    none         WALNUTCK.A   "
"Rel. Humidity          711            0            0            0           20        "
"                     MORAGA.A     none         none         none         "
"ETo                    721            0            0            0           10        "
"                     MORAGA.A     none         none         none         "
"Solar Radiation        693           20            0           18            0        "
"                     MORAGA.A     CONCORD.A    CONCORD.A    WALNUTCK.A   "
"Wind Speed & Dir       713            0            0            0           18        "
"                     MORAGA.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
MORAGA.A,20130810,2359,0.000,,22.2,12.8,,,0,0,,,21.1,18.9,,247,4.061,97.0,62.0
MORAGA.A,20130811,2359,0.000,,25.6,12.2,,,0,0,,,21.1,18.9,,248,4.061,99.0,49.0
MORAGA.A,20130812,2359,0.000,,27.2,12.8,,,0,0,,,21.7,18.3,,286,5.076,96.0,35.0
MORAGA.A,20130813,2359,0.000,,32.2,11.7,,,0,0,,,21.7,18.9,,302,5.838,97.0,27.0
MORAGA.A,20130814,2359,0.000,,27.8,12.2,,,0,0,,,21.1,18.9,,296,5.330,96.0,39.0
MORAGA.A,20130815,2359,0.000,,27.2,16.1,,,0,0,,,22.2,19.4,,279,5.076,96.0,53.0
MORAGA.A,20130816,2359,0.000,,28.3,14.4,,,0,0,,,22.2,20.6,,281,5.330,99.0,40.0
MORAGA.A,20130817,2359,0.000,,23.9,14.4,,,0,0,,,21.1,20.0,,167,2.792,95.0,61.0
MORAGA.A,20130818,2359,0.000,,36.7,14.4,,,0,0,,,21.7,19.4,,246,5.076,98.0,17.0
MORAGA.A,20130819,2359,0.000,,33.9,15.6,,,0,0,,,22.8,20.0,,261,5.838,89.0,32.0
MORAGA.A,20130820,2359,0.000,,28.9,13.3,,,0,0,,,22.2,20.0,,268,4.822,94.0,40.0
MORAGA.A,20130821,2359,0.000,,24.4,12.2,,,0,0,,,21.7,19.4,,261,4.315,95.0,50.0
MORAGA.A,20130822,2359,0.000,,21.7,12.2,,,0,0,,,21.1,18.9,,242,3.807,95.0,60.0
MORAGA.A,20130823,2359,0.000,,23.9,12.8,,,0,0,,,21.1,18.9,,234,3.807,93.0,57.0
MORAGA.A,20130824,2359,0.000,,24.4,13.3,,,0,0,,,21.1,18.9,,266,4.569,96.0,56.0
MORAGA.A,20130825,2359,0.000,,25.0,15.6,,,0,0,,,21.7,19.4,,248,4.061,97.0,62.0
MORAGA.A,20130826,2359,0.000,,25.0,13.9,,,0,0,,,21.7,20.0,,259,4.315,94.0,50.0
MORAGA.A,20130827,2359,0.000,,27.2,10.6,,,0,0,,,21.7,18.9,,280,5.076,98.0,43.0
MORAGA.A,20130828,2359,0.000,,26.7,14.4,,,0,0,,,21.7,19.4,,267,4.569,97.0,54.0
MORAGA.A,20130829,2359,0.000,,28.9,16.1,,,0,0,,,20.6,19.4,,263,4.315,98.0,50.0
MORAGA.A,20130830,2359,0.000,,31.7,15.6,,,0,0,,,22.8,20.6,,270,5.076,99.0,29.0
MORAGA.A,20130831,2359,0.000,,26.7,12.8,,,0,0,,,22.2,20.0,,268,4.822,97.0,42.0
MORAGA.A,20130901,2359,0.000,,26.7,14.4,,,0,0,,,21.7,19.4,,231,4.315,95.0,45.0
MORAGA.A,20130902,2359,0.000,,24.4,15.6,,,0,0,,,22.8,20.0,,186,3.300,94.0,62.0
MORAGA.A,20130903,2359,0.000,,31.7,13.9,,,0,0,,,25.6,20.0,,238,4.569,96.0,48.0
MORAGA.A,20130904,2359,0.000,,25.0,14.4,,,0,0,,,23.3,19.4,,268,4.569,94.0,49.0
MORAGA.A,20130905,2359,0.000,,25.0,14.4,,,0,0,,,23.3,20.0,,269,4.822,95.0,44.0
MORAGA.A,20130906,2359,0.000,,32.2,9.4,,,0,0,,,23.3,19.4,,272,5.330,98.0,20.0
MORAGA.A,20130907,2359,0.000,,33.9,10.0,,,0,0,,,23.9,19.4,,269,5.330,91.0,20.0
MORAGA.A,20130908,2359,0.000,,35.0,11.7,,,0,0,,,24.4,19.4,,264,5.330,91.0,20.0
MORAGA.A,20130909,2359,0.000,,35.0,12.2,,,0,0,,,24.4,20.0,,250,5.330,89.0,23.0
MORAGA.A,20130910,2359,0.000,,22.8,13.3,,,0,0,,,23.3,20.6,,238,3.807,93.0,67.0
MORAGA.A,20130911,2359,0.000,,20.6,16.1,,,0,0,,,22.8,20.6,,174,2.792,91.0,71.0
MORAGA.A,20130912,2359,0.000,,24.4,13.9,,,0,0,,,23.9,20.6,,198,3.300,98.0,59.0
MORAGA.A,20130913,2359,0.000,,25.0,13.3,,,SE,3,,,23.3,20.0,,217,3.553,97.7,56.5
MORAGA.A,20130914,2359,0.000,,20.0,12.8,,,SE,3,,,21.7,20.0,,178,2.538,97.9,73.9
MORAGA.A,20130915,2359,0.000,,24.4,13.3,,,SE,2,,,22.8,18.9,,241,4.061,93.7,54.0
MORAGA.A,20130916,2359,0.000,,25.6,14.4,,,SE,2,,,23.3,20.0,,234,4.061,97.4,48.9
MORAGA.A,20130917,2359,0.000,,22.2,11.7,,,0,0,,,22.8,20.0,,241,4.061,95.0,52.0
MORAGA.A,20130918,2359,0.000,,27.2,8.3,,,0,0,,,22.2,18.9,,247,4.569,98.0,28.0
MORAGA.A,20130919,2359,0.000,,31.1,6.7,,,0,0,,,22.2,17.8,,247,4.569,94.0,20.0
MORAGA.A,20130920,2359,0.000,,21.1,11.7,,,0,0,,,21.7,18.9,,164,2.538,94.0,71.0
MORAGA.A,20130921,2359,0.000,,18.3,11.1,,,0,0,,,20.6,18.9,,79,1.015,96.0,76.0
MORAGA.A,20130922,2359,0.000,,21.1,8.9,,,0,0,,,21.1,17.8,,225,3.553,99.0,54.0
MORAGA.A,20130923,2359,0.000,,26.7,7.8,,,0,0,,,21.7,17.8,,233,4.061,98.0,41.0
MORAGA.A,20130924,2359,0.000,,22.2,12.2,,,0,0,,,21.7,18.9,,223,3.807,97.0,51.0
MORAGA.A,20130925,2359,0.000,,19.4,8.3,,,0,0,,,20.6,17.8,,216,3.553,89.0,45.0
MORAGA.A,20130926,2359,0.000,,22.8,6.7,,,0,0,,,20.0,17.2,,233,4.061,92.0,29.0
MORAGA.A,20130927,2359,0.000,,27.8,13.3,,,0,0,,,22.2,18.3,,177,3.807,,
MORAGA.A,20130928,2359,0.000,,26.7,5.0,,,0,0,,,19.4,15.6,,223,4.061,,
MORAGA.A,20130929,2359,0.000,,22.2,11.7,,,0,0,,,19.4,17.2,,155,2.284,97.0,63.0
MORAGA.A,20130930,2359,0.000,,22.2,10.0,,,0,0,,,20.0,18.3,,118,1.777,96.0,68.0
MORAGA.A,20131001,2359,0.000,,22.2,6.1,,,0,0,,,19.4,16.7,,200,3.300,98.0,47.0
MORAGA.A,20131002,2359,0.000,,22.8,6.7,,,0,0,,,19.4,16.1,,211,3.553,98.0,40.0
MORAGA.A,20131003,2359,0.000,,22.8,5.0,,,0,0,,,18.3,15.6,,218,4.822,97.0,18.0
MORAGA.A,20131004,2359,0.000,,25.0,7.8,,,0,0,,,18.3,16.1,,217,5.076,69.0,15.0
MORAGA.A,20131005,2359,0.000,,27.2,6.7,,,0,0,,,18.3,15.6,,217,4.315,81.0,15.0
MORAGA.A,20131006,2359,0.000,,29.4,3.3,,,0,0,,,17.8,14.4,,188,3.553,91.0,18.0
MORAGA.A,20131007,2359,0.000,,27.8,5.0,,,0,0,,,18.3,15.0,,207,4.061,84.0,16.0
MORAGA.A,20131008,2359,0.000,,23.3,5.6,,,0,0,,,17.8,15.0,,196,3.300,97.0,35.0
MORAGA.A,20131009,2359,0.000,,18.9,6.1,,,0,0,,,17.8,15.6,,195,3.046,96.0,43.0
MORAGA.A,20131010,2359,0.000,,21.7,5.0,,,0,0,,,17.2,14.4,,193,3.300,96.0,40.0
MORAGA.A,20131011,2359,0.000,,21.1,5.6,,,0,0,,,17.8,15.0,,176,2.792,97.0,36.0
MORAGA.A,20131012,2359,0.000,,21.1,4.4,,,0,0,,,17.2,14.4,,189,3.046,,
MORAGA.A,20131013,2359,0.000,,23.3,4.4,,,0,0,,,17.2,14.4,,184,3.046,,
MORAGA.A,20131014,2359,0.000,,24.4,2.8,,,0,0,,,16.7,13.9,,194,3.553,,
MORAGA.A,20131015,2359,0.000,,25.6,2.8,,,0,0,,,16.1,13.3,,195,3.807,94.0,18.0
MORAGA.A,20131016,2359,0.000,,27.2,2.8,,,0,0,,,16.1,12.8,,190,3.553,92.0,21.0
MORAGA.A,20131017,2359,0.000,,26.7,2.8,,,0,0,,,16.1,12.8,,188,3.553,95.0,18.0
MORAGA.A,20131018,2359,0.000,,28.3,3.3,,,0,0,,,16.1,12.8,,186,3.300,92.0,23.0
MORAGA.A,20131019,2359,0.000,,27.8,3.9,,,0,0,,,16.1,13.3,,183,3.300,96.0,23.0
