"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station CAMINO.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          719            0            0           12            0        "
"                     CAMINO.A     PLCRVILE.C   PLACRPGE.C   PLCRVILE.C   "
"Air Temps, max/min     700            0            0           31            0        "
"                     CAMINO.A     PLCRVILE.C   PLACRPGE.C   CAMINO.A     "
"Soil Temps, max/min    700            0            0           31            0        "
"                     CAMINO.A     none         none         CAMINO.A     "
"Rel. Humidity          713            0            0            0           18        "
"                     CAMINO.A     none         none         none         "
"ETo                    721            0            0            0           10        "
"                     CAMINO.A     none         none         none         "
"Solar Radiation        698            0            0           33            0        "
"                     CAMINO.A     none         none         CAMINO.A     "
"Wind Speed & Dir       713            0            0            0           18        "
"                     CAMINO.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
CAMINO.A,20130810,2359,0.000,,27.2,13.3,,,0,0,,,18.9,18.3,,307,6.599,59.0,25.0
CAMINO.A,20130811,2359,0.000,,28.3,15.0,,,0,0,,,18.9,18.3,,304,6.599,51.0,22.0
CAMINO.A,20130812,2359,0.000,,29.4,15.6,,,0,0,,,18.9,18.3,,309,7.107,48.0,19.0
CAMINO.A,20130813,2359,0.000,,31.7,16.7,,,0,0,,,18.9,18.3,,307,7.360,39.0,16.0
CAMINO.A,20130814,2359,0.000,,32.8,17.8,,,0,0,,,18.9,18.3,,314,7.360,35.0,12.0
CAMINO.A,20130815,2359,0.000,,32.2,18.3,,,0,0,,,18.9,18.3,,315,7.614,43.0,13.0
CAMINO.A,20130816,2359,0.000,,30.6,16.1,,,0,0,,,24.4,21.7,,308,7.614,41.0,11.0
CAMINO.A,20130817,2359,0.000,,32.2,18.3,,,0,0,,,18.9,18.3,,299,7.360,46.0,15.0
CAMINO.A,20130818,2359,0.000,,35.0,18.9,,,0,0,,,19.4,18.9,,276,6.853,42.0,19.0
CAMINO.A,20130819,2359,0.000,,33.9,20.0,,,0,0,,,19.4,18.9,,161,4.569,57.0,20.0
CAMINO.A,20130820,2359,0.000,,33.9,21.1,,,0,0,,,19.4,19.4,,273,6.853,53.0,23.0
CAMINO.A,20130821,2359,0.000,,30.6,20.0,,,0,0,,,20.0,19.4,,274,6.091,54.0,20.0
CAMINO.A,20130822,2359,0.000,,30.0,18.3,,,0,0,,,20.0,19.4,,291,6.853,50.0,18.0
CAMINO.A,20130823,2359,0.000,,28.3,15.6,,,0,0,,,19.4,18.9,,288,6.345,44.0,21.0
CAMINO.A,20130824,2359,0.000,,27.8,15.6,,,0,0,,,19.4,18.9,,275,6.599,57.0,21.0
CAMINO.A,20130825,2359,0.000,,27.2,13.3,,,0,0,,,18.9,18.3,,258,5.330,74.0,30.0
CAMINO.A,20130826,2359,0.000,,27.8,13.9,,,0,0,,,18.9,18.3,,284,6.091,75.0,28.0
CAMINO.A,20130827,2359,0.000,,29.4,16.7,,,0,0,,,18.9,18.3,,253,6.091,52.0,23.0
CAMINO.A,20130828,2359,0.000,,30.0,17.2,,,0,0,,,18.9,18.9,,277,6.345,61.0,22.0
CAMINO.A,20130829,2359,0.000,,30.0,16.7,,,0,0,,,18.9,18.9,,284,6.345,50.0,22.0
CAMINO.A,20130830,2359,0.000,,32.2,16.7,,,0,0,,,18.9,18.9,,289,6.599,44.0,18.0
CAMINO.A,20130831,2359,0.000,,31.7,18.3,,,0,0,,,18.9,18.9,,278,6.599,38.0,20.0
CAMINO.A,20130901,2359,0.000,,30.0,18.9,,,0,0,,,18.9,18.9,,242,5.838,48.0,22.0
