"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station Diamond_Springs.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          716            0            0           15            0        "
"                     Diamond_Spriûngs.A        PLCRVILE.C   PLACRPGE.C   PLCRVILE.C   "
"Air Temps, max/min     718            0            0           13            0        "
"                     Diamond_Spriûngs.A        PLCRVILE.C   PLACRPGE.C   CAMINO.A     "
"Soil Temps, max/min    719            0            0           12            0        "
"                     Diamond_Spriûngs.A        none         none         CAMINO.A     "
"Rel. Humidity          716            0            0            0           15        "
"                     Diamond_Spriûngs.A        none         none         none         "
"ETo                    719            0            0            0           12        "
"                     Diamond_Spriûngs.A        none         none         none         "
"Solar Radiation        716            0            0           15            0        "
"                     Diamond_Spriûngs.A        none         none         CAMINO.A     "
"Wind Speed & Dir       709            0            0            0           22        "
"                     Diamond_Spriûngs.A        none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Diamond_Springs.A,20130810,2359,0.000,,27.8,14.4,,,0,0,,,23.9,21.1,,321,6.345,61.0,27.0
Diamond_Springs.A,20130811,2359,0.000,,29.4,15.6,,,0,0,,,23.9,21.1,,317,6.345,59.0,23.0
Diamond_Springs.A,20130812,2359,0.000,,29.4,16.7,,,0,0,,,23.9,21.1,,320,6.599,49.0,19.0
Diamond_Springs.A,20130813,2359,0.000,,32.2,17.8,,,0,0,,,24.4,21.1,,321,6.853,41.0,16.0
Diamond_Springs.A,20130814,2359,0.000,,32.8,18.9,,,0,0,,,24.4,21.1,,326,6.853,38.0,15.0
Diamond_Springs.A,20130815,2359,0.000,,32.8,19.4,,,0,0,,,24.4,21.7,,325,6.853,45.0,17.0
Diamond_Springs.A,20130816,2359,0.000,,33.9,21.1,,,0,0,,,23.9,22.2,,342,7.107,46.0,14.0
Diamond_Springs.A,20130817,2359,0.000,,33.3,19.4,,,0,0,,,25.0,21.7,,312,7.107,49.0,16.0
Diamond_Springs.A,20130818,2359,0.000,,34.4,21.1,,,0,0,,,25.0,22.2,,280,6.599,40.0,21.0
Diamond_Springs.A,20130819,2359,0.000,,37.2,23.9,,,0,0,,,25.0,22.8,,248,6.599,48.0,15.0
Diamond_Springs.A,20130820,2359,0.000,,33.3,20.6,,,0,0,,,25.6,22.8,,290,6.345,55.0,25.0
Diamond_Springs.A,20130821,2359,0.000,,31.7,18.3,,,0,0,,,25.6,22.8,,288,6.091,61.0,19.0
Diamond_Springs.A,20130822,2359,0.000,,29.4,16.7,,,0,0,,,24.4,21.7,,299,6.091,56.0,25.0
Diamond_Springs.A,20130823,2359,0.000,,28.9,13.3,,,0,0,,,23.9,21.1,,301,6.091,60.0,22.0
Diamond_Springs.A,20130824,2359,0.000,,28.3,15.0,,,0,0,,,23.9,21.1,,284,6.091,71.0,26.0
Diamond_Springs.A,20130825,2359,0.000,,28.3,15.0,,,0,0,,,23.9,21.1,,283,5.584,75.0,31.0
Diamond_Springs.A,20130826,2359,0.000,,28.3,13.3,,,0,0,,,23.9,21.1,,293,5.584,78.0,29.0
Diamond_Springs.A,20130827,2359,0.000,,31.1,17.8,,,0,0,,,23.9,21.1,,278,6.091,54.0,24.0
Diamond_Springs.A,20130828,2359,0.000,,30.6,17.8,,,0,0,,,24.4,21.7,,283,6.091,54.0,21.0
