"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station Coalinga.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          709           13            0            0            9        "
"                     Coalinga.A   FIVE_PTS.A   STRATFRD.A   COALINGA.A   "
"Air Temps, max/min     696           19            4           12            0        "
"                     Coalinga.A   FIVE_PTS.A   STRATFRD.A   COALINGA.C   "
"Soil Temps, max/min    710           12            0            9            0        "
"                     Coalinga.A   FIVE_PTS.A   STRATFRD.A   PARLIER.A    "
"Rel. Humidity          705            0            0            0           26        "
"                     Coalinga.A   none         none         none         "
"ETo                    711            0            0            0           20        "
"                     Coalinga.A   none         none         none         "
"Solar Radiation        707           12            3            9            0        "
"                     Coalinga.A   FIVE_PTS.A   STRATFRD.A   FIVE_PTS.A   "
"Wind Speed & Dir       703            0            0            0           28        "
"                     Coalinga.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Coalinga.A,20130810,2359,0.000,,32.2,16.7,,,0,0,,,25.6,22.8,,306,7.107,53.0,24.0
Coalinga.A,20130811,2359,0.000,,32.8,18.9,,,0,0,,,26.7,23.3,,307,7.360,47.0,25.0
Coalinga.A,20130812,2359,0.000,,34.4,18.9,,,0,0,,,27.2,23.9,,306,7.360,48.0,20.0
Coalinga.A,20130813,2359,0.000,,36.1,20.0,,,0,0,,,27.2,24.4,,309,7.868,39.0,17.0
Coalinga.A,20130814,2359,0.000,,36.7,20.0,,,0,0,,,27.8,24.4,,309,8.122,38.0,15.0
Coalinga.A,20130815,2359,0.000,,37.2,18.3,,,0,0,,,27.8,24.4,,310,8.122,39.0,14.0
Coalinga.A,20130816,2359,0.000,,36.7,18.9,,,0,0,,,27.2,24.4,,301,7.614,56.0,15.0
Coalinga.A,20130817,2359,0.000,,37.2,20.0,,,0,0,,,26.7,24.4,,295,7.868,42.0,14.0
Coalinga.A,20130818,2359,0.000,,36.1,20.6,,,0,0,,,26.7,23.9,,230,6.853,32.0,18.0
Coalinga.A,20130819,2359,0.000,,39.4,23.3,,,0,0,,,27.8,24.4,,284,8.122,38.0,17.0
Coalinga.A,20130820,2359,0.000,,38.3,21.7,,,0,0,,,27.2,24.4,,293,8.376,60.0,9.0
Coalinga.A,20130821,2359,0.000,,36.7,16.1,,,0,0,,,26.7,23.9,,298,8.122,35.0,9.0
Coalinga.A,20130822,2359,0.000,,36.1,15.0,,,0,0,,,26.7,23.3,,297,7.614,36.0,11.0
Coalinga.A,20130823,2359,0.000,,32.8,16.1,,,0,0,,,25.6,21.7,,293,7.107,54.0,20.0
Coalinga.A,20130824,2359,0.000,,34.4,16.7,,,0,0,,,25.6,22.8,,286,7.360,43.0,19.0
Coalinga.A,20130825,2359,0.000,,32.8,17.2,,,0,0,,,26.1,23.3,,279,6.345,58.0,26.0
Coalinga.A,20130826,2359,0.000,,32.8,16.1,,,0,0,,,26.7,23.3,,286,6.599,64.0,26.0
Coalinga.A,20130827,2359,0.000,,34.4,18.9,,,0,0,,,26.7,23.9,,275,6.599,52.0,19.0
Coalinga.A,20130828,2359,0.000,,35.6,18.9,,,0,0,,,26.7,22.8,,280,6.599,61.0,21.0
Coalinga.A,20130829,2359,0.000,,34.4,18.9,,,0,0,,,26.1,23.3,,278,7.107,42.0,24.0
