"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: No data were available from station FRESNO.C.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation            0          678           43           10            0        "
"                     FRESNO.C     FRESNO.A     PARLIER.A    FRESNO.C     "
"Air Temps, max/min       0          678           44            9            0        "
"                     FRESNO.C     FRESNO.A     PARLIER.A    FRESNO.C     "
"Soil Temps, max/min      0          679           43            0            9        "
"                     FRESNO.C     FRESNO.A     PARLIER.A    FRESNO.C     "
"Solar Radiation          0          670           46            0           15        "
"                     FRESNO.C     FRESNO.A     PARLIER.A    FRESNO.C     "
"Weather Condition        0            0            0            0          731        "
"                     FRESNO.C     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
FRESNO.C,20130810,2359,0.000,,31.7,15.6,,,,,,,25.6,24.4,,304,,,
FRESNO.C,20130811,2359,0.000,,32.2,15.6,,,,,,,25.6,23.9,,306,,,
FRESNO.C,20130812,2359,0.000,,33.9,16.1,,,,,,,25.6,23.3,,304,,,
FRESNO.C,20130813,2359,0.000,,35.0,15.6,,,,,,,25.6,24.4,,308,,,
FRESNO.C,20130814,2359,0.000,,35.6,16.7,,,,,,,25.6,24.4,,307,,,
FRESNO.C,20130815,2359,0.000,,37.8,15.0,,,,,,,26.1,24.4,,298,,,
FRESNO.C,20130816,2359,0.000,,35.6,17.2,,,,,,,26.1,24.4,,295,,,
FRESNO.C,20130817,2359,0.000,,35.6,18.9,,,,,,,26.7,25.0,,290,,,
FRESNO.C,20130818,2359,0.000,,36.1,19.4,,,,,,,26.1,25.0,,245,,,
FRESNO.C,20130819,2359,1.523,,39.4,20.6,,,,,,,27.2,25.6,,281,,,
FRESNO.C,20130820,2359,0.000,,38.3,21.1,,,,,,,27.2,25.6,,286,,,
FRESNO.C,20130821,2359,0.000,,36.1,18.3,,,,,,,27.2,25.6,,290,,,
FRESNO.C,20130822,2359,0.000,,35.6,16.7,,,,,,,26.7,25.6,,292,,,
FRESNO.C,20130823,2359,0.000,,32.8,15.6,,,,,,,26.7,25.0,,290,,,
FRESNO.C,20130824,2359,0.000,,33.3,15.6,,,,,,,26.1,24.4,,287,,,
FRESNO.C,20130825,2359,0.000,,33.9,16.7,,,,,,,26.1,25.0,,283,,,
FRESNO.C,20130826,2359,0.000,,33.3,17.2,,,,,,,26.1,25.0,,284,,,
FRESNO.C,20130827,2359,0.000,,35.0,17.2,,,,,,,26.1,24.4,,272,,,
FRESNO.C,20130828,2359,0.000,,35.6,19.4,,,,,,,26.7,25.0,,275,,,
FRESNO.C,20130829,2359,0.000,,34.4,18.9,,,,,,,26.7,25.0,,274,,,
FRESNO.C,20130830,2359,0.000,,35.6,17.8,,,,,,,26.1,25.0,,269,,,
FRESNO.C,20130831,2359,0.000,,36.7,18.9,,,,,,,26.1,25.0,,225,,,
