"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 82% of requested data were available from station Five_Points_SW.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          709           12            1            9            0        "
"                     Five_Points_ûSW.A         FIVE_PTS.A   STRATFRD.A   FIVE_PTS.A   "
"Air Temps, max/min     699           15            5           12            0        "
"                     Five_Points_ûSW.A         FIVE_PTS.A   STRATFRD.A   FIVE_PTS.A   "
"Soil Temps, max/min    687           34            0           10            0        "
"                     Five_Points_ûSW.A         FIVE_PTS.A   STRATFRD.A   PARLIER.A    "
"Rel. Humidity          699            0            0            0           32        "
"                     Five_Points_ûSW.A         none         none         none         "
"ETo                      0            0            0            0          731        "
"                     Five_Points_ûSW.A         none         none         none         "
"Solar Radiation        706           12            4            9            0        "
"                     Five_Points_ûSW.A         FIVE_PTS.A   STRATFRD.A   FIVE_PTS.A   "
"Wind Speed & Dir       702            0            0            0           29        "
"                     Five_Points_ûSW.A         none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Five_Points_SW.A,20130810,2359,0.000,,33.9,15.0,,,0,0,,,27.8,26.7,,312,,75.0,20.0
Five_Points_SW.A,20130811,2359,0.000,,34.4,16.1,,,0,0,,,27.8,26.7,,312,,67.0,20.0
Five_Points_SW.A,20130812,2359,0.000,,37.2,17.2,,,0,0,,,28.3,26.7,,311,,56.0,16.0
Five_Points_SW.A,20130813,2359,0.000,,37.8,15.6,,,0,0,,,28.3,26.7,,313,,53.0,14.0
Five_Points_SW.A,20130814,2359,0.000,,38.3,16.1,,,0,0,,,28.3,26.7,,313,,48.0,13.0
Five_Points_SW.A,20130815,2359,0.000,,38.9,15.0,,,0,0,,,28.3,26.7,,313,,47.0,12.0
Five_Points_SW.A,20130816,2359,0.000,,38.9,20.6,,,0,0,,,28.3,27.2,,304,,62.0,11.0
Five_Points_SW.A,20130817,2359,0.000,,38.9,19.4,,,0,0,,,28.9,27.2,,293,,58.0,12.0
Five_Points_SW.A,20130818,2359,0.000,,37.2,18.9,,,0,0,,,28.3,27.2,,238,,53.0,19.0
Five_Points_SW.A,20130819,2359,0.000,,42.2,18.9,,,0,0,,,28.9,27.2,,284,,53.0,15.0
Five_Points_SW.A,20130820,2359,0.000,,41.1,20.6,,,0,0,,,28.9,27.8,,291,,67.0,13.0
Five_Points_SW.A,20130821,2359,0.000,,40.0,18.3,,,0,0,,,28.9,27.2,,298,,52.0,7.0
Five_Points_SW.A,20130822,2359,0.000,,38.9,15.6,,,0,0,,,28.9,27.2,,292,,63.0,12.0
Five_Points_SW.A,20130823,2359,0.000,,35.0,16.1,,,0,0,,,28.3,27.2,,295,,65.0,16.0
Five_Points_SW.A,20130824,2359,0.000,,36.1,15.0,,,0,0,,,28.3,26.7,,286,,59.0,15.0
Five_Points_SW.A,20130825,2359,0.000,,35.6,18.3,,,0,0,,,28.3,27.2,,283,,64.0,22.0
Five_Points_SW.A,20130826,2359,0.000,,34.4,17.2,,,0,0,,,28.3,27.2,,286,,71.0,22.0
Five_Points_SW.A,20130827,2359,0.000,,36.1,16.7,,,0,0,,,28.3,27.2,,277,,61.0,20.0
Five_Points_SW.A,20130828,2359,0.000,,36.7,18.3,,,0,0,,,28.9,27.2,,281,,57.0,18.0
Five_Points_SW.A,20130829,2359,0.000,,36.1,18.9,,,0,0,,,28.3,27.2,,280,,68.0,22.0
Five_Points_SW.A,20130830,2359,0.000,,37.8,16.7,,,0,0,,,28.3,27.2,,277,,65.0,14.0
Five_Points_SW.A,20130831,2359,0.000,,38.3,21.1,,,0,0,,,28.3,27.2,,239,,47.0,17.0
Five_Points_SW.A,20130901,2359,0.000,,37.2,21.1,,,0,0,,,28.9,27.2,,231,,50.0,23.0
Five_Points_SW.A,20130902,2359,0.000,,34.4,21.7,,,0,0,,,28.9,27.8,,265,,56.0,28.0
Five_Points_SW.A,20130903,2359,0.000,,33.9,20.0,,,0,0,,,28.9,27.8,,251,,64.0,25.0
Five_Points_SW.A,20130904,2359,0.000,,34.4,17.8,,,0,0,,,28.3,27.2,,268,,58.0,22.0
Five_Points_SW.A,20130905,2359,0.000,,34.4,16.1,,,0,0,,,28.3,27.2,,270,,64.0,20.0
Five_Points_SW.A,20130906,2359,0.000,,34.4,15.6,,,0,0,,,27.8,26.7,,273,,53.0,19.0
Five_Points_SW.A,20130907,2359,0.000,,40.0,14.4,,,0,0,,,27.8,26.7,,270,,51.0,14.0
Five_Points_SW.A,20130908,2359,0.000,,38.9,19.4,,,0,0,,,28.3,26.7,,268,,44.0,12.0
Five_Points_SW.A,20130909,2359,0.000,,38.9,18.3,,,0,0,,,27.8,26.7,,252,,38.0,12.0
Five_Points_SW.A,20130910,2359,0.000,,38.3,16.7,,,0,0,,,27.8,26.7,,250,,42.0,11.0
Five_Points_SW.A,20130911,2359,0.000,,31.7,15.0,,,0,0,,,27.8,26.7,,223,,75.0,24.0
Five_Points_SW.A,20130912,2359,0.000,,32.8,15.6,,,0,0,,,27.2,26.1,,259,,76.0,25.0
Five_Points_SW.A,20130913,2359,0.000,,35.0,16.1,,,NW,2,,,27.2,26.1,,256,,57.4,22.6
Five_Points_SW.A,20130914,2359,0.000,,36.7,15.6,,,NW,2,,,27.2,26.1,,255,,53.0,16.0
Five_Points_SW.A,20130915,2359,0.000,,34.4,16.1,,,NW,3,,,27.2,26.1,,262,,,
Five_Points_SW.A,20130916,2359,0.000,,33.9,16.7,,,NW,2,,,27.2,26.1,,262,,67.6,22.2
Five_Points_SW.A,20130917,2359,0.000,,30.6,14.4,,,0,0,,,26.7,25.6,,260,,64.0,19.0
Five_Points_SW.A,20130918,2359,0.000,,30.6,13.9,,,0,0,,,26.7,25.6,,263,,56.0,17.0
Five_Points_SW.A,20130919,2359,0.000,,33.9,10.6,,,0,0,,,26.1,24.4,,259,,45.0,15.0
Five_Points_SW.A,20130920,2359,0.000,,33.3,13.3,,,0,0,,,26.1,24.4,,253,,59.0,15.0
Five_Points_SW.A,20130921,2359,0.000,,30.0,11.1,,,0,0,,,25.6,25.0,,215,,78.0,21.0
Five_Points_SW.A,20130922,2359,0.000,,25.6,8.9,,,0,0,,,25.6,23.9,,253,,81.0,28.0
Five_Points_SW.A,20130923,2359,0.000,,29.4,8.9,,,0,0,,,25.0,23.9,,253,,68.0,28.0
Five_Points_SW.A,20130924,2359,0.000,,31.7,10.6,,,0,0,,,25.0,23.3,,239,,62.0,25.0
Five_Points_SW.A,20130925,2359,0.000,,25.0,10.0,,,0,0,,,25.0,23.9,,252,,63.0,22.0
Five_Points_SW.A,20130926,2359,0.000,,25.0,10.6,,,0,0,,,24.4,23.3,,252,,51.0,16.0
Five_Points_SW.A,20130927,2359,0.000,,26.7,8.9,,,0,0,,,23.3,22.2,,251,,45.0,14.0
Five_Points_SW.A,20130928,2359,0.000,,30.6,5.6,,,0,0,,,23.3,22.2,,245,,52.0,11.0
Five_Points_SW.A,20130929,2359,0.000,,31.1,8.9,,,0,0,,,23.3,22.2,,239,,57.0,15.0
Five_Points_SW.A,20130930,2359,0.000,,28.9,13.9,,,0,0,,,23.9,22.8,,235,,75.0,29.0
Five_Points_SW.A,20131001,2359,0.000,,28.3,14.4,,,0,0,,,23.9,22.8,,216,,76.0,28.0
Five_Points_SW.A,20131002,2359,0.000,,28.3,15.0,,,0,0,,,23.3,22.8,,320,,65.0,15.0
Five_Points_SW.A,20131003,2359,0.000,,25.0,10.6,,,0,0,,,23.3,22.2,,233,,48.0,13.0
Five_Points_SW.A,20131004,2359,0.000,,27.8,5.6,,,0,0,,,22.2,21.1,,233,,41.0,12.0
Five_Points_SW.A,20131005,2359,0.000,,30.6,5.6,,,0,0,,,22.2,21.1,,232,,50.0,10.0
Five_Points_SW.A,20131006,2359,0.000,,33.3,6.1,,,0,0,,,22.2,21.1,,191,,45.0,9.0
Five_Points_SW.A,20131007,2359,0.000,,31.7,9.4,,,0,0,,,22.2,21.1,,193,,38.0,10.0
Five_Points_SW.A,20131008,2359,0.000,,27.8,8.3,,,0,0,,,22.2,21.1,,185,,48.0,15.0
Five_Points_SW.A,20131009,2359,0.000,,17.8,8.3,,,0,0,,,21.7,21.1,,75,,73.0,43.0
Five_Points_SW.A,20131010,2359,0.000,,24.4,4.4,,,0,0,,,21.1,20.0,,180,,79.0,27.0
Five_Points_SW.A,20131011,2359,0.000,,26.1,6.7,,,0,0,,,21.1,20.0,,181,,64.0,22.0
Five_Points_SW.A,20131012,2359,0.000,,27.8,6.1,,,0,0,,,21.1,20.0,,177,,63.0,20.0
Five_Points_SW.A,20131013,2359,0.000,,23.9,6.7,,,0,0,,,21.1,20.0,,178,,60.0,25.0
Five_Points_SW.A,20131014,2359,0.000,,26.7,6.1,,,0,0,,,20.6,19.4,,178,,57.0,20.0
Five_Points_SW.A,20131015,2359,0.000,,27.2,5.6,,,0,0,,,20.6,19.4,,178,,53.0,16.0
Five_Points_SW.A,20131016,2359,0.000,,30.6,6.7,,,0,0,,,20.6,19.4,,174,,51.0,11.0
Five_Points_SW.A,20131017,2359,0.000,,28.9,6.7,,,0,0,,,20.6,19.4,,172,,47.0,13.0
Five_Points_SW.A,20131018,2359,0.000,,30.0,6.1,,,0,0,,,20.6,19.4,,172,,48.0,13.0
Five_Points_SW.A,20131019,2359,0.000,,30.0,6.7,,,0,0,,,20.6,19.4,,172,,50.0,14.0
Five_Points_SW.A,20131020,2359,0.000,,30.0,6.7,,,0,0,,,20.6,19.4,,174,,50.0,13.0
Five_Points_SW.A,20131021,2359,0.000,,30.6,6.1,,,0,0,,,20.6,18.9,,170,,48.0,15.0
Five_Points_SW.A,20131022,2359,0.000,,31.1,7.2,,,0,0,,,20.6,18.9,,167,,49.0,14.0
Five_Points_SW.A,20131023,2359,0.000,,30.0,6.7,,,0,0,,,20.6,18.9,,167,,53.0,16.0
Five_Points_SW.A,20131024,2359,0.000,,28.3,6.7,,,0,0,,,20.0,18.9,,164,,53.0,22.0
Five_Points_SW.A,20131025,2359,0.000,,26.1,7.8,,,0,0,,,20.0,18.9,,161,,67.0,21.0
Five_Points_SW.A,20131026,2359,0.000,,27.8,5.6,,,0,0,,,20.0,18.9,,159,,59.0,22.0
Five_Points_SW.A,20131027,2359,0.000,,28.9,6.1,,,0,0,,,20.0,18.9,,156,,57.0,16.0
Five_Points_SW.A,20131028,2359,0.000,,20.0,6.1,,,0,0,,,19.4,18.9,,118,,70.0,30.0
Five_Points_SW.A,20131029,2359,0.000,,20.0,3.9,,,0,0,,,19.4,18.3,,124,,74.0,37.0
Five_Points_SW.A,20131030,2359,0.000,,20.6,3.9,,,0,0,,,18.9,18.3,,155,,73.0,33.0
Five_Points_SW.A,20131031,2359,0.000,,22.2,5.0,,,0,0,,,18.9,17.8,,154,,69.0,28.0
Five_Points_SW.A,20131101,2359,0.000,,26.7,3.3,,,0,0,,,18.9,17.8,,154,,68.0,22.0
Five_Points_SW.A,20131102,2359,0.000,,25.6,5.0,,,0,0,,,18.9,17.2,,148,,69.0,25.0
Five_Points_SW.A,20131103,2359,0.000,,20.0,10.6,,,0,0,,,18.9,17.8,,151,,60.0,19.0
Five_Points_SW.A,20131104,2359,0.000,,19.4,4.4,,,0,0,,,18.3,17.8,,150,,49.0,21.0
Five_Points_SW.A,20131105,2359,0.000,,20.6,2.8,,,0,0,,,17.8,17.2,,148,,53.0,20.0
Five_Points_SW.A,20131106,2359,0.000,,24.4,1.7,,,0,0,,,17.8,16.7,,140,,57.0,14.0
Five_Points_SW.A,20131107,2359,0.000,,23.9,5.0,,,0,0,,,17.8,16.7,,120,,51.0,19.0
Five_Points_SW.A,20131108,2359,0.000,,23.9,2.8,,,0,0,,,17.2,16.7,,133,,54.0,23.0
Five_Points_SW.A,20131109,2359,0.000,,24.4,2.8,,,0,0,,,17.2,16.1,,135,,59.0,18.0
Five_Points_SW.A,20131110,2359,0.000,,26.1,3.9,,,0,0,,,17.2,16.1,,133,,56.0,15.0
Five_Points_SW.A,20131111,2359,0.000,,24.4,4.4,,,0,0,,,17.2,16.1,,119,,62.0,27.0
Five_Points_SW.A,20131112,2359,0.000,,22.2,8.3,,,0,0,,,17.2,16.7,,52,,65.0,33.0
Five_Points_SW.A,20131113,2359,0.000,,25.0,4.4,,,0,0,,,17.2,16.1,,128,,71.0,24.0
Five_Points_SW.A,20131114,2359,0.000,,25.6,4.4,,,0,0,,,17.2,16.1,,126,,68.0,26.0
Five_Points_SW.A,20131115,2359,0.000,,20.0,7.8,,,0,0,,,17.2,16.7,,128,,66.0,25.0
Five_Points_SW.A,20131116,2359,0.000,,21.7,2.2,,,0,0,,,17.2,16.1,,125,,61.0,24.0
Five_Points_SW.A,20131117,2359,0.000,,20.0,1.7,,,0,0,,,16.7,15.6,,124,,68.0,35.0
Five_Points_SW.A,20131118,2359,0.000,,20.6,4.4,,,0,0,,,16.7,15.6,,93,,66.0,35.0
Five_Points_SW.A,20131119,2359,0.000,,18.9,6.1,,,0,0,,,16.7,15.6,,96,,74.0,44.0
Five_Points_SW.A,20131120,2359,5.076,,19.4,10.6,,,0,0,,,17.2,16.1,,99,,100.0,55.0
Five_Points_SW.A,20131121,2359,0.000,,13.3,5.6,,,0,0,,,17.2,16.7,,90,,100.0,60.0
Five_Points_SW.A,20131122,2359,0.000,,13.3,5.0,,,0,0,,,16.7,15.6,,103,,96.0,35.0
Five_Points_SW.A,20131123,2359,0.000,,18.9,1.1,,,0,0,,,15.6,15.0,,130,,93.0,38.0
Five_Points_SW.A,20131124,2359,0.000,,18.3,1.7,,,0,0,,,15.6,14.4,,131,,92.0,40.0
Five_Points_SW.A,20131125,2359,0.000,,18.9,0.6,,,0,0,,,15.0,14.4,,133,,86.0,35.0
Five_Points_SW.A,20131126,2359,0.000,,18.9,2.2,,,0,0,,,15.0,13.9,,108,,79.0,41.0
Five_Points_SW.A,20131127,2359,0.000,,23.3,3.3,,,0,0,,,15.0,13.9,,134,,78.0,28.0
Five_Points_SW.A,20131128,2359,0.000,,21.7,6.7,,,0,0,,,15.6,15.0,,115,,74.0,30.0
Five_Points_SW.A,20131129,2359,0.000,,20.6,2.2,,,0,0,,,15.6,15.0,,111,,71.0,31.0
Five_Points_SW.A,20131130,2359,0.000,,20.6,2.2,,,0,0,,,15.0,14.4,,126,,72.0,33.0
Five_Points_SW.A,20131201,2359,0.000,,20.6,1.7,,,0,0,,,15.0,14.4,,128,,73.0,31.0
Five_Points_SW.A,20131202,2359,0.000,,22.2,1.7,,,0,0,,,15.0,14.4,,128,,74.0,29.0
Five_Points_SW.A,20131203,2359,0.000,,16.7,3.3,,,0,0,,,15.0,14.4,,55,,72.0,35.0
Five_Points_SW.A,20131204,2359,0.000,,11.7,-2.8,,,0,0,,,14.4,13.9,,135,,65.0,20.0
Five_Points_SW.A,20131205,2359,0.000,,9.4,-7.8,,,0,0,,,13.9,12.8,,133,,58.0,25.0
Five_Points_SW.A,20131206,2359,0.000,,11.7,-8.3,,,0,0,,,13.3,12.2,,124,,64.0,23.0
Five_Points_SW.A,20131207,2359,1.523,,10.6,-0.6,,,0,0,,,12.8,12.2,,81,,97.0,36.0
Five_Points_SW.A,20131208,2359,0.000,,7.2,-5.0,,,0,0,,,12.8,12.2,,107,,87.0,45.0
Five_Points_SW.A,20131209,2359,0.000,,10.0,-8.3,,,0,0,,,12.2,11.7,,130,,75.0,29.0
Five_Points_SW.A,20131210,2359,0.000,,10.6,-8.9,,,0,0,,,11.7,11.1,,128,,72.0,34.0
Five_Points_SW.A,20131211,2359,0.000,,13.9,-4.4,,,0,0,,,11.1,11.1,,126,,70.0,27.0
Five_Points_SW.A,20131212,2359,0.000,,15.6,-5.6,,,0,0,,,11.1,10.6,,123,,67.0,29.0
Five_Points_SW.A,20131213,2359,0.000,,15.0,-5.0,,,0,0,,,11.1,10.6,,123,,68.0,33.0
Five_Points_SW.A,20131214,2359,0.000,,17.2,-5.0,,,0,0,,,11.1,10.6,,124,,65.0,25.0
Five_Points_SW.A,20131215,2359,0.000,,16.7,-4.4,,,0,0,,,11.1,10.6,,118,,63.0,30.0
Five_Points_SW.A,20131216,2359,0.000,,18.3,-1.7,,,0,0,,,11.1,10.6,,108,,60.0,29.0
Five_Points_SW.A,20131217,2359,0.000,,18.3,0.0,,,0,0,,,11.7,11.1,,100,,67.0,31.0
Five_Points_SW.A,20131218,2359,0.000,,18.9,6.1,,,0,0,,,12.2,11.7,,80,,67.0,32.0
Five_Points_SW.A,20131219,2359,0.000,,13.3,2.8,,,0,0,,,12.2,11.7,,65,,76.0,43.0
Five_Points_SW.A,20131220,2359,0.000,,13.3,-1.7,,,,,,,12.2,11.1,,122,,57.0,19.0
Five_Points_SW.A,20131221,2359,0.000,,15.6,-5.0,,,,,,,11.7,11.1,,122,,48.0,24.0
Five_Points_SW.A,20131222,2359,0.000,,16.1,-3.9,,,,,,,11.1,10.6,,117,,58.0,29.0
Five_Points_SW.A,20131223,2359,0.000,,18.9,-2.2,,,,,,,11.1,10.6,,119,,62.0,29.0
Five_Points_SW.A,20131224,2359,0.000,,18.9,-1.1,,,,,,,11.7,11.1,,118,,62.0,30.0
Five_Points_SW.A,20131225,2359,0.000,,18.9,-2.8,,,,,,,11.7,11.1,,123,,64.0,30.0
Five_Points_SW.A,20131226,2359,0.000,,20.0,-2.8,,,,,,,11.7,11.1,,122,,67.0,32.0
Five_Points_SW.A,20131227,2359,0.000,,18.3,-3.9,,,,,,,11.7,10.6,,104,,67.0,31.0
Five_Points_SW.A,20131228,2359,0.000,,18.3,-1.1,,,0,0,,,11.7,11.1,,125,,69.0,23.0
Five_Points_SW.A,20131229,2359,0.000,,18.3,-5.0,,,0,0,,,11.7,10.6,,127,,51.0,21.0
Five_Points_SW.A,20131230,2359,0.000,,18.9,-3.3,,,0,0,,,11.1,10.6,,123,,49.0,25.0
Five_Points_SW.A,20131231,2359,0.000,,18.3,-2.2,,,,,,,9.4,8.3,,83,,,
