"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: No data were available from station KHFS32.L.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Air Temps, max/min       0          712           10            9            0        "
"                     KHFS32.L     PARLIER.A    FRESNO.A     KHFS32.L     "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
KHFS32.L,20130810,2359,,,32.8,15.0,,,,,,,,,,,,,
KHFS32.L,20130811,2359,,,33.3,15.6,,,,,,,,,,,,,
KHFS32.L,20130812,2359,,,35.0,15.6,,,,,,,,,,,,,
KHFS32.L,20130813,2359,,,36.7,14.4,,,,,,,,,,,,,
KHFS32.L,20130814,2359,,,37.2,16.1,,,,,,,,,,,,,
KHFS32.L,20130815,2359,,,37.8,15.0,,,,,,,,,,,,,
KHFS32.L,20130816,2359,,,37.8,16.1,,,,,,,,,,,,,
KHFS32.L,20130817,2359,,,37.8,17.8,,,,,,,,,,,,,
KHFS32.L,20130818,2359,,,36.7,18.3,,,,,,,,,,,,,
KHFS32.L,20130819,2359,,,40.6,21.1,,,,,,,,,,,,,
KHFS32.L,20130820,2359,,,38.3,21.1,,,,,,,,,,,,,
KHFS32.L,20130821,2359,,,36.7,18.3,,,,,,,,,,,,,
KHFS32.L,20130822,2359,,,36.1,16.1,,,,,,,,,,,,,
KHFS32.L,20130823,2359,,,33.9,15.0,,,,,,,,,,,,,
KHFS32.L,20130824,2359,,,34.4,14.4,,,,,,,,,,,,,
KHFS32.L,20130825,2359,,,33.9,15.6,,,,,,,,,,,,,
KHFS32.L,20130826,2359,,,33.9,17.2,,,,,,,,,,,,,
KHFS32.L,20130827,2359,,,35.6,16.7,,,,,,,,,,,,,
KHFS32.L,20130828,2359,,,35.6,18.9,,,,,,,,,,,,,
KHFS32.L,20130829,2359,,,35.6,17.2,,,,,,,,,,,,,
KHFS32.L,20130830,2359,,,36.1,16.7,,,,,,,,,,,,,
KHFS32.L,20130831,2359,,,35.0,19.4,,,,,,,,,,,,,
KHFS32.L,20130901,2359,,,35.6,18.3,,,,,,,,,,,,,
KHFS32.L,20130902,2359,,,34.4,21.1,,,,,,,,,,,,,
KHFS32.L,20130903,2359,,,33.3,22.8,,,,,,,,,,,,,
KHFS32.L,20130904,2359,,,33.9,17.8,,,,,,,,,,,,,
KHFS32.L,20130905,2359,,,32.8,18.3,,,,,,,,,,,,,
KHFS32.L,20130906,2359,,,33.9,16.7,,,,,,,,,,,,,
KHFS32.L,20130907,2359,,,36.7,16.7,,,,,,,,,,,,,
KHFS32.L,20130908,2359,,,36.7,16.7,,,,,,,,,,,,,
KHFS32.L,20130909,2359,,,35.6,17.2,,,,,,,,,,,,,
KHFS32.L,20130910,2359,,,36.1,17.2,,,,,,,,,,,,,
KHFS32.L,20130911,2359,,,31.1,15.6,,,,,,,,,,,,,
KHFS32.L,20130912,2359,,,32.2,15.0,,,,,,,,,,,,,
KHFS32.L,20130913,2359,,,33.3,16.7,,,,,,,,,,,,,
KHFS32.L,20130914,2359,,,34.4,17.8,,,,,,,,,,,,,
KHFS32.L,20130915,2359,,,33.9,16.1,,,,,,,,,,,,,
KHFS32.L,20130916,2359,,,32.8,14.4,,,,,,,,,,,,,
KHFS32.L,20130917,2359,,,29.4,16.1,,,,,,,,,,,,,
KHFS32.L,20130918,2359,,,28.9,11.1,,,,,,,,,,,,,
KHFS32.L,20130919,2359,,,32.2,12.2,,,,,,,,,,,,,
KHFS32.L,20130920,2359,,,32.8,13.9,,,,,,,,,,,,,
KHFS32.L,20130921,2359,,,27.2,13.3,,,,,,,,,,,,,
KHFS32.L,20130922,2359,,,23.9,10.0,,,,,,,,,,,,,
KHFS32.L,20130923,2359,,,27.8,10.0,,,,,,,,,,,,,
KHFS32.L,20130924,2359,,,30.0,12.2,,,,,,,,,,,,,
KHFS32.L,20130925,2359,,,22.8,12.8,,,,,,,,,,,,,
KHFS32.L,20130926,2359,,,22.8,7.2,,,,,,,,,,,,,
KHFS32.L,20130927,2359,,,25.6,6.7,,,,,,,,,,,,,
KHFS32.L,20130928,2359,,,29.4,7.8,,,,,,,,,,,,,
KHFS32.L,20130929,2359,,,30.6,8.9,,,,,,,,,,,,,
KHFS32.L,20130930,2359,,,28.3,10.0,,,,,,,,,,,,,
KHFS32.L,20131001,2359,,,27.2,11.1,,,,,,,,,,,,,
KHFS32.L,20131002,2359,,,26.7,9.4,,,,,,,,,,,,,
KHFS32.L,20131003,2359,,,23.3,7.8,,,,,,,,,,,,,
KHFS32.L,20131004,2359,,,26.1,6.7,,,,,,,,,,,,,
KHFS32.L,20131005,2359,,,28.3,7.2,,,,,,,,,,,,,
KHFS32.L,20131006,2359,,,30.6,6.7,,,,,,,,,,,,,
KHFS32.L,20131007,2359,,,29.4,10.6,,,,,,,,,,,,,
KHFS32.L,20131008,2359,,,27.2,7.8,,,,,,,,,,,,,
KHFS32.L,20131009,2359,,,17.2,10.6,,,,,,,,,,,,,
KHFS32.L,20131010,2359,,,22.2,7.8,,,,,,,,,,,,,
KHFS32.L,20131011,2359,,,24.4,6.7,,,,,,,,,,,,,
KHFS32.L,20131012,2359,,,25.6,7.2,,,,,,,,,,,,,
KHFS32.L,20131013,2359,,,22.8,9.4,,,,,,,,,,,,,
KHFS32.L,20131014,2359,,,25.0,7.2,,,,,,,,,,,,,
KHFS32.L,20131015,2359,,,26.1,6.7,,,,,,,,,,,,,
KHFS32.L,20131016,2359,,,28.3,6.7,,,,,,,,,,,,,
KHFS32.L,20131017,2359,,,27.2,7.2,,,,,,,,,,,,,
KHFS32.L,20131018,2359,,,28.9,7.2,,,,,,,,,,,,,
KHFS32.L,20131019,2359,,,28.9,7.2,,,,,,,,,,,,,
KHFS32.L,20131020,2359,,,27.8,7.2,,,,,,,,,,,,,
KHFS32.L,20131021,2359,,,28.9,7.2,,,,,,,,,,,,,
