"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station PARLIER.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          713            0            8           10            0        "
"                     PARLIER.A    none         FRESNO.A     PARLIER.A    "
"Air Temps, max/min     712            8            0           11            0        "
"                     PARLIER.A    FRESNO.A     none         PARLIER.A    "
"Soil Temps, max/min    713            0            9            9            0        "
"                     PARLIER.A    none         FRESNO.A     PARLIER.A    "
"Rel. Humidity          706            0            0            0           25        "
"                     PARLIER.A    none         none         none         "
"ETo                    714            0            0            0           17        "
"                     PARLIER.A    none         none         none         "
"Solar Radiation        708            0            8           15            0        "
"                     PARLIER.A    none         FRESNO.A     PARLIER.A    "
"Wind Speed & Dir       706            0            0            0           25        "
"                     PARLIER.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
PARLIER.A,20130810,2359,0.000,,32.8,15.0,,,0,0,,,26.7,22.8,,300,6.345,80.0,24.0
PARLIER.A,20130811,2359,0.000,,33.3,15.6,,,0,0,,,26.7,23.3,,300,6.345,83.0,24.0
PARLIER.A,20130812,2359,0.000,,35.0,15.6,,,0,0,,,27.2,23.3,,298,6.345,79.0,23.0
PARLIER.A,20130813,2359,0.000,,36.7,14.4,,,0,0,,,27.2,23.3,,299,6.345,79.0,20.0
PARLIER.A,20130814,2359,0.000,,37.2,16.1,,,0,0,,,27.2,23.3,,297,6.599,79.0,16.0
PARLIER.A,20130815,2359,0.000,,37.8,15.0,,,0,0,,,27.2,23.3,,298,6.345,80.0,17.0
PARLIER.A,20130816,2359,0.000,,37.8,16.1,,,0,0,,,27.2,23.9,,285,6.345,81.0,18.0
PARLIER.A,20130817,2359,0.000,,37.8,17.8,,,0,0,,,27.8,24.4,,280,6.599,80.0,19.0
PARLIER.A,20130818,2359,0.000,,36.7,18.3,,,0,0,,,27.2,24.4,,229,4.822,78.0,28.0
PARLIER.A,20130819,2359,0.254,,40.6,21.1,,,0,0,,,28.3,25.0,,273,6.853,78.0,22.0
PARLIER.A,20130820,2359,0.000,,38.3,21.1,,,0,0,,,28.3,25.6,,278,6.345,67.0,24.0
PARLIER.A,20130821,2359,0.000,,36.7,18.3,,,0,0,,,28.3,25.6,,276,5.838,81.0,17.0
PARLIER.A,20130822,2359,0.000,,36.1,16.1,,,0,0,,,28.3,25.0,,284,5.838,76.0,18.0
PARLIER.A,20130823,2359,0.000,,33.9,15.0,,,0,0,,,27.8,24.4,,282,5.838,81.0,26.0
PARLIER.A,20130824,2359,0.000,,34.4,14.4,,,0,0,,,27.2,23.9,,280,6.091,82.0,22.0
PARLIER.A,20130825,2359,0.000,,33.9,15.6,,,0,0,,,27.2,24.4,,277,5.330,83.0,27.0
PARLIER.A,20130826,2359,0.000,,33.9,17.2,,,0,0,,,27.2,24.4,,275,5.584,73.0,28.0
PARLIER.A,20130827,2359,0.000,,35.6,16.7,,,0,0,,,27.2,24.4,,250,5.584,78.0,29.0
PARLIER.A,20130828,2359,0.000,,35.6,18.9,,,0,0,,,27.8,25.0,,268,5.838,61.0,30.0
PARLIER.A,20130829,2359,0.000,,35.6,17.2,,,0,0,,,27.8,25.0,,265,5.838,81.0,30.0
PARLIER.A,20130830,2359,0.000,,36.1,16.7,,,0,0,,,27.8,25.0,,261,5.330,82.0,29.0
PARLIER.A,20130831,2359,0.000,,35.0,19.4,,,0,0,,,27.2,25.0,,198,4.061,83.0,33.0
PARLIER.A,20130901,2359,0.000,,35.6,18.3,,,0,0,,,27.8,25.0,,240,5.076,81.0,31.0
PARLIER.A,20130902,2359,0.000,,34.4,21.1,,,0,0,,,28.3,25.6,,253,5.838,61.0,37.0
PARLIER.A,20130903,2359,0.000,,33.3,22.8,,,0,0,,,28.9,26.1,,328,5.076,67.0,37.0
PARLIER.A,20130904,2359,0.000,,33.9,17.8,,,0,0,,,30.0,25.0,,262,5.584,70.0,36.0
PARLIER.A,20130905,2359,0.000,,32.8,18.3,,,0,0,,,28.3,24.4,,262,5.584,63.0,35.0
PARLIER.A,20130906,2359,0.000,,33.9,16.7,,,0,0,,,27.2,23.3,,265,5.076,73.0,33.0
PARLIER.A,20130907,2359,0.000,,36.7,16.7,,,0,0,,,27.8,23.3,,266,5.076,85.0,30.0
PARLIER.A,20130908,2359,0.000,,36.7,16.7,,,0,0,,,27.8,23.9,,254,5.330,83.0,21.0
PARLIER.A,20130909,2359,0.000,,35.6,17.2,,,0,0,,,27.2,23.9,,243,4.569,83.0,27.0
PARLIER.A,20130910,2359,0.000,,36.1,17.2,,,0,0,,,27.2,23.9,,240,5.076,83.0,23.0
PARLIER.A,20130911,2359,0.000,,31.1,15.6,,,0,0,,,26.1,23.3,,220,4.061,82.0,34.0
PARLIER.A,20130912,2359,0.000,,32.2,15.0,,,0,0,,,26.7,22.8,,247,4.569,85.0,34.0
PARLIER.A,20130913,2359,0.000,,33.3,16.7,,,W,1,,,27.8,23.3,,244,4.822,84.7,33.8
PARLIER.A,20130914,2359,0.000,,34.4,17.8,,,W,1,,,27.2,24.4,,239,4.315,85.0,32.0
PARLIER.A,20130915,2359,0.000,,33.9,16.1,,,NW,2,,,26.7,23.9,,245,0.254,,
PARLIER.A,20130916,2359,0.000,,32.8,14.4,,,NW,1,,,26.1,22.8,,247,4.569,82.3,32.1
PARLIER.A,20130917,2359,0.000,,29.4,16.1,,,0,0,,,25.0,22.8,,246,5.584,73.0,26.0
PARLIER.A,20130918,2359,0.000,,28.9,11.1,,,0,0,,,24.4,21.7,,249,4.315,83.0,31.0
PARLIER.A,20130919,2359,0.000,,32.2,12.2,,,0,0,,,24.4,21.1,,243,4.569,84.0,26.0
PARLIER.A,20130920,2359,0.000,,32.8,13.9,,,0,0,,,24.4,21.7,,236,5.076,82.0,22.0
PARLIER.A,20130921,2359,0.000,,27.2,13.3,,,0,0,,,23.9,21.7,,192,3.553,87.0,45.0
PARLIER.A,20130922,2359,0.000,,23.9,10.0,,,0,0,,,22.8,20.6,,231,4.061,86.0,39.0
PARLIER.A,20130923,2359,0.000,,27.8,10.0,,,0,0,,,22.8,20.0,,230,3.807,85.0,38.0
PARLIER.A,20130924,2359,0.000,,30.0,12.2,,,0,0,,,23.3,20.6,,223,4.569,85.0,30.0
PARLIER.A,20130925,2359,0.000,,22.8,12.8,,,0,0,,,22.2,20.6,,233,4.569,70.0,33.0
PARLIER.A,20130926,2359,0.000,,22.8,7.2,,,0,0,,,21.7,19.4,,235,4.061,81.0,27.0
PARLIER.A,20130927,2359,0.000,,25.6,6.7,,,0,0,,,22.2,18.3,,231,3.807,81.0,23.0
PARLIER.A,20130928,2359,0.000,,29.4,7.8,,,0,0,,,23.3,18.3,,228,3.807,80.0,20.0
PARLIER.A,20130929,2359,0.000,,30.6,8.9,,,0,0,,,23.3,18.9,,224,4.315,77.0,19.0
PARLIER.A,20130930,2359,0.000,,28.3,10.0,,,0,0,,,23.9,19.4,,218,3.807,86.0,36.0
PARLIER.A,20131001,2359,0.000,,27.2,11.1,,,0,0,,,23.9,20.0,,204,3.807,87.0,42.0
PARLIER.A,20131002,2359,0.000,,26.7,9.4,,,0,0,,,23.9,20.0,,211,4.061,83.0,25.0
PARLIER.A,20131003,2359,0.000,,23.3,7.8,,,0,0,,,22.8,18.9,,216,3.807,81.0,24.0
PARLIER.A,20131004,2359,0.000,,26.1,6.7,,,0,0,,,22.8,18.3,,208,3.553,81.0,21.0
PARLIER.A,20131005,2359,0.000,,28.3,7.2,,,0,0,,,22.8,18.3,,210,3.807,80.0,17.0
PARLIER.A,20131006,2359,0.000,,30.6,6.7,,,0,0,,,22.8,18.3,,208,3.807,79.0,15.0
PARLIER.A,20131007,2359,0.000,,29.4,10.6,,,0,0,,,22.8,18.9,,173,3.046,75.0,19.0
PARLIER.A,20131008,2359,0.000,,27.2,7.8,,,0,0,,,22.2,18.3,,195,3.553,77.0,21.0
PARLIER.A,20131009,2359,0.000,,17.2,10.6,,,0,0,,,20.6,18.9,,120,2.284,79.0,55.0
PARLIER.A,20131010,2359,0.000,,22.2,7.8,,,0,0,,,21.1,17.8,,189,3.046,82.0,37.0
PARLIER.A,20131011,2359,0.000,,24.4,6.7,,,0,0,,,22.8,17.2,,192,3.046,84.0,36.0
PARLIER.A,20131012,2359,0.000,,25.6,7.2,,,0,0,,,21.7,18.3,,194,3.300,,
PARLIER.A,20131013,2359,0.000,,22.8,9.4,,,0,0,,,20.6,17.2,,197,3.046,79.0,39.0
PARLIER.A,20131014,2359,0.000,,25.0,7.2,,,0,0,,,20.6,17.2,,194,3.046,84.0,33.0
PARLIER.A,20131015,2359,0.000,,26.1,6.7,,,0,0,,,20.0,16.7,,194,3.046,85.0,26.0
PARLIER.A,20131016,2359,0.000,,28.3,6.7,,,0,0,,,20.0,16.7,,191,3.300,82.0,21.0
PARLIER.A,20131017,2359,0.000,,27.2,7.2,,,0,0,,,20.0,16.7,,186,3.300,82.0,23.0
PARLIER.A,20131018,2359,0.254,,28.9,7.2,,,0,0,,,20.0,16.1,,187,3.046,81.0,24.0
PARLIER.A,20131019,2359,0.000,,28.9,7.2,,,0,0,,,20.0,16.7,,185,3.046,82.0,24.0
PARLIER.A,20131020,2359,0.000,,27.8,7.2,,,0,0,,,20.0,16.1,,178,2.792,83.0,24.0
PARLIER.A,20131021,2359,0.000,,28.9,7.2,,,0,0,,,20.0,16.1,,171,2.792,80.0,24.0
PARLIER.A,20131022,2359,0.000,,28.9,7.2,,,0,0,,,20.0,16.1,,170,2.792,83.0,25.0
PARLIER.A,20131023,2359,0.000,,28.3,7.8,,,0,0,,,20.0,16.7,,164,2.538,83.0,30.0
PARLIER.A,20131024,2359,0.000,,27.2,10.6,,,0,0,,,20.0,16.7,,146,2.538,84.0,29.0
PARLIER.A,20131025,2359,0.000,,26.1,7.2,,,0,0,,,19.4,16.1,,170,2.538,86.0,32.0
PARLIER.A,20131026,2359,0.000,,26.7,7.2,,,0,0,,,19.4,16.1,,170,2.792,86.0,34.0
PARLIER.A,20131027,2359,0.000,,25.6,7.8,,,0,0,,,19.4,16.1,,166,2.792,85.0,34.0
PARLIER.A,20131028,2359,0.761,,16.7,8.3,,,0,0,,,17.8,16.1,,103,1.269,81.0,60.0
PARLIER.A,20131029,2359,0.000,,19.4,6.1,,,0,0,,,17.2,15.0,,140,1.777,86.0,44.0
PARLIER.A,20131030,2359,0.000,,20.6,3.3,,,0,0,,,17.2,13.9,,164,2.284,87.0,41.0
PARLIER.A,20131031,2359,0.000,,21.7,4.4,,,0,0,,,17.2,13.9,,167,2.284,86.0,38.0
PARLIER.A,20131101,2359,0.000,,25.6,4.4,,,0,0,,,17.8,13.9,,166,2.538,86.0,30.0
PARLIER.A,20131102,2359,0.000,,25.0,5.6,,,0,0,,,17.8,14.4,,160,2.538,84.0,32.0
PARLIER.A,20131103,2359,0.000,,18.9,7.2,,,0,0,,,16.7,14.4,,155,2.538,82.0,35.0
PARLIER.A,20131104,2359,0.000,,17.8,3.3,,,0,0,,,16.7,13.9,,155,2.284,78.0,34.0
PARLIER.A,20131105,2359,0.000,,20.6,2.2,,,0,0,,,16.7,13.3,,154,2.284,82.0,32.0
PARLIER.A,20131106,2359,0.000,,23.3,2.8,,,0,0,,,16.7,12.8,,150,2.284,82.0,25.0
PARLIER.A,20131107,2359,0.000,,23.3,6.1,,,0,0,,,16.7,13.3,,117,2.031,82.0,28.0
PARLIER.A,20131108,2359,0.000,,23.9,2.8,,,0,0,,,16.7,12.8,,148,2.284,85.0,27.0
PARLIER.A,20131109,2359,0.000,,26.1,3.9,,,0,0,,,16.7,13.3,,147,2.284,83.0,22.0
PARLIER.A,20131110,2359,0.000,,26.7,3.9,,,0,0,,,17.2,12.8,,149,2.284,83.0,21.0
PARLIER.A,20131111,2359,0.000,,23.9,3.9,,,0,0,,,16.7,13.3,,133,2.031,84.0,32.0
PARLIER.A,20131112,2359,0.000,,18.3,8.3,,,0,0,,,15.6,14.4,,49,0.761,83.0,51.0
PARLIER.A,20131113,2359,0.000,,21.7,5.6,,,0,0,,,16.7,13.3,,127,1.777,88.0,42.0
PARLIER.A,20131114,2359,0.000,,23.3,6.1,,,0,0,,,16.7,13.3,,127,1.523,100.0,83.0
PARLIER.A,20131115,2359,0.000,,18.3,5.0,,,0,0,,,16.7,13.3,,129,1.269,100.0,100.0
PARLIER.A,20131116,2359,0.000,,19.4,5.0,,,0,0,,,16.1,12.8,,118,1.269,100.0,100.0
PARLIER.A,20131117,2359,0.000,,20.0,2.8,,,0,0,,,15.6,12.8,,120,1.269,100.0,100.0
PARLIER.A,20131118,2359,0.000,,19.4,4.4,,,0,0,,,15.0,12.8,,97,1.015,100.0,100.0
PARLIER.A,20131119,2359,0.000,,18.3,5.0,,,0,0,,,15.6,12.8,,107,1.015,100.0,100.0
PARLIER.A,20131120,2359,15.22,,19.4,10.6,,,0,0,,,16.7,13.9,,107,1.015,100.0,100.0
PARLIER.A,20131121,2359,0.000,,13.9,10.0,,,0,0,,,15.0,13.9,,51,0.254,,
PARLIER.A,20131122,2359,0.000,,12.2,6.7,,,0,0,,,13.9,12.8,,50,0.508,92.0,76.0
PARLIER.A,20131123,2359,0.000,,17.2,5.0,,,0,0,,,14.4,11.7,,113,1.523,98.0,49.0
PARLIER.A,20131124,2359,0.000,,18.3,3.9,,,0,0,,,15.0,11.7,,127,1.777,96.0,44.0
PARLIER.A,20131125,2359,0.000,,18.3,2.8,,,0,0,,,14.4,11.1,,127,1.523,96.0,48.0
PARLIER.A,20131126,2359,0.000,,18.9,3.3,,,0,0,,,14.4,11.1,,108,1.269,96.0,50.0
PARLIER.A,20131127,2359,0.000,,23.3,4.4,,,0,0,,,15.0,11.1,,128,1.777,95.0,28.0
PARLIER.A,20131128,2359,0.000,,20.6,6.1,,,0,0,,,14.4,11.7,,97,1.523,87.0,35.0
PARLIER.A,20131129,2359,0.000,,21.1,2.8,,,0,0,,,13.9,11.1,,111,1.523,95.0,35.0
PARLIER.A,20131130,2359,0.000,,20.0,3.3,,,0,0,,,13.9,10.6,,120,1.523,96.0,42.0
PARLIER.A,20131201,2359,0.000,,19.4,2.8,,,0,0,,,13.9,10.6,,121,1.523,96.0,42.0
PARLIER.A,20131202,2359,0.000,,18.9,2.8,,,0,0,,,13.9,10.6,,117,1.523,97.0,49.0
PARLIER.A,20131203,2359,0.508,,10.6,1.7,,,0,0,,,12.2,10.0,,19,0.000,96.0,74.0
PARLIER.A,20131204,2359,0.000,,10.6,-2.8,,,0,0,,,10.6,7.8,,128,1.269,93.0,36.0
PARLIER.A,20131205,2359,0.000,,10.0,-4.4,,,0,0,,,9.4,6.7,,125,1.269,92.0,27.0
PARLIER.A,20131206,2359,0.000,,10.6,-3.9,,,0,0,,,8.9,5.6,,117,1.523,91.0,31.0
PARLIER.A,20131207,2359,3.807,,10.0,-1.7,,,0,0,,,9.4,7.2,,111,1.523,88.0,44.0
PARLIER.A,20131208,2359,0.000,,8.9,-3.3,,,0,0,,,8.9,5.6,,119,1.269,93.0,43.0
PARLIER.A,20131209,2359,0.000,,9.4,-5.0,,,0,0,,,8.3,5.0,,123,1.269,96.0,41.0
PARLIER.A,20131210,2359,0.000,,11.7,-4.4,,,0,0,,,7.8,4.4,,124,1.269,93.0,35.0
PARLIER.A,20131211,2359,0.000,,13.3,-2.2,,,0,0,,,8.9,5.0,,123,1.269,94.0,35.0
PARLIER.A,20131212,2359,0.000,,16.7,-2.8,,,0,0,,,8.9,5.0,,122,1.269,96.0,32.0
PARLIER.A,20131213,2359,0.000,,14.4,-2.2,,,0,0,,,8.9,5.6,,117,1.269,93.0,38.0
PARLIER.A,20131214,2359,0.000,,16.1,-1.7,,,0,0,,,9.4,5.6,,116,1.269,95.0,35.0
PARLIER.A,20131215,2359,0.000,,16.7,-1.7,,,0,0,,,9.4,5.6,,114,1.269,90.0,37.0
PARLIER.A,20131216,2359,0.000,,18.9,0.0,,,0,0,,,10.0,6.1,,105,1.269,91.0,36.0
PARLIER.A,20131217,2359,0.000,,18.9,1.1,,,0,0,,,10.0,6.7,,96,1.269,90.0,40.0
PARLIER.A,20131218,2359,0.000,,18.3,7.8,,,0,0,,,11.1,8.9,,70,1.015,81.0,46.0
PARLIER.A,20131219,2359,0.000,,12.8,5.0,,,0,0,,,10.6,9.4,,34,0.508,84.0,63.0
PARLIER.A,20131220,2359,0.000,,13.3,0.0,,,,,,,10.6,7.8,,102,1.269,89.0,37.0
PARLIER.A,20131221,2359,0.000,,15.6,-0.6,,,,,,,10.0,6.7,,108,1.269,87.0,33.0
PARLIER.A,20131222,2359,0.000,,17.8,-0.6,,,,,,,10.6,6.7,,109,1.269,89.0,34.0
PARLIER.A,20131223,2359,0.000,,19.4,0.0,,,,,,,10.6,6.7,,111,1.523,87.0,34.0
PARLIER.A,20131224,2359,0.000,,17.8,0.0,,,,,,,10.6,7.2,,108,1.269,89.0,39.0
PARLIER.A,20131225,2359,0.000,,22.2,0.0,,,,,,,11.1,7.2,,113,1.523,90.0,29.0
