"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 75% of requested data were available from station ORLAND.T.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          140            0            0          591            0        "
"                     ORLAND.T     ORLAND2.A    ORLAND.C     ORLAND.C     "
"Air Temps, max/min     681            0            0           50            0        "
"                     ORLAND.T     ORLAND2.A    ORLAND.C     ORLAND.C     "
"Air Temps, observed    689            0            0            0           42        "
"                     ORLAND.T     none         none         none         "
"Weather Condition      690            0            0            0           41        "
"                     ORLAND.T     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
ORLAND.T,20130810,800,0.254,,32.2,14.4,18.3,C,,,,,,,,,,,
ORLAND.T,20130811,800,0.000,,32.2,16.1,16.1,C,,,,,,,,,,,
ORLAND.T,20130812,800,0.000,,35.0,16.1,17.8,C,,,,,,,,,,,
ORLAND.T,20130813,800,0.000,,35.6,15.6,19.4,C,,,,,,,,,,,
ORLAND.T,20130814,800,0.000,,34.4,18.9,18.9,C,,,,,,,,,,,
ORLAND.T,20130815,800,0.000,,35.0,16.7,17.8,C,,,,,,,,,,,
ORLAND.T,20130816,800,0.000,,36.1,16.1,21.1,C,,,,,,,,,,,
ORLAND.T,20130817,800,0.000,,36.1,19.4,20.0,C,,,,,,,,,,,
ORLAND.T,20130818,800,0.000,,35.6,18.9,21.7,C,,,,,,,,,,,
ORLAND.T,20130819,800,0.254,,37.8,20.6,24.4,C,,,,,,,,,,,
ORLAND.T,20130820,800,0.508,,33.3,23.3,23.3,C,,,,,,,,,,,
ORLAND.T,20130821,800,0.000,,33.3,18.3,18.3,C,,,,,,,,,,,
ORLAND.T,20130822,800,0.254,,31.7,16.7,16.7,C,,,,,,,,,,,
ORLAND.T,20130823,800,0.000,,30.0,15.0,16.1,C,,,,,,,,,,,
ORLAND.T,20130824,800,0.000,,30.6,15.6,16.7,C,,,,,,,,,,,
ORLAND.T,20130825,800,0.000,,30.6,13.9,22.8,C,,,,,,,,,,,
ORLAND.T,20130826,800,0.000,,33.3,15.0,16.1,C,,,,,,,,,,,
ORLAND.T,20130827,800,0.000,,33.3,13.3,16.1,C,,,,,,,,,,,
ORLAND.T,20130828,800,0.000,,33.3,15.0,15.0,C,,,,,,,,,,,
ORLAND.T,20130829,800,0.000,,35.0,15.0,16.7,C,,,,,,,,,,,
ORLAND.T,20130830,800,0.000,,34.4,15.6,18.3,C,,,,,,,,,,,
ORLAND.T,20130831,800,0.508,,31.1,18.3,18.3,C,,,,,,,,,,,
ORLAND.T,20130901,800,0.254,,30.0,16.7,16.7,C,,,,,,,,,,,
