"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 92% of requested data were available from station BRAWLEY.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          683            0            0           48            0        "
"                     BRAWLEY.A    BRAWLEY.T    BRAWLEY.C    BRAWLEY.A    "
"Air Temps, max/min     669            0            0           62            0        "
"                     BRAWLEY.A    BRAWLEY.T    BRAWLEY.C    BRAWLEY.A    "
"Soil Temps, max/min    678           39            0           14            0        "
"                     BRAWLEY.A    ELCENTRO.A   none         BRAWLEY.A    "
"Rel. Humidity          673            0            0            0           58        "
"                     BRAWLEY.A    none         none         none         "
"ETo                    684            0            0            0           47        "
"                     BRAWLEY.A    none         none         none         "
"Solar Radiation        647           43            0           41            0        "
"                     BRAWLEY.A    ELCENTRO.A   none         BRAWLEY.A    "
"Wind Speed & Dir       676            0            0            0           55        "
"                     BRAWLEY.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
BRAWLEY.A,20130810,2359,0.000,,39.4,17.8,,,0,0,,,27.8,26.1,,339,6.853,52.0,14.0
BRAWLEY.A,20130811,2359,0.000,,38.9,18.3,,,0,0,,,27.8,26.1,,331,6.853,49.0,18.0
BRAWLEY.A,20130812,2359,0.000,,41.1,20.0,,,0,0,,,28.3,26.7,,331,6.853,61.0,16.0
BRAWLEY.A,20130813,2359,0.000,,40.6,21.1,,,0,0,,,28.3,26.7,,323,7.614,56.0,21.0
BRAWLEY.A,20130814,2359,0.000,,41.1,22.8,,,0,0,,,28.3,26.7,,312,7.360,63.0,23.0
BRAWLEY.A,20130815,2359,0.000,,42.2,27.2,,,0,0,,,28.9,27.2,,279,7.360,60.0,29.0
BRAWLEY.A,20130816,2359,0.000,,43.3,26.1,,,0,0,,,29.4,27.8,,302,7.360,47.0,24.0
BRAWLEY.A,20130817,2359,0.000,,43.3,26.7,,,0,0,,,29.4,28.3,,301,7.868,60.0,24.0
BRAWLEY.A,20130818,2359,0.000,,43.3,28.3,,,0,0,,,29.4,28.3,,265,7.868,55.0,28.0
BRAWLEY.A,20130819,2359,0.000,,39.4,26.7,,,0,0,,,28.9,27.8,,205,4.822,60.0,32.0
BRAWLEY.A,20130820,2359,0.000,,43.9,25.0,,,0,0,,,30.0,27.8,,291,6.599,64.0,20.0
BRAWLEY.A,20130821,2359,0.000,,42.2,26.7,,,0,0,,,30.0,28.3,,286,7.107,60.0,31.0
BRAWLEY.A,20130822,2359,0.000,,41.1,27.8,,,0,0,,,30.0,28.9,,281,7.868,68.0,31.0
BRAWLEY.A,20130823,2359,0.000,,39.4,26.1,,,0,0,,,30.6,28.9,,247,5.838,71.0,41.0
BRAWLEY.A,20130824,2359,0.508,,38.3,21.7,,,0,0,,,30.6,28.3,,152,5.584,,
BRAWLEY.A,20130825,2359,0.000,,40.0,24.4,,,0,0,,,28.3,27.8,,107,3.300,,
BRAWLEY.A,20130826,2359,34.01,,31.1,22.2,,,0,0,,,28.3,27.2,,228,4.061,95.0,69.0
BRAWLEY.A,20130827,2359,0.508,,36.7,23.9,,,0,0,,,29.4,27.8,,284,5.330,94.0,52.0
BRAWLEY.A,20130828,2359,0.000,,41.7,25.6,,,0,0,,,30.6,28.9,,275,5.838,93.0,36.0
BRAWLEY.A,20130829,2359,5.330,,33.9,26.1,,,0,0,,,30.0,28.9,,190,3.807,93.0,63.0
