"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station PALO_VERDE_II.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            2            0           11            0        "
"                     PALO_VERDE_IûI.A          RIPLEY.A     NILAND.A     PALOVERD.A   "
"Air Temps, max/min     697            2            0           32            0        "
"                     PALO_VERDE_IûI.A          RIPLEY.A     NILAND.A     PALOVERD.A   "
"Soil Temps, max/min    706            0            0           25            0        "
"                     PALO_VERDE_IûI.A          RIPLEY.A     none         PALOVERD.A   "
"Rel. Humidity          719            0            0            0           12        "
"                     PALO_VERDE_IûI.A          none         none         none         "
"ETo                    721            0            0            0           10        "
"                     PALO_VERDE_IûI.A          none         none         none         "
"Solar Radiation        665           28            0           38            0        "
"                     PALO_VERDE_IûI.A          RIPLEY.A     NILAND.A     PALOVERD.A   "
"Wind Speed & Dir       713            0            0            0           18        "
"                     PALO_VERDE_IûI.A          none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
PALO_VERDE_II.A,20130810,2359,0.000,,35.0,20.0,,,0,0,,,26.7,25.0,,310,6.853,62.0,39.0
PALO_VERDE_II.A,20130811,2359,0.000,,37.8,17.8,,,0,0,,,26.7,25.0,,306,6.091,84.0,29.0
PALO_VERDE_II.A,20130812,2359,0.000,,39.4,16.1,,,0,0,,,26.1,24.4,,299,6.091,85.0,31.0
PALO_VERDE_II.A,20130813,2359,0.000,,35.0,16.7,,,0,0,,,26.1,24.4,,253,5.330,85.0,40.0
PALO_VERDE_II.A,20130814,2359,0.000,,40.0,18.9,,,0,0,,,26.7,24.4,,286,6.091,88.0,35.0
PALO_VERDE_II.A,20130815,2359,0.000,,37.8,23.9,,,0,0,,,27.2,25.6,,273,6.091,72.0,41.0
PALO_VERDE_II.A,20130816,2359,0.000,,41.7,23.3,,,0,0,,,27.8,26.1,,279,6.091,83.0,43.0
PALO_VERDE_II.A,20130817,2359,0.000,,42.8,24.4,,,0,0,,,27.8,26.7,,269,6.599,68.0,30.0
PALO_VERDE_II.A,20130818,2359,0.000,,42.2,26.1,,,0,0,,,27.8,26.7,,232,6.345,61.0,28.0
PALO_VERDE_II.A,20130819,2359,0.000,,42.2,26.1,,,0,0,,,27.8,26.7,,194,4.822,74.0,28.0
PALO_VERDE_II.A,20130820,2359,0.000,,43.3,23.3,,,0,0,,,27.8,26.7,,261,6.853,80.0,23.0
PALO_VERDE_II.A,20130821,2359,0.000,,41.7,25.0,,,0,0,,,28.3,27.2,,259,6.853,63.0,30.0
PALO_VERDE_II.A,20130822,2359,0.000,,38.9,25.6,,,0,0,,,27.8,27.2,,136,3.553,76.0,45.0
PALO_VERDE_II.A,20130823,2359,0.000,,38.3,23.9,,,0,0,,,27.8,26.7,,230,5.330,84.0,38.0
PALO_VERDE_II.A,20130824,2359,0.000,,36.1,24.4,,,0,0,,,27.8,27.2,,144,3.553,91.0,45.0
PALO_VERDE_II.A,20130825,2359,0.000,,30.0,22.8,,,0,0,,,27.2,26.7,,74,0.761,96.0,74.0
PALO_VERDE_II.A,20130826,2359,0.000,,32.2,22.2,,,0,0,,,26.7,26.1,,216,4.315,98.0,59.0
PALO_VERDE_II.A,20130827,2359,0.000,,37.8,23.3,,,0,0,,,26.7,26.1,,244,4.822,93.0,42.0
PALO_VERDE_II.A,20130828,2359,0.000,,39.4,24.4,,,0,0,,,27.2,26.7,,194,4.315,92.0,41.0
