"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 90% of requested data were available from station Westmorland_North.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          687           33            0           11            0        "
"                     Westmorland_ûNorth.A      BRAWLEY.A    BRAWLEY.T    BRAWLEY.C    "
"Air Temps, max/min     647           63            0           21            0        "
"                     Westmorland_ûNorth.A      BRAWLEY.A    SALTNCTY.A   BRAWLEY.C    "
"Soil Temps, max/min    572          121           26           12            0        "
"                     Westmorland_ûNorth.A      BRAWLEY.A    ELCENTRO.A   BRAWLEY.A    "
"Rel. Humidity          651            0            0            0           80        "
"                     Westmorland_ûNorth.A      none         none         none         "
"ETo                    690            0            0            0           41        "
"                     Westmorland_ûNorth.A      none         none         none         "
"Solar Radiation        656           32            0           43            0        "
"                     Westmorland_ûNorth.A      BRAWLEY.A    SALTNCTY.A   BRAWLEY.A    "
"Wind Speed & Dir       682            0            0            0           49        "
"                     Westmorland_ûNorth.A      none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Westmorland_North.A,20130810,2359,0.000,,38.9,13.9,,,0,0,,,33.9,31.7,,326,7.107,62.0,17.0
Westmorland_North.A,20130811,2359,0.000,,39.4,16.1,,,0,0,,,33.9,31.1,,321,6.599,73.0,22.0
Westmorland_North.A,20130812,2359,0.000,,41.7,17.2,,,0,0,,,32.8,30.6,,321,6.853,70.0,19.0
Westmorland_North.A,20130813,2359,0.000,,38.9,18.3,,,0,0,,,32.2,30.6,,312,6.599,75.0,29.0
Westmorland_North.A,20130814,2359,0.000,,38.9,18.9,,,0,0,,,32.2,30.6,,301,6.345,91.0,37.0
Westmorland_North.A,20130815,2359,0.000,,40.0,22.2,,,0,0,,,32.8,31.1,,287,6.345,76.0,36.0
Westmorland_North.A,20130816,2359,0.000,,41.7,23.3,,,0,0,,,33.3,31.1,,294,6.853,63.0,27.0
Westmorland_North.A,20130817,2359,0.000,,41.7,22.2,,,0,0,,,33.3,31.7,,290,6.599,80.0,37.0
Westmorland_North.A,20130818,2359,0.000,,39.4,25.0,,,0,0,,,33.3,31.7,,235,5.838,71.0,34.0
Westmorland_North.A,20130819,2359,0.000,,38.3,23.3,,,0,0,,,32.8,31.7,,162,3.300,82.0,44.0
Westmorland_North.A,20130820,2359,0.000,,42.8,22.2,,,0,0,,,32.8,30.6,,288,6.345,88.0,30.0
Westmorland_North.A,20130821,2359,0.000,,38.3,20.6,,,0,0,,,32.8,31.1,,278,6.345,83.0,34.0
Westmorland_North.A,20130822,2359,0.000,,38.9,24.4,,,0,0,,,33.3,31.7,,271,6.345,88.0,40.0
Westmorland_North.A,20130823,2359,0.000,,36.7,23.3,,,0,0,,,32.8,31.7,,242,5.330,83.0,43.0
Westmorland_North.A,20130824,2359,1.523,,34.4,21.7,,,0,0,,,32.8,31.1,,163,5.584,,
Westmorland_North.A,20130825,2359,0.000,,31.7,21.7,,,0,0,,,31.1,30.0,,122,4.569,,
Westmorland_North.A,20130826,2359,9.899,,31.1,22.2,,,0,0,,,30.0,29.4,,206,5.584,,
Westmorland_North.A,20130827,2359,0.000,,37.2,22.2,,,0,0,,,31.1,28.9,,268,5.076,96.0,49.0
Westmorland_North.A,20130828,2359,0.000,,40.6,23.3,,,0,0,,,32.2,30.0,,263,5.838,91.0,34.0
Westmorland_North.A,20130829,2359,5.330,,32.8,24.4,,,0,0,,,32.2,30.6,,139,3.046,,
