

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station Owens_Lake_North.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            3            0           10            0        "
"                     Owens_Lake_Nûorth.A       BISHOP.A     HAIWEE.C     HAIWEE.C     "
"Air Temps, max/min     687           17            6           21            0        "
"                     Owens_Lake_Nûorth.A       Owens_Lake_Sûouth.A       BISHOP.A     HAIWEE.C     "
"Soil Temps, max/min    674            0            0            0           57        "
"                     Owens_Lake_Nûorth.A       none         none         none         "
"Rel. Humidity          712            0            0            0           19        "
"                     Owens_Lake_Nûorth.A       none         none         none         "
"Solar Radiation        700           11            0           20            0        "
"                     Owens_Lake_Nûorth.A       BISHOP.A     none         BISHOP.A     "
"Wind Speed & Dir       712            0            0            0           19        "
"                     Owens_Lake_Nûorth.A       none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Owens_Lake_North.A,20130810,2359,0.000,,32.8,16.1,,,0,0,,,,,,310,,36.0,8.0
Owens_Lake_North.A,20130811,2359,0.000,,33.9,16.1,,,0,0,,,,,,308,,40.0,8.0
Owens_Lake_North.A,20130812,2359,0.000,,35.0,15.0,,,0,0,,,,,,308,,46.0,7.0
Owens_Lake_North.A,20130813,2359,0.000,,35.6,15.0,,,0,0,,,,,,308,,42.0,7.0
Owens_Lake_North.A,20130814,2359,0.000,,36.7,16.7,,,0,0,,,,,,308,,36.0,6.0
Owens_Lake_North.A,20130815,2359,0.000,,37.2,16.7,,,0,0,,,,,,293,,35.0,11.0
Owens_Lake_North.A,20130816,2359,0.000,,37.8,19.4,,,0,0,,,,,,290,,37.0,12.0
Owens_Lake_North.A,20130817,2359,0.000,,38.3,20.6,,,0,0,,,,,,293,,42.0,10.0
Owens_Lake_North.A,20130818,2359,0.000,,37.8,18.3,,,0,0,,,,,,249,,57.0,11.0
Owens_Lake_North.A,20130819,2359,0.000,,35.0,18.9,,,0,0,,,,,,252,,61.0,19.0
Owens_Lake_North.A,20130820,2359,0.000,,36.7,18.3,,,0,0,,,,,,287,,57.0,12.0
Owens_Lake_North.A,20130821,2359,0.000,,36.1,22.8,,,0,0,,,,,,279,,40.0,12.0
Owens_Lake_North.A,20130822,2359,0.000,,36.1,21.7,,,0,0,,,,,,275,,32.0,8.0
Owens_Lake_North.A,20130823,2359,0.000,,35.0,19.4,,,0,0,,,,,,293,,29.0,7.0
Owens_Lake_North.A,20130824,2359,0.000,,33.9,17.8,,,0,0,,,,,,294,,39.0,7.0
Owens_Lake_North.A,20130825,2359,0.000,,33.3,17.8,,,0,0,,,,,,278,,56.0,8.0
Owens_Lake_North.A,20130826,2359,0.000,,32.2,18.3,,,0,0,,,,,,280,,64.0,21.0
Owens_Lake_North.A,20130827,2359,0.000,,30.6,19.4,,,0,0,,,,,,201,,62.0,31.0
Owens_Lake_North.A,20130828,2359,0.000,,35.0,20.0,,,0,0,,,,,,270,,57.0,18.0
Owens_Lake_North.A,20130829,2359,0.000,,36.7,19.4,,,0,0,,,,,,277,,45.0,13.0
Owens_Lake_North.A,20130830,2359,0.000,,36.1,21.1,,,0,0,,,,,,276,,59.0,22.0
Owens_Lake_North.A,20130831,2359,0.000,,33.3,22.2,,,0,0,,,,,,217,,63.0,28.0
Owens_Lake_North.A,20130901,2359,0.000,,35.0,20.6,,,0,0,,,31.1,28.9,,258,,65.0,17.0
Owens_Lake_North.A,20130902,2359,0.000,,35.6,23.9,,,0,0,,,31.1,28.9,,249,,42.0,13.0
Owens_Lake_North.A,20130903,2359,0.000,,29.4,12.8,,,0,0,,,,,,160,,,
Owens_Lake_North.A,20130904,2359,0.000,,36.1,17.2,,,0,0,,,30.0,27.8,,268,,71.0,13.0
Owens_Lake_North.A,20130905,2359,0.000,,36.1,21.1,,,0,0,,,30.6,28.3,,267,,43.0,13.0
Owens_Lake_North.A,20130906,2359,0.000,,36.7,19.4,,,0,0,,,30.6,27.8,,271,,33.0,9.0
Owens_Lake_North.A,20130907,2359,0.000,,35.6,16.7,,,0,0,,,30.6,27.8,,266,,48.0,10.0
Owens_Lake_North.A,20130908,2359,0.000,,33.9,17.8,,,0,0,,,30.0,28.3,,248,,61.0,16.0
Owens_Lake_North.A,20130909,2359,0.000,,35.0,17.8,,,0,0,,,30.0,27.8,,256,,61.0,9.0
Owens_Lake_North.A,20130910,2359,0.000,,31.1,18.9,,,0,0,,,30.0,27.8,,218,,39.0,16.0
Owens_Lake_North.A,20130911,2359,0.000,,30.0,16.7,,,0,0,,,28.9,26.7,,181,,50.0,15.0
Owens_Lake_North.A,20130912,2359,0.000,,31.7,15.6,,,0,0,,,28.3,26.1,,190,,59.0,16.0
Owens_Lake_North.A,20130913,2359,0.000,,33.3,17.8,,,N,2,,,28.3,26.1,,207,,51.7,16.9
Owens_Lake_North.A,20130914,2359,0.000,,35.0,18.3,,,SE,2,,,28.3,26.7,,203,,51.0,16.0
Owens_Lake_North.A,20130915,2359,0.000,,35.6,15.0,,,SE,4,,,28.3,26.1,,249,,,
Owens_Lake_North.A,20130916,2359,0.000,,34.4,18.3,,,SE,4,,,28.3,26.1,,250,,30.8,10.5
Owens_Lake_North.A,20130917,2359,0.000,,34.4,17.8,,,0,0,,,28.3,26.1,,258,,26.0,5.0
Owens_Lake_North.A,20130918,2359,0.000,,31.1,15.0,,,0,0,,,27.8,25.6,,255,,29.0,6.0
Owens_Lake_North.A,20130919,2359,0.000,,31.7,10.0,,,0,0,,,27.2,24.4,,257,,38.0,7.0
Owens_Lake_North.A,20130920,2359,0.000,,32.8,10.6,,,0,0,,,26.7,24.4,,248,,48.0,9.0
Owens_Lake_North.A,20130921,2359,0.000,,29.4,12.8,,,0,0,,,26.1,24.4,,250,,36.0,9.0
Owens_Lake_North.A,20130922,2359,0.000,,26.1,10.6,,,0,0,,,25.6,23.3,,254,,47.0,12.0
Owens_Lake_North.A,20130923,2359,0.000,,28.9,7.8,,,0,0,,,25.0,22.2,,246,,55.0,13.0
Owens_Lake_North.A,20130924,2359,0.000,,32.2,8.9,,,0,0,,,25.0,22.8,,242,,60.0,10.0
Owens_Lake_North.A,20130925,2359,0.000,,30.0,11.7,,,0,0,,,25.6,23.3,,248,,35.0,4.0
Owens_Lake_North.A,20130926,2359,0.000,,18.9,8.3,,,0,0,,,25.0,22.2,,228,,43.0,13.0
Owens_Lake_North.A,20130927,2359,0.000,,22.8,6.7,,,0,0,,,22.2,20.6,,251,,51.0,12.0
Owens_Lake_North.A,20130928,2359,0.000,,24.4,5.0,,,0,0,,,22.2,20.0,,240,,62.0,13.0
Owens_Lake_North.A,20130929,2359,0.000,,28.3,6.7,,,0,0,,,22.2,20.0,,234,,62.0,11.0
Owens_Lake_North.A,20130930,2359,0.000,,28.9,7.2,,,0,0,,,22.8,20.0,,234,,65.0,11.0
Owens_Lake_North.A,20131001,2359,0.000,,28.3,9.4,,,0,0,,,23.3,20.6,,222,,63.0,17.0
Owens_Lake_North.A,20131002,2359,0.000,,28.3,11.1,,,0,0,,,23.9,21.1,,221,,67.0,19.0
Owens_Lake_North.A,20131003,2359,0.000,,25.6,9.4,,,0,0,,,23.3,21.1,,227,,43.0,9.0
Owens_Lake_North.A,20131004,2359,0.000,,20.6,7.8,,,0,0,,,22.2,18.9,,239,,33.0,15.0
Owens_Lake_North.A,20131005,2359,0.000,,23.9,5.6,,,0,0,,,20.6,17.8,,233,,54.0,11.0
Owens_Lake_North.A,20131006,2359,0.000,,26.1,4.4,,,0,0,,,20.0,17.2,,229,,63.0,10.0
Owens_Lake_North.A,20131007,2359,0.000,,23.9,1.1,,,0,0,,,,,,159,,64.0,10.0
