

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 95% of requested data were available from station Owens_Lake_South.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          714            5            3            9            0        "
"                     Owens_Lake_Sûouth.A       Owens_Lake_Nûorth.A       BISHOP.A     HAIWEE.C     "
"Air Temps, max/min     646           58            6           21            0        "
"                     Owens_Lake_Sûouth.A       Owens_Lake_Nûorth.A       BISHOP.A     HAIWEE.C     "
"Soil Temps, max/min    706            0            0            0           25        "
"                     Owens_Lake_Sûouth.A       none         none         none         "
"Rel. Humidity          705            0            0            0           26        "
"                     Owens_Lake_Sûouth.A       none         none         none         "
"Solar Radiation        702            6            0           23            0        "
"                     Owens_Lake_Sûouth.A       Owens_Lake_Nûorth.A       none         BISHOP.A     "
"Wind Speed & Dir       708            0            0            0           23        "
"                     Owens_Lake_Sûouth.A       none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Owens_Lake_South.A,20130810,2359,0.000,,32.8,16.1,,,0,0,,,24.4,23.9,,331,,44.0,9.0
Owens_Lake_South.A,20130811,2359,0.000,,34.4,13.9,,,0,0,,,24.4,23.9,,330,,37.0,9.0
Owens_Lake_South.A,20130812,2359,0.000,,35.0,15.0,,,0,0,,,24.4,23.9,,329,,52.0,8.0
Owens_Lake_South.A,20130813,2359,0.000,,35.6,15.0,,,0,0,,,24.4,23.9,,328,,44.0,8.0
Owens_Lake_South.A,20130814,2359,0.000,,36.7,16.7,,,0,0,,,24.4,23.9,,327,,47.0,7.0
Owens_Lake_South.A,20130815,2359,0.000,,37.8,13.3,,,0,0,,,25.0,23.9,,282,,37.0,12.0
Owens_Lake_South.A,20130816,2359,0.000,,38.3,16.7,,,0,0,,,25.0,24.4,,306,,40.0,13.0
Owens_Lake_South.A,20130817,2359,0.000,,38.3,20.6,,,0,0,,,25.6,24.4,,311,,39.0,12.0
Owens_Lake_South.A,20130818,2359,0.000,,37.8,18.3,,,0,0,,,25.6,25.0,,280,,51.0,13.0
Owens_Lake_South.A,20130819,2359,0.000,,36.7,17.2,,,0,0,,,25.6,24.4,,274,,65.0,20.0
Owens_Lake_South.A,20130820,2359,0.000,,37.8,15.6,,,0,0,,,25.6,25.0,,299,,64.0,13.0
Owens_Lake_South.A,20130821,2359,0.000,,36.7,20.6,,,0,0,,,25.6,25.0,,293,,50.0,13.0
Owens_Lake_South.A,20130822,2359,0.000,,37.2,22.2,,,0,0,,,25.6,25.0,,295,,30.0,10.0
Owens_Lake_South.A,20130823,2359,0.000,,36.1,21.1,,,0,0,,,25.6,25.0,,313,,28.0,8.0
Owens_Lake_South.A,20130824,2359,0.000,,35.0,18.9,,,0,0,,,25.6,25.0,,316,,45.0,8.0
Owens_Lake_South.A,20130825,2359,0.000,,33.9,16.7,,,0,0,,,25.0,24.4,,310,,58.0,9.0
Owens_Lake_South.A,20130826,2359,0.000,,32.2,18.3,,,0,0,,,25.0,24.4,,308,,70.0,22.0
Owens_Lake_South.A,20130827,2359,0.000,,32.8,16.1,,,0,0,,,25.0,24.4,,210,,70.0,30.0
Owens_Lake_South.A,20130828,2359,0.000,,35.6,19.4,,,0,0,,,25.0,24.4,,283,,58.0,20.0
Owens_Lake_South.A,20130829,2359,0.000,,37.2,18.3,,,0,0,,,25.6,24.4,,295,,48.0,14.0
Owens_Lake_South.A,20130830,2359,0.000,,36.1,19.4,,,0,0,,,25.6,25.0,,259,,64.0,23.0
Owens_Lake_South.A,20130831,2359,1.015,,34.4,20.6,,,0,0,,,25.6,25.6,,194,,65.0,29.0
Owens_Lake_South.A,20130901,2359,0.000,,36.1,18.3,,,0,0,,,25.6,25.0,,257,,68.0,19.0
Owens_Lake_South.A,20130902,2359,0.000,,36.1,23.3,,,0,0,,,25.6,25.6,,264,,44.0,15.0
Owens_Lake_South.A,20130903,2359,0.000,,29.4,12.8,,,0,0,,,,,,252,,60.0,18.0
Owens_Lake_South.A,20130904,2359,0.000,,36.1,17.2,,,0,0,,,25.6,25.0,,272,,74.0,15.0
Owens_Lake_South.A,20130905,2359,0.000,,36.7,22.2,,,0,0,,,25.6,25.0,,279,,39.0,14.0
Owens_Lake_South.A,20130906,2359,0.000,,37.8,20.0,,,0,0,,,25.6,25.0,,288,,28.0,10.0
Owens_Lake_South.A,20130907,2359,0.000,,36.1,15.0,,,0,0,,,25.6,25.0,,285,,55.0,11.0
Owens_Lake_South.A,20130908,2359,1.523,,38.3,14.4,,,0,0,,,25.6,25.0,,278,,65.0,18.0
Owens_Lake_South.A,20130909,2359,0.000,,35.0,17.8,,,0,0,,,25.6,24.4,,270,,73.0,10.0
Owens_Lake_South.A,20130910,2359,0.000,,31.1,18.9,,,0,0,,,25.0,24.4,,228,,45.0,17.0
Owens_Lake_South.A,20130911,2359,0.000,,30.0,16.7,,,0,0,,,24.4,23.9,,198,,61.0,17.0
Owens_Lake_South.A,20130912,2359,0.000,,31.7,15.6,,,0,0,,,23.9,23.3,,204,,58.0,19.0
Owens_Lake_South.A,20130913,2359,0.000,,33.9,13.9,,,SW,2,,,23.9,23.3,,242,,63.3,17.9
Owens_Lake_South.A,20130914,2359,0.000,,35.6,16.1,,,NE,2,,,24.4,23.9,,255,,54.0,15.0
Owens_Lake_South.A,20130915,2359,0.000,,35.6,15.0,,,S,4,,,24.4,23.9,,265,,,
Owens_Lake_South.A,20130916,2359,0.000,,34.4,18.3,,,S,5,,,23.9,23.9,,267,,29.1,11.8
Owens_Lake_South.A,20130917,2359,0.000,,34.4,13.3,,,0,0,,,23.9,23.3,,276,,32.0,6.0
Owens_Lake_South.A,20130918,2359,0.000,,31.1,15.0,,,0,0,,,23.9,22.8,,273,,37.0,8.0
Owens_Lake_South.A,20130919,2359,0.000,,32.2,8.9,,,0,0,,,22.8,22.2,,273,,39.0,8.0
Owens_Lake_South.A,20130920,2359,0.000,,32.8,10.6,,,0,0,,,22.2,21.7,,264,,51.0,10.0
Owens_Lake_South.A,20130921,2359,0.000,,29.4,12.8,,,0,0,,,22.2,21.7,,268,,28.0,11.0
Owens_Lake_South.A,20130922,2359,0.000,,25.6,8.9,,,0,0,,,22.2,21.1,,264,,49.0,13.0
Owens_Lake_South.A,20130923,2359,0.000,,30.0,5.6,,,0,0,,,21.1,20.6,,262,,61.0,13.0
Owens_Lake_South.A,20130924,2359,0.000,,32.2,8.9,,,0,0,,,21.1,20.6,,259,,59.0,10.0
Owens_Lake_South.A,20130925,2359,0.000,,31.1,12.8,,,0,0,,,21.1,21.1,,267,,31.0,4.0
Owens_Lake_South.A,20130926,2359,0.000,,20.6,10.0,,,0,0,,,21.1,18.9,,232,,39.0,14.0
Owens_Lake_South.A,20130927,2359,0.000,,22.2,4.4,,,0,0,,,19.4,18.3,,258,,47.0,12.0
Owens_Lake_South.A,20130928,2359,0.000,,26.1,1.7,,,0,0,,,19.4,18.3,,253,,58.0,11.0
Owens_Lake_South.A,20130929,2359,0.000,,28.3,6.7,,,0,0,,,18.9,18.3,,253,,57.0,10.0
Owens_Lake_South.A,20130930,2359,0.000,,30.6,2.8,,,0,0,,,18.9,18.3,,250,,62.0,10.0
Owens_Lake_South.A,20131001,2359,0.000,,28.3,9.4,,,0,0,,,18.9,18.3,,233,,60.0,16.0
Owens_Lake_South.A,20131002,2359,0.000,,29.4,6.7,,,0,0,,,18.9,18.3,,239,,65.0,19.0
Owens_Lake_South.A,20131003,2359,0.000,,26.7,5.0,,,0,0,,,19.4,18.3,,242,,52.0,10.0
Owens_Lake_South.A,20131004,2359,0.000,,21.7,7.8,,,0,0,,,18.3,17.2,,245,,32.0,12.0
Owens_Lake_South.A,20131005,2359,0.000,,24.4,1.1,,,0,0,,,17.8,17.2,,245,,43.0,9.0
Owens_Lake_South.A,20131006,2359,0.000,,27.8,0.0,,,0,0,,,17.8,16.7,,241,,59.0,7.0
Owens_Lake_South.A,20131007,2359,0.000,,23.9,1.1,,,0,0,,,,,,209,,60.0,9.0
Owens_Lake_South.A,20131008,2359,0.000,,26.1,0.0,,,0,0,,,17.2,16.7,,229,,57.0,9.0
Owens_Lake_South.A,20131009,2359,2.031,,17.8,2.8,,,0,0,,,17.2,16.7,,71,,84.0,16.0
Owens_Lake_South.A,20131010,2359,0.254,,19.4,-6.1,,,0,0,,,16.7,16.1,,221,,,
Owens_Lake_South.A,20131011,2359,0.000,,25.0,7.8,,,0,0,,,16.1,15.6,,220,,81.0,22.0
Owens_Lake_South.A,20131012,2359,0.000,,22.8,1.7,,,0,0,,,16.1,15.6,,219,,72.0,16.0
Owens_Lake_South.A,20131013,2359,0.000,,22.2,3.9,,,0,0,,,16.1,15.6,,216,,55.0,14.0
Owens_Lake_South.A,20131014,2359,0.000,,20.0,3.9,,,0,0,,,15.6,15.6,,218,,62.0,20.0
Owens_Lake_South.A,20131015,2359,0.000,,21.7,0.6,,,0,0,,,15.6,15.0,,217,,68.0,15.0
Owens_Lake_South.A,20131016,2359,0.000,,25.6,7.2,,,0,0,,,15.6,15.0,,217,,64.0,12.0
Owens_Lake_South.A,20131017,2359,0.000,,25.6,7.2,,,0,0,,,15.0,14.4,,214,,65.0,13.0
Owens_Lake_South.A,20131018,2359,0.000,,25.6,7.2,,,0,0,,,15.0,14.4,,216,,60.0,10.0
Owens_Lake_South.A,20131019,2359,0.000,,25.6,-1.1,,,0,0,,,15.0,13.9,,213,,65.0,11.0
Owens_Lake_South.A,20131020,2359,0.000,,26.1,-1.1,,,0,0,,,14.4,13.9,,211,,65.0,12.0
Owens_Lake_South.A,20131021,2359,0.000,,27.2,0.0,,,0,0,,,14.4,13.9,,207,,65.0,9.0
Owens_Lake_South.A,20131022,2359,0.000,,27.2,0.0,,,0,0,,,14.4,13.9,,203,,60.0,11.0
Owens_Lake_South.A,20131023,2359,0.000,,23.9,2.8,,,0,0,,,14.4,13.9,,156,,62.0,15.0
Owens_Lake_South.A,20131024,2359,0.000,,26.1,0.0,,,0,0,,,14.4,13.9,,198,,68.0,14.0
Owens_Lake_South.A,20131025,2359,0.000,,23.9,6.1,,,0,0,,,14.4,13.9,,194,,68.0,13.0
Owens_Lake_South.A,20131026,2359,0.000,,25.6,6.1,,,0,0,,,13.9,13.9,,195,,64.0,12.0
Owens_Lake_South.A,20131027,2359,0.000,,26.7,1.7,,,0,0,,,14.4,13.9,,192,,60.0,11.0
Owens_Lake_South.A,20131028,2359,0.000,,16.7,1.1,,,0,0,,,14.4,13.9,,184,,59.0,16.0
Owens_Lake_South.A,20131029,2359,0.000,,15.0,-0.6,,,0,0,,,14.4,13.3,,165,,74.0,27.0
Owens_Lake_South.A,20131030,2359,0.000,,15.0,-1.1,,,0,0,,,13.3,12.8,,190,,64.0,24.0
Owens_Lake_South.A,20131031,2359,0.000,,19.4,-5.0,,,0,0,,,12.8,12.2,,188,,72.0,17.0
Owens_Lake_South.A,20131101,2359,0.000,,21.1,-3.3,,,0,0,,,12.8,12.2,,186,,65.0,17.0
Owens_Lake_South.A,20131102,2359,0.000,,21.1,-3.3,,,0,0,,,12.2,11.7,,185,,71.0,18.0
Owens_Lake_South.A,20131103,2359,0.000,,20.0,3.3,,,0,0,,,12.2,11.7,,184,,72.0,15.0
Owens_Lake_South.A,20131104,2359,0.000,,13.9,5.6,,,0,0,,,12.2,11.7,,161,,51.0,22.0
Owens_Lake_South.A,20131105,2359,0.000,,17.2,-2.2,,,0,0,,,,,,50,,50.0,11.0
Owens_Lake_South.A,20131106,2359,0.000,,17.8,-5.0,,,0,0,,,12.2,11.1,,172,,63.0,14.0
Owens_Lake_South.A,20131107,2359,0.000,,20.6,3.9,,,0,0,,,11.7,11.1,,180,,63.0,14.0
Owens_Lake_South.A,20131108,2359,0.000,,18.9,4.4,,,0,0,,,11.7,11.1,,171,,67.0,20.0
Owens_Lake_South.A,20131109,2359,0.000,,18.3,3.3,,,0,0,,,11.7,11.1,,164,,67.0,15.0
Owens_Lake_South.A,20131110,2359,0.000,,17.8,3.3,,,0,0,,,11.1,10.6,,167,,68.0,17.0
Owens_Lake_South.A,20131111,2359,0.000,,21.1,-3.3,,,0,0,,,11.1,10.6,,161,,61.0,16.0
Owens_Lake_South.A,20131112,2359,0.000,,15.6,0.6,,,0,0,,,11.1,10.6,,57,,61.0,17.0
Owens_Lake_South.A,20131113,2359,0.000,,21.7,1.7,,,0,0,,,11.1,10.6,,162,,67.0,18.0
Owens_Lake_South.A,20131114,2359,0.000,,20.0,0.0,,,0,0,,,11.1,10.6,,159,,67.0,21.0
Owens_Lake_South.A,20131115,2359,0.000,,17.2,3.9,,,0,0,,,11.1,10.6,,161,,75.0,18.0
Owens_Lake_South.A,20131116,2359,0.000,,16.7,-3.9,,,0,0,,,10.6,10.0,,153,,73.0,28.0
Owens_Lake_South.A,20131117,2359,0.000,,16.7,1.1,,,0,0,,,10.6,10.0,,151,,81.0,31.0
Owens_Lake_South.A,20131118,2359,0.000,,16.1,1.1,,,0,0,,,10.6,10.0,,125,,82.0,34.0
Owens_Lake_South.A,20131119,2359,0.000,,18.3,-2.2,,,0,0,,,10.6,10.0,,143,,83.0,31.0
Owens_Lake_South.A,20131120,2359,0.000,,18.9,3.9,,,0,0,,,10.6,10.6,,143,,76.0,31.0
Owens_Lake_South.A,20131121,2359,0.761,,9.4,1.7,,,0,0,,,10.6,10.0,,52,,81.0,50.0
Owens_Lake_South.A,20131122,2359,2.792,,3.9,-2.8,,,0,0,,,10.0,8.3,,19,,92.0,65.0
Owens_Lake_South.A,20131123,2359,0.508,,9.4,-2.2,,,0,0,,,8.9,8.3,,67,,70.0,48.0
Owens_Lake_South.A,20131124,2359,0.000,,14.4,-2.8,,,0,0,,,9.4,8.9,,146,,82.0,26.0
Owens_Lake_South.A,20131125,2359,0.000,,17.2,-5.0,,,0,0,,,9.4,8.3,,149,,86.0,28.0
Owens_Lake_South.A,20131126,2359,0.000,,16.1,-0.6,,,0,0,,,8.9,8.3,,130,,86.0,21.0
Owens_Lake_South.A,20131127,2359,0.000,,15.6,3.9,,,0,0,,,8.9,8.3,,128,,75.0,27.0
Owens_Lake_South.A,20131128,2359,0.000,,11.1,-2.8,,,0,0,,,8.9,8.9,,77,,82.0,50.0
Owens_Lake_South.A,20131129,2359,0.000,,12.2,-4.4,,,0,0,,,8.9,8.3,,105,,85.0,39.0
Owens_Lake_South.A,20131130,2359,0.000,,13.9,-6.7,,,0,0,,,8.3,7.8,,141,,86.0,32.0
Owens_Lake_South.A,20131201,2359,0.000,,13.3,-7.2,,,0,0,,,8.3,7.2,,143,,86.0,29.0
Owens_Lake_South.A,20131202,2359,0.000,,16.7,-1.1,,,0,0,,,7.8,7.2,,145,,84.0,28.0
Owens_Lake_South.A,20131203,2359,0.000,,17.2,-3.3,,,0,0,,,,,,116,,74.0,16.0
Owens_Lake_South.A,20131204,2359,0.000,,5.0,-8.3,,,0,0,,,7.8,7.2,,142,,,
Owens_Lake_South.A,20131205,2359,0.000,,2.8,-12.8,,,0,0,,,7.2,6.1,,141,,,
Owens_Lake_South.A,20131206,2359,0.000,,6.1,-12.2,,,0,0,,,6.1,5.0,,139,,73.0,24.0
Owens_Lake_South.A,20131207,2359,0.000,,9.4,-10.0,,,0,0,,,5.6,5.0,,122,,70.0,13.0
Owens_Lake_South.A,20131208,2359,0.000,,4.4,-6.1,,,0,0,,,5.6,5.0,,138,,,
Owens_Lake_South.A,20131209,2359,0.000,,6.7,-6.1,,,,,,,,,,139,,,
Owens_Lake_South.A,20131210,2359,0.000,,6.7,-8.3,,,,,,,,,,137,,,
Owens_Lake_South.A,20131211,2359,0.000,,9.4,-6.7,,,,,,,,,,132,,,
Owens_Lake_South.A,20131212,2359,0.000,,8.9,-12.2,,,0,0,,,3.3,2.8,,136,,77.0,29.0
Owens_Lake_South.A,20131213,2359,0.000,,13.3,-11.7,,,0,0,,,3.3,2.8,,138,,77.0,16.0
Owens_Lake_South.A,20131214,2359,0.000,,14.4,-7.2,,,0,0,,,3.9,3.3,,138,,74.0,21.0
Owens_Lake_South.A,20131215,2359,0.000,,13.3,-10.0,,,0,0,,,3.9,3.3,,134,,80.0,25.0
Owens_Lake_South.A,20131216,2359,0.000,,13.3,-6.7,,,0,0,,,4.4,3.9,,132,,73.0,26.0
Owens_Lake_South.A,20131217,2359,0.000,,12.8,-7.2,,,0,0,,,4.4,3.9,,115,,75.0,26.0
Owens_Lake_South.A,20131218,2359,0.000,,15.0,0.6,,,0,0,,,5.0,4.4,,54,,63.0,23.0
Owens_Lake_South.A,20131219,2359,1.777,,13.9,1.1,,,0,0,,,5.6,5.0,,23,,79.0,29.0
Owens_Lake_South.A,20131220,2359,0.000,,11.1,-2.2,,,,,,,5.6,5.0,,135,,60.0,16.0
Owens_Lake_South.A,20131221,2359,0.000,,17.2,-4.4,,,,,,,5.6,5.0,,134,,70.0,28.0
Owens_Lake_South.A,20131222,2359,0.000,,12.8,-1.1,,,,,,,5.6,5.0,,132,,85.0,33.0
Owens_Lake_South.A,20131223,2359,0.000,,14.4,-2.8,,,,,,,5.6,5.0,,132,,86.0,35.0
Owens_Lake_South.A,20131224,2359,0.000,,14.4,-2.8,,,,,,,5.0,4.4,,133,,88.0,23.0
Owens_Lake_South.A,20131225,2359,0.000,,13.9,-7.8,,,,,,,5.0,4.4,,138,,79.0,23.0
Owens_Lake_South.A,20131226,2359,0.000,,12.2,-3.3,,,,,,,5.0,3.9,,139,,80.0,14.0
Owens_Lake_South.A,20131227,2359,0.000,,10.6,-5.0,,,,,,,4.4,3.3,,133,,79.0,14.0
Owens_Lake_South.A,20131228,2359,0.000,,16.1,-2.2,,,0,0,,,4.4,3.9,,138,,72.0,12.0
Owens_Lake_South.A,20131229,2359,0.000,,14.4,-7.2,,,0,0,,,5.0,4.4,,139,,56.0,12.0
Owens_Lake_South.A,20131230,2359,0.000,,10.6,-5.0,,,0,0,,,5.0,4.4,,129,,69.0,18.0
Owens_Lake_South.A,20131231,2359,0.000,,13.9,-3.3,,,0,0,,,4.4,3.9,,122,,66.0,14.0
Owens_Lake_South.A,20140101,2359,0.000,,15.6,-4.4,,,0,0,,,4.4,3.9,,138,,73.0,24.0
Owens_Lake_South.A,20140102,2359,0.000,,17.2,-3.3,,,0,0,,,4.4,3.9,,136,,79.0,24.0
