

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station ARVIN.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          688           32            0           11            0        "
"                     ARVIN.A      SHAFTER.A    none         BAKRSFLD.C   "
"Air Temps, max/min     711           10            0           10            0        "
"                     ARVIN.A      SHAFTER.A    none         BAKRSFLD.C   "
"Soil Temps, max/min    713            8            0           10            0        "
"                     ARVIN.A      SHAFTER.A    none         SHAFTER.A    "
"Rel. Humidity          703            0            0            0           28        "
"                     ARVIN.A      none         none         none         "
"ETo                    714            0            0            0           17        "
"                     ARVIN.A      none         none         none         "
"Solar Radiation        709           10            0           12            0        "
"                     ARVIN.A      SHAFTER.A    none         SHAFTER.A    "
"Wind Speed & Dir       706            0            0            0           25        "
"                     ARVIN.A      none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
ARVIN.A,20130810,2359,0.000,,32.2,15.6,,,0,0,,,26.1,23.9,,292,7.107,74.0,26.0
ARVIN.A,20130811,2359,0.000,,32.8,16.7,,,0,0,,,26.7,23.9,,296,7.107,74.0,28.0
ARVIN.A,20130812,2359,0.000,,34.4,16.7,,,0,0,,,26.1,23.9,,296,6.853,73.0,26.0
ARVIN.A,20130813,2359,0.000,,35.6,17.2,,,0,0,,,26.7,23.9,,297,7.107,67.0,22.0
ARVIN.A,20130814,2359,0.000,,37.2,16.7,,,0,0,,,26.7,24.4,,294,7.360,69.0,21.0
ARVIN.A,20130815,2359,0.000,,36.7,17.8,,,0,0,,,26.7,24.4,,289,7.107,61.0,20.0
ARVIN.A,20130816,2359,0.000,,36.7,18.9,,,0,0,,,27.2,24.4,,282,7.107,61.0,26.0
ARVIN.A,20130817,2359,0.000,,36.7,19.4,,,0,0,,,26.7,25.0,,284,7.614,64.0,23.0
ARVIN.A,20130818,2359,0.000,,34.4,18.3,,,0,0,,,26.7,25.0,,173,4.315,63.0,28.0
ARVIN.A,20130819,2359,0.000,,42.8,23.3,,,0,0,,,27.2,25.0,,267,8.122,50.0,21.0
ARVIN.A,20130820,2359,0.000,,37.8,20.6,,,0,0,,,27.2,24.4,,255,6.853,73.0,24.0
ARVIN.A,20130821,2359,0.000,,36.7,18.3,,,0,0,,,26.1,23.3,,265,6.853,60.0,24.0
ARVIN.A,20130822,2359,0.000,,35.0,19.4,,,0,0,,,26.7,24.4,,278,6.853,64.0,29.0
ARVIN.A,20130823,2359,0.000,,32.8,16.7,,,0,0,,,26.1,24.4,,277,6.599,72.0,31.0
ARVIN.A,20130824,2359,0.000,,35.0,16.7,,,0,0,,,25.6,23.3,,274,6.599,73.0,25.0
ARVIN.A,20130825,2359,0.000,,33.9,17.2,,,0,0,,,26.1,23.9,,275,6.345,69.0,28.0
ARVIN.A,20130826,2359,0.000,,32.8,16.7,,,0,0,,,26.1,23.9,,266,6.091,72.0,37.0
ARVIN.A,20130827,2359,0.000,,35.6,20.0,,,0,0,,,26.7,25.0,,220,5.838,72.0,32.0
ARVIN.A,20130828,2359,0.000,,34.4,17.8,,,0,0,,,26.7,24.4,,264,6.345,65.0,30.0
ARVIN.A,20130829,2359,0.000,,35.0,18.3,,,0,0,,,25.6,23.9,,261,6.345,70.0,32.0
ARVIN.A,20130830,2359,0.000,,35.0,20.0,,,0,0,,,26.1,24.4,,249,6.345,68.0,31.0
ARVIN.A,20130831,2359,0.000,,36.1,22.2,,,0,0,,,26.1,25.0,,185,5.076,71.0,30.0
ARVIN.A,20130901,2359,0.000,,33.9,21.7,,,0,0,,,26.7,25.6,,159,3.807,80.0,34.0
ARVIN.A,20130902,2359,0.000,,32.8,21.1,,,0,0,,,26.7,25.0,,225,5.330,84.0,40.0
ARVIN.A,20130903,2359,0.000,,32.8,20.6,,,0,0,,,26.7,25.6,,241,5.584,71.0,39.0
ARVIN.A,20130904,2359,2.031,,32.2,18.3,,,0,0,,,26.1,23.9,,250,5.330,77.0,37.0
ARVIN.A,20130905,2359,0.000,,32.8,17.8,,,0,0,,,25.0,23.3,,249,5.330,71.0,34.0
ARVIN.A,20130906,2359,0.000,,32.2,16.1,,,0,0,,,25.0,23.9,,250,5.330,71.0,34.0
ARVIN.A,20130907,2359,0.000,,38.9,16.7,,,0,0,,,25.6,23.3,,253,5.838,76.0,15.0
ARVIN.A,20130908,2359,0.000,,36.7,17.2,,,0,0,,,25.6,23.9,,246,6.091,55.0,21.0
ARVIN.A,20130909,2359,0.000,,37.2,19.4,,,0,0,,,25.6,23.9,,232,5.838,57.0,18.0
ARVIN.A,20130910,2359,0.000,,36.7,18.3,,,0,0,,,25.6,23.9,,229,5.838,62.0,20.0
ARVIN.A,20130911,2359,0.000,,33.3,17.2,,,0,0,,,25.0,23.9,,223,5.330,63.0,27.0
ARVIN.A,20130912,2359,2.031,,32.2,15.6,,,0,0,,,25.0,23.3,,228,4.822,75.0,30.0
ARVIN.A,20130913,2359,0.000,,33.9,16.1,,,SE,1,,,25.0,23.3,,233,5.330,74.1,31.2
ARVIN.A,20130914,2359,0.000,,35.0,17.8,,,S,1,,,25.0,23.3,,231,4.822,71.0,30.0
ARVIN.A,20130915,2359,0.000,,33.3,18.3,,,S,2,,,25.0,23.9,,234,5.330,,
ARVIN.A,20130916,2359,0.000,,31.1,15.6,,,S,1,,,25.0,23.3,,238,5.076,70.8,34.6
ARVIN.A,20130917,2359,0.000,,30.0,16.1,,,0,0,,,24.4,22.8,,234,5.330,73.0,33.0
ARVIN.A,20130918,2359,0.000,,28.3,13.9,,,0,0,,,22.8,21.7,,234,5.076,68.0,33.0
ARVIN.A,20130919,2359,0.000,,31.1,11.7,,,0,0,,,23.3,21.7,,233,4.822,83.0,31.0
ARVIN.A,20130920,2359,0.000,,33.9,13.9,,,0,0,,,22.8,21.1,,229,5.330,73.0,22.0
ARVIN.A,20130921,2359,0.000,,27.8,12.8,,,0,0,,,22.8,21.1,,215,4.822,76.0,33.0
ARVIN.A,20130922,2359,0.000,,22.8,12.8,,,0,0,,,21.7,21.1,,180,3.300,84.0,40.0
ARVIN.A,20130923,2359,0.000,,27.2,10.0,,,0,0,,,21.7,20.0,,229,4.315,83.0,36.0
ARVIN.A,20130924,2359,0.000,,31.1,11.7,,,0,0,,,22.2,20.6,,228,4.569,85.0,27.0
ARVIN.A,20130925,2359,0.000,,22.8,13.9,,,0,0,,,21.7,20.6,,208,4.315,71.0,34.0
ARVIN.A,20130926,2359,0.000,,21.7,9.4,,,0,0,,,20.6,20.0,,206,4.061,67.0,32.0
ARVIN.A,20130927,2359,0.000,,25.6,7.2,,,0,0,,,21.1,18.9,,225,4.315,77.0,27.0
ARVIN.A,20130928,2359,0.000,,28.3,7.2,,,0,0,,,20.6,18.9,,227,4.569,73.0,24.0
ARVIN.A,20130929,2359,0.000,,30.6,10.0,,,0,0,,,20.6,18.9,,226,4.822,62.0,16.0
ARVIN.A,20130930,2359,0.000,,27.2,11.7,,,0,0,,,21.1,18.9,,220,4.061,82.0,40.0
ARVIN.A,20131001,2359,0.000,,27.8,12.2,,,0,0,,,21.1,19.4,,211,4.061,85.0,41.0
ARVIN.A,20131002,2359,1.015,,26.7,12.2,,,0,0,,,21.7,20.0,,210,4.061,80.0,36.0
ARVIN.A,20131003,2359,0.000,,23.3,8.9,,,0,0,,,20.6,18.9,,210,4.061,83.0,32.0
