

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 88% of requested data were available from station BLACKWLL.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          652           68            0           11            0        "
"                     BLACKWLL.A   LOST_HILLS.A WASCO.C      BLACKWLL.A   "
"Air Temps, max/min     648           67            0           16            0        "
"                     BLACKWLL.A   LOST_HILLS.A WASCO.C      BLACKWLL.A   "
"Soil Temps, max/min    628           81           13            9            0        "
"                     BLACKWLL.A   LOST_HILLS.A SHAFTER.A    BLACKWLL.A   "
"Rel. Humidity          650            0            0            0           81        "
"                     BLACKWLL.A   none         none         none         "
"ETo                    655            0            0            0           76        "
"                     BLACKWLL.A   none         none         none         "
"Solar Radiation        645           68            7           11            0        "
"                     BLACKWLL.A   LOST_HILLS.A SHAFTER.A    BLACKWLL.A   "
"Wind Speed & Dir       647            0            0            0           84        "
"                     BLACKWLL.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
BLACKWLL.A,20130810,2359,0.000,,32.2,16.7,,,0,0,,,25.0,21.7,,309,7.107,62.0,21.0
BLACKWLL.A,20130811,2359,0.000,,33.3,16.7,,,0,0,,,25.6,21.7,,310,6.599,65.0,19.0
BLACKWLL.A,20130812,2359,0.000,,34.4,16.7,,,0,0,,,25.0,22.2,,315,7.107,59.0,16.0
BLACKWLL.A,20130813,2359,0.000,,35.6,16.1,,,0,0,,,25.6,22.2,,316,7.107,59.0,16.0
BLACKWLL.A,20130814,2359,0.000,,36.7,17.2,,,0,0,,,25.6,22.2,,321,7.107,57.0,13.0
BLACKWLL.A,20130815,2359,0.000,,36.7,16.1,,,0,0,,,26.1,22.2,,316,7.107,60.0,15.0
BLACKWLL.A,20130816,2359,0.000,,36.7,18.3,,,0,0,,,25.6,23.3,,303,7.107,65.0,20.0
BLACKWLL.A,20130817,2359,0.000,,37.2,20.6,,,0,0,,,25.6,23.3,,302,7.360,51.0,15.0
BLACKWLL.A,20130818,2359,0.000,,35.6,20.6,,,0,0,,,25.6,23.3,,258,6.345,50.0,20.0
BLACKWLL.A,20130819,2359,0.000,,37.8,19.4,,,,,,,28.3,26.1,,296,,,
BLACKWLL.A,20130820,2359,0.000,,37.2,22.8,,,0,0,,,24.4,22.8,,295,9.645,32.0,13.0
BLACKWLL.A,20130821,2359,0.000,,36.7,19.4,,,0,0,,,24.4,22.2,,298,7.868,43.0,13.0
BLACKWLL.A,20130822,2359,0.000,,36.7,16.1,,,0,0,,,25.0,22.2,,296,7.107,58.0,14.0
BLACKWLL.A,20130823,2359,0.000,,32.8,15.6,,,0,0,,,23.9,22.2,,300,6.345,63.0,24.0
BLACKWLL.A,20130824,2359,0.000,,33.9,17.2,,,0,0,,,23.9,22.2,,296,6.853,58.0,20.0
BLACKWLL.A,20130825,2359,0.000,,33.3,16.1,,,0,0,,,23.9,22.2,,293,6.599,70.0,25.0
BLACKWLL.A,20130826,2359,0.000,,32.8,15.6,,,0,0,,,23.9,22.2,,294,6.345,65.0,25.0
BLACKWLL.A,20130827,2359,0.000,,35.0,18.9,,,0,0,,,23.9,22.2,,275,7.107,60.0,20.0
BLACKWLL.A,20130828,2359,0.000,,34.4,18.9,,,0,0,,,23.9,22.2,,288,6.853,54.0,18.0
BLACKWLL.A,20130829,2359,0.000,,34.4,18.3,,,0,0,,,23.9,22.2,,286,6.345,54.0,26.0
