

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station LOST_HILLS.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          703            0           17           11            0        "
"                     LOST_HILLS.A LOSTHILL.A   SHAFTER.A    WASCO.C      "
"Air Temps, max/min     695            0           26           10            0        "
"                     LOST_HILLS.A LOSTHILL.A   SHAFTER.A    WASCO.C      "
"Soil Temps, max/min    696            0           25           10            0        "
"                     LOST_HILLS.A LOSTHILL.A   SHAFTER.A    SHAFTER.A    "
"Rel. Humidity          697            0            0            0           34        "
"                     LOST_HILLS.A none         none         none         "
"ETo                    705            0            0            0           26        "
"                     LOST_HILLS.A none         none         none         "
"Solar Radiation        694            0           24           13            0        "
"                     LOST_HILLS.A LOSTHILL.A   SHAFTER.A    SHAFTER.A    "
"Wind Speed & Dir       697            0            0            0           34        "
"                     LOST_HILLS.A none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
LOST_HILLS.A,20130810,2359,0.000,,33.3,15.6,,,0,0,,,26.1,24.4,,322,6.091,85.0,27.0
LOST_HILLS.A,20130811,2359,0.000,,33.3,15.6,,,0,0,,,26.1,24.4,,327,6.091,88.0,30.0
LOST_HILLS.A,20130812,2359,0.000,,34.4,15.6,,,0,0,,,26.7,24.4,,329,6.091,86.0,27.0
LOST_HILLS.A,20130813,2359,0.000,,35.6,15.6,,,0,0,,,26.7,25.0,,332,6.345,78.0,25.0
LOST_HILLS.A,20130814,2359,0.000,,36.1,17.2,,,0,0,,,26.7,25.0,,334,6.345,81.0,21.0
LOST_HILLS.A,20130815,2359,0.000,,36.1,15.6,,,0,0,,,27.2,25.0,,328,6.345,84.0,25.0
LOST_HILLS.A,20130816,2359,0.000,,36.7,17.8,,,0,0,,,27.2,25.6,,316,6.091,84.0,31.0
LOST_HILLS.A,20130817,2359,0.000,,36.1,18.3,,,0,0,,,27.8,25.6,,316,6.091,84.0,32.0
LOST_HILLS.A,20130818,2359,0.000,,35.6,18.9,,,0,0,,,27.8,25.6,,318,6.345,78.0,29.0
LOST_HILLS.A,20130819,2359,0.000,,37.8,19.4,,,0,0,,,28.3,26.1,,296,6.599,78.0,32.0
LOST_HILLS.A,20130820,2359,0.000,,38.3,19.4,,,0,0,,,27.8,26.1,,314,6.853,72.0,20.0
LOST_HILLS.A,20130821,2359,0.000,,36.7,16.7,,,0,0,,,27.8,26.1,,311,6.091,70.0,23.0
LOST_HILLS.A,20130822,2359,0.000,,36.1,15.0,,,0,0,,,27.2,25.6,,311,6.345,82.0,24.0
LOST_HILLS.A,20130823,2359,0.000,,34.4,15.0,,,0,0,,,27.2,25.6,,311,5.838,77.0,26.0
LOST_HILLS.A,20130824,2359,0.000,,35.6,16.1,,,0,0,,,27.2,25.0,,307,6.091,74.0,23.0
LOST_HILLS.A,20130825,2359,0.000,,33.3,16.7,,,0,0,,,27.2,25.0,,304,5.838,81.0,32.0
LOST_HILLS.A,20130826,2359,0.000,,33.9,15.6,,,0,0,,,26.7,25.0,,302,5.584,84.0,32.0
LOST_HILLS.A,20130827,2359,0.000,,35.6,17.8,,,0,0,,,27.2,25.6,,289,6.091,83.0,29.0
LOST_HILLS.A,20130828,2359,0.000,,36.1,18.3,,,0,0,,,27.2,25.6,,296,5.838,74.0,30.0
