

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: No data were available from station CORCORAN.C.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation            0          706           21            4            0        "
"                     CORCORAN.C   CORCORAN.T   PORTERVILLE.ûA            CORCORAN.C   "
"Air Temps, max/min       0          698           29            4            0        "
"                     CORCORAN.C   CORCORAN.T   PORTERVILLE.ûA            CORCORAN.C   "
"Air Temps, observed      0            0            0            0          731        "
"                     CORCORAN.C   none         none         none         "
"Weather Condition        0            0            0            0          731        "
"                     CORCORAN.C   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
CORCORAN.C,20130810,1700,0.000,,32.2,16.1,,,,,,,,,,,,,
CORCORAN.C,20130811,1700,0.000,,32.8,31.7,,,,,,,,,,,,,
CORCORAN.C,20130812,1700,0.000,,35.6,15.0,,,,,,,,,,,,,
CORCORAN.C,20130813,1700,0.000,,36.7,15.6,,,,,,,,,,,,,
CORCORAN.C,20130814,1700,0.000,,37.8,16.1,,,,,,,,,,,,,
CORCORAN.C,20130815,1700,0.000,,37.8,16.7,,,,,,,,,,,,,
CORCORAN.C,20130816,1700,0.000,,37.8,18.3,,,,,,,,,,,,,
CORCORAN.C,20130817,1700,0.000,,37.8,20.0,,,,,,,,,,,,,
CORCORAN.C,20130818,1700,0.000,,37.8,19.4,,,,,,,,,,,,,
CORCORAN.C,20130819,1700,0.000,,40.0,18.3,,,,,,,,,,,,,
CORCORAN.C,20130820,1700,0.000,,40.6,20.0,,,,,,,,,,,,,
CORCORAN.C,20130821,1700,0.000,,38.9,18.3,,,,,,,,,,,,,
CORCORAN.C,20130822,1700,0.000,,36.7,16.7,,,,,,,,,,,,,
CORCORAN.C,20130823,1700,0.000,,36.7,16.7,,,,,,,,,,,,,
CORCORAN.C,20130824,1700,0.000,,35.0,17.2,,,,,,,,,,,,,
CORCORAN.C,20130825,1700,0.000,,35.0,17.8,,,,,,,,,,,,,
CORCORAN.C,20130826,1700,0.000,,35.0,16.7,,,,,,,,,,,,,
CORCORAN.C,20130827,1700,0.000,,35.6,18.9,,,,,,,,,,,,,
CORCORAN.C,20130828,1700,0.000,,35.0,17.8,,,,,,,,,,,,,
CORCORAN.C,20130829,1700,0.000,,35.0,18.3,,,,,,,,,,,,,
CORCORAN.C,20130830,1700,0.000,,35.6,17.8,,,,,,,,,,,,,
CORCORAN.C,20130831,1700,0.000,,37.8,21.1,,,,,,,,,,,,,
CORCORAN.C,20130901,1700,0.000,,36.1,18.9,,,,,,,,,,,,,
CORCORAN.C,20130902,1700,0.000,,35.0,18.9,,,,,,,,,,,,,
CORCORAN.C,20130903,1700,0.000,,35.6,20.0,,,,,,,,,,,,,
CORCORAN.C,20130904,1700,0.000,,33.9,17.8,,,,,,,,,,,,,
CORCORAN.C,20130905,1700,0.000,,33.9,17.2,,,,,,,,,,,,,
CORCORAN.C,20130906,1700,0.000,,33.3,16.1,,,,,,,,,,,,,
CORCORAN.C,20130907,1700,0.000,,36.1,17.8,,,,,,,,,,,,,
CORCORAN.C,20130908,1700,0.000,,37.2,20.0,,,,,,,,,,,,,
CORCORAN.C,20130909,1700,0.000,,37.8,17.8,,,,,,,,,,,,,
