

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station BUNTNGVL.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            0            0           13            0        "
"                     BUNTNGVL.A   SUSNVILE.C   DOYLE.C      BUNTNGVL.A   "
"Air Temps, max/min     700            0            0           31            0        "
"                     BUNTNGVL.A   SUSNVILE.C   DOYLE.C      BUNTNGVL.A   "
"Soil Temps, max/min    716            0            0           15            0        "
"                     BUNTNGVL.A   none         none         BUNTNGVL.A   "
"Rel. Humidity          714            0            0            0           17        "
"                     BUNTNGVL.A   none         none         none         "
"ETo                    722            0            0            0            9        "
"                     BUNTNGVL.A   none         none         none         "
"Solar Radiation        710            0            0           21            0        "
"                     BUNTNGVL.A   none         none         BUNTNGVL.A   "
"Wind Speed & Dir       714            0            0            0           17        "
"                     BUNTNGVL.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
BUNTNGVL.A,20130810,2359,0.000,,28.3,3.3,,,0,0,,,21.7,17.8,,319,6.853,70.0,13.0
BUNTNGVL.A,20130811,2359,0.000,,30.6,6.7,,,0,0,,,22.2,17.8,,320,6.599,61.0,12.0
BUNTNGVL.A,20130812,2359,0.000,,31.7,7.2,,,0,0,,,22.2,17.8,,325,6.853,53.0,12.0
BUNTNGVL.A,20130813,2359,0.000,,32.8,6.7,,,0,0,,,22.8,17.8,,317,6.599,60.0,9.0
BUNTNGVL.A,20130814,2359,0.000,,34.4,4.4,,,0,0,,,22.8,17.8,,324,7.107,57.0,8.0
BUNTNGVL.A,20130815,2359,0.000,,33.9,5.6,,,0,0,,,22.2,17.8,,316,7.107,47.0,7.0
BUNTNGVL.A,20130816,2359,0.000,,33.3,2.8,,,0,0,,,22.2,17.2,,307,6.853,61.0,8.0
BUNTNGVL.A,20130817,2359,0.000,,35.0,6.1,,,0,0,,,22.8,17.8,,317,6.853,50.0,7.0
BUNTNGVL.A,20130818,2359,0.000,,37.8,15.6,,,0,0,,,23.9,18.9,,302,7.107,48.0,11.0
BUNTNGVL.A,20130819,2359,0.000,,33.3,16.7,,,0,0,,,22.2,20.0,,144,4.315,43.0,17.0
BUNTNGVL.A,20130820,2359,0.000,,34.4,17.2,,,0,0,,,23.3,19.4,,243,6.345,50.0,17.0
BUNTNGVL.A,20130821,2359,2.792,,32.2,13.9,,,0,0,,,22.8,20.0,,154,3.553,82.0,22.0
BUNTNGVL.A,20130822,2359,0.000,,30.6,8.9,,,0,0,,,21.7,18.3,,278,6.345,90.0,13.0
BUNTNGVL.A,20130823,2359,0.000,,30.6,6.1,,,0,0,,,22.2,17.2,,297,6.345,69.0,12.0
BUNTNGVL.A,20130824,2359,0.000,,29.4,5.0,,,0,0,,,21.7,17.2,,293,6.599,67.0,14.0
BUNTNGVL.A,20130825,2359,0.000,,27.2,7.2,,,0,0,,,20.6,17.8,,219,5.076,71.0,20.0
BUNTNGVL.A,20130826,2359,0.000,,28.9,6.1,,,0,0,,,21.1,16.7,,294,6.599,79.0,17.0
BUNTNGVL.A,20130827,2359,0.000,,31.7,4.4,,,0,0,,,21.1,16.7,,268,6.345,73.0,12.0
BUNTNGVL.A,20130828,2359,0.000,,31.1,7.8,,,0,0,,,21.7,17.2,,281,6.853,66.0,14.0
