"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station LONG_BEACH.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          710            0           11           10            0        "
"                     LONG_BEACH.A LONGBCH.A    STMONICA.A   SANTAANA.C   "
"Air Temps, max/min     687            0           19           25            0        "
"                     LONG_BEACH.A LONGBCH.A    STMONICA.A   SANTAANA.C   "
"Soil Temps, max/min    704            0           17           10            0        "
"                     LONG_BEACH.A LONGBCH.A    STMONICA.A   SNTA_ANA.A   "
"Rel. Humidity          698            0            0            0           33        "
"                     LONG_BEACH.A none         none         none         "
"ETo                    710            0            0            0           21        "
"                     LONG_BEACH.A none         none         none         "
"Solar Radiation        704            0           17           10            0        "
"                     LONG_BEACH.A LONGBCH.A    STMONICA.A   SNTA_ANA.A   "
"Wind Speed & Dir       702            0            0            0           29        "
"                     LONG_BEACH.A none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
LONG_BEACH.A,20130810,2359,0.000,,21.7,14.4,,,0,0,,,23.9,23.3,,269,4.569,92.0,43.0
LONG_BEACH.A,20130811,2359,0.000,,25.6,13.9,,,0,0,,,24.4,23.3,,292,5.076,93.0,34.0
LONG_BEACH.A,20130812,2359,0.000,,24.4,14.4,,,0,0,,,24.4,23.3,,284,4.822,93.0,39.0
LONG_BEACH.A,20130813,2359,0.000,,26.1,15.6,,,0,0,,,24.4,23.9,,274,4.822,92.0,36.0
LONG_BEACH.A,20130814,2359,0.000,,23.3,16.1,,,0,0,,,24.4,23.9,,276,4.569,92.0,60.0
LONG_BEACH.A,20130815,2359,0.000,,23.3,17.2,,,0,0,,,25.0,23.9,,288,5.076,92.0,46.0
LONG_BEACH.A,20130816,2359,0.000,,27.8,16.7,,,0,0,,,25.0,23.9,,289,5.076,94.0,32.0
LONG_BEACH.A,20130817,2359,0.000,,28.3,16.1,,,0,0,,,25.6,23.9,,302,5.076,94.0,30.0
LONG_BEACH.A,20130818,2359,0.000,,22.8,16.7,,,0,0,,,25.0,24.4,,293,4.569,93.0,64.0
LONG_BEACH.A,20130819,2359,0.000,,22.8,16.1,,,0,0,,,25.0,24.4,,214,3.553,92.0,44.0
LONG_BEACH.A,20130820,2359,0.000,,27.8,16.1,,,0,0,,,25.0,23.9,,276,5.076,94.0,31.0
LONG_BEACH.A,20130821,2359,0.000,,29.4,15.0,,,0,0,,,25.0,23.9,,294,5.330,95.0,29.0
LONG_BEACH.A,20130822,2359,0.000,,31.1,15.0,,,0,0,,,25.0,23.9,,292,5.584,94.0,19.0
LONG_BEACH.A,20130823,2359,0.000,,30.6,14.4,,,0,0,,,25.0,23.9,,306,5.584,95.0,20.0
LONG_BEACH.A,20130824,2359,0.000,,26.1,13.3,,,0,0,,,25.0,23.9,,301,4.822,95.0,33.0
LONG_BEACH.A,20130825,2359,0.000,,26.7,15.6,,,0,0,,,25.0,23.9,,288,4.822,95.0,32.0
LONG_BEACH.A,20130826,2359,0.000,,31.1,15.6,,,0,0,,,25.6,23.9,,272,5.584,96.0,20.0
LONG_BEACH.A,20130827,2359,0.000,,31.1,17.8,,,0,0,,,26.1,24.4,,249,4.822,88.0,21.0
LONG_BEACH.A,20130828,2359,0.000,,33.3,17.2,,,0,0,,,26.1,24.4,,281,5.584,90.0,16.0
