"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station POMONA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          710            0            0           21            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Air Temps, max/min     668            0            0           63            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Soil Temps, max/min    708            0            0           23            0        "
"                     POMONA.A     CLARMONT.A   none         CLARMONT.A   "
"Rel. Humidity          698            0            0            0           33        "
"                     POMONA.A     none         none         none         "
"ETo                    713            0            0            0           18        "
"                     POMONA.A     none         none         none         "
"Solar Radiation        702            0            0           29            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Wind Speed & Dir       705            0            0            0           26        "
"                     POMONA.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
POMONA.A,20130810,2359,0.000,,28.3,14.4,,,0,0,,,23.9,22.8,,299,5.330,79.0,43.0
POMONA.A,20130811,2359,0.000,,31.1,13.9,,,0,0,,,23.9,22.8,,310,5.584,80.0,38.0
POMONA.A,20130812,2359,0.000,,32.2,14.4,,,0,0,,,23.9,22.8,,311,5.584,80.0,41.0
POMONA.A,20130813,2359,0.000,,33.9,16.1,,,0,0,,,24.4,22.8,,304,5.584,79.0,38.0
POMONA.A,20130814,2359,0.000,,35.6,16.7,,,0,0,,,24.4,23.3,,305,5.584,81.0,38.0
POMONA.A,20130815,2359,0.000,,36.1,16.7,,,0,0,,,24.4,23.3,,301,5.838,79.0,35.0
POMONA.A,20130816,2359,0.000,,35.0,17.8,,,0,0,,,25.0,23.9,,298,5.838,79.0,32.0
POMONA.A,20130817,2359,0.000,,36.1,17.8,,,0,0,,,25.0,23.9,,301,5.838,77.0,27.0
POMONA.A,20130818,2359,0.000,,33.3,16.7,,,0,0,,,25.0,23.9,,291,5.584,77.0,40.0
POMONA.A,20130819,2359,0.000,,33.3,18.3,,,0,0,,,25.0,23.9,,284,5.330,77.0,41.0
POMONA.A,20130820,2359,0.000,,33.9,17.2,,,0,0,,,25.0,23.9,,291,5.330,79.0,36.0
POMONA.A,20130821,2359,0.000,,37.2,16.7,,,0,0,,,25.0,23.9,,290,5.838,79.0,30.0
POMONA.A,20130822,2359,0.000,,36.7,16.1,,,0,0,,,25.0,23.9,,289,5.838,76.0,18.0
POMONA.A,20130823,2359,0.000,,36.7,16.1,,,0,0,,,25.0,23.9,,297,5.838,77.0,26.0
POMONA.A,20130824,2359,0.000,,35.0,14.4,,,0,0,,,24.4,23.3,,297,5.838,78.0,31.0
POMONA.A,20130825,2359,0.000,,35.6,16.1,,,0,0,,,24.4,23.3,,292,5.838,77.0,28.0
POMONA.A,20130826,2359,0.000,,34.4,18.9,,,0,0,,,25.0,23.9,,194,4.061,68.0,42.0
POMONA.A,20130827,2359,0.000,,36.1,20.6,,,0,0,,,25.6,23.9,,274,5.838,60.0,32.0
POMONA.A,20130828,2359,0.000,,37.8,20.0,,,0,0,,,25.6,24.4,,275,5.838,65.0,31.0
POMONA.A,20130829,2359,0.000,,38.9,21.1,,,0,0,,,26.1,24.4,,264,5.838,57.0,26.0
POMONA.A,20130830,2359,0.000,,31.7,15.6,,,0,0,,,26.7,25.6,,255,5.330,,
POMONA.A,20130831,2359,0.000,,36.1,25.0,,,0,0,,,27.2,26.1,,240,4.822,,
POMONA.A,20130901,2359,0.000,,35.0,22.8,,,0,0,,,27.2,26.1,,247,4.822,73.0,47.0
POMONA.A,20130902,2359,0.000,,36.1,21.1,,,0,0,,,27.2,26.1,,256,5.076,79.0,40.0
POMONA.A,20130903,2359,0.000,,38.3,22.8,,,0,0,,,27.2,26.1,,254,5.330,74.0,31.0
POMONA.A,20130904,2359,0.000,,40.0,21.7,,,0,0,,,27.2,26.1,,264,5.584,,
POMONA.A,20130905,2359,0.254,,40.0,21.7,,,0,0,,,27.2,26.1,,263,5.584,64.0,27.0
POMONA.A,20130906,2359,0.000,,40.6,20.6,,,0,0,,,27.2,25.6,,252,5.584,66.0,24.0
POMONA.A,20130907,2359,0.000,,38.9,21.1,,,0,0,,,27.2,25.6,,254,5.584,,
POMONA.A,20130908,2359,0.000,,29.4,13.9,,,0,0,,,22.2,21.1,,240,5.076,100.0,26.0
POMONA.A,20130909,2359,0.000,,31.7,18.9,,,0,0,,,26.7,25.6,,238,4.569,73.0,37.0
POMONA.A,20130910,2359,0.000,,30.6,16.1,,,0,0,,,26.1,25.0,,240,4.315,79.0,43.0
POMONA.A,20130911,2359,0.000,,29.4,15.0,,,0,0,,,25.6,24.4,,244,4.315,80.0,48.0
POMONA.A,20130912,2359,0.000,,33.9,15.0,,,0,0,,,25.0,23.9,,253,4.569,80.0,31.0
POMONA.A,20130913,2359,0.000,,34.4,15.6,,,W,1,,,25.0,23.3,,253,4.822,78.9,34.1
POMONA.A,20130914,2359,0.000,,36.7,16.7,,,W,1,,,25.0,23.9,,247,4.061,79.0,34.0
POMONA.A,20130915,2359,0.000,,37.8,16.1,,,W,1,,,25.6,23.9,,253,0.254,,
POMONA.A,20130916,2359,0.000,,37.8,16.7,,,W,1,,,25.6,23.9,,253,5.076,75.0,25.3
POMONA.A,20130917,2359,0.000,,30.6,14.4,,,0,0,,,25.0,23.3,,255,4.315,79.0,43.0
POMONA.A,20130918,2359,0.000,,28.3,16.7,,,0,0,,,24.4,23.3,,230,4.061,80.0,47.0
POMONA.A,20130919,2359,0.000,,30.6,13.9,,,0,0,,,24.4,22.8,,243,4.061,81.0,46.0
POMONA.A,20130920,2359,0.000,,24.4,18.3,,,0,0,,,23.9,23.3,,143,2.284,78.0,64.0
POMONA.A,20130921,2359,0.508,,26.7,17.2,,,0,0,,,23.3,22.8,,190,3.300,80.0,49.0
POMONA.A,20130922,2359,0.000,,27.2,12.8,,,0,0,,,23.3,22.2,,248,4.061,79.0,41.0
POMONA.A,20130923,2359,0.000,,35.0,13.3,,,0,0,,,23.3,22.2,,244,4.822,73.0,20.0
POMONA.A,20130924,2359,0.000,,33.3,13.9,,,0,0,,,23.3,22.2,,239,4.822,70.0,21.0
POMONA.A,20130925,2359,0.000,,30.6,13.9,,,0,0,,,21.7,20.6,,214,4.061,100.0,46.0
POMONA.A,20130926,2359,0.508,,25.6,11.7,,,0,0,,,22.8,21.7,,239,4.061,77.0,26.0
POMONA.A,20130927,2359,0.000,,30.0,8.9,,,0,0,,,22.2,20.6,,243,4.315,75.0,19.0
POMONA.A,20130928,2359,0.000,,33.9,11.1,,,0,0,,,21.7,20.6,,245,4.569,58.0,12.0
