

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 1, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (740 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station Black_Point.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          727            0            0           13            0        "
"                     Black_Point.ûA            PETALUMA_EASûT.A          OAKLAND_FOOTûHILLS.A      RICHMOND.C   "
"Air Temps, max/min     722            6            2           10            0        "
"                     Black_Point.ûA            PETALUMA_EASûT.A          SNTAROSA.A   NOVATO.A     "
"Soil Temps, max/min    726            2            2           10            0        "
"                     Black_Point.ûA            PETALUMA_EASûT.A          SNTAROSA.A   NOVATO.A     "
"Rel. Humidity          721            0            0            0           19        "
"                     Black_Point.ûA            none         none         none         "
"ETo                    728            0            0            0           12        "
"                     Black_Point.ûA            none         none         none         "
"Solar Radiation        717            7            0           16            0        "
"                     Black_Point.ûA            PETALUMA_EASûT.A          OAKLAND_FOOTûHILLS.A      NOVATO.A     "
"Wind Speed & Dir       720            0            0            0           20        "
"                     Black_Point.ûA            none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Black_Point.A,20130801,2359,0.000,,23.9,10.6,,,0,0,,,21.1,21.1,,337,6.091,89.0,45.0
Black_Point.A,20130802,2359,0.000,,27.2,9.4,,,0,0,,,21.1,20.6,,316,6.091,95.0,42.0
Black_Point.A,20130803,2359,0.000,,25.0,7.2,,,0,0,,,21.1,20.6,,311,5.330,98.0,50.0
Black_Point.A,20130804,2359,0.000,,23.3,11.7,,,0,0,,,21.1,20.6,,292,4.822,91.0,54.0
Black_Point.A,20130805,2359,0.000,,23.9,11.7,,,0,0,,,21.1,20.6,,287,4.822,91.0,53.0
Black_Point.A,20130806,2359,1.015,,23.3,12.2,,,0,0,,,21.1,21.1,,267,4.822,92.0,55.0
Black_Point.A,20130807,2359,0.000,,22.2,13.3,,,0,0,,,21.1,20.6,,216,3.807,95.0,59.0
Black_Point.A,20130808,2359,0.000,,23.9,11.7,,,0,0,,,21.1,20.6,,302,5.330,93.0,54.0
Black_Point.A,20130809,2359,0.508,,24.4,12.2,,,0,0,,,21.1,20.6,,290,5.076,94.0,55.0
Black_Point.A,20130810,2359,0.000,,25.0,13.3,,,0,0,,,20.6,20.6,,297,5.330,92.0,53.0
Black_Point.A,20130811,2359,0.000,,26.7,11.1,,,0,0,,,20.6,20.6,,295,5.330,94.0,44.0
Black_Point.A,20130812,2359,0.000,,25.0,9.4,,,0,0,,,20.6,20.6,,287,5.076,98.0,43.0
Black_Point.A,20130813,2359,0.000,,32.2,7.2,,,0,0,,,20.6,20.6,,304,5.838,98.0,32.0
Black_Point.A,20130814,2359,0.000,,28.9,7.2,,,0,0,,,20.6,20.6,,317,6.091,98.0,32.0
Black_Point.A,20130815,2359,0.000,,28.9,13.9,,,0,0,,,21.1,20.6,,312,6.091,92.0,52.0
Black_Point.A,20130816,2359,0.000,,31.1,13.3,,,0,0,,,21.1,21.1,,297,5.838,98.0,37.0
Black_Point.A,20130817,2359,0.000,,28.3,10.0,,,0,0,,,21.1,21.1,,233,4.569,97.0,41.0
Black_Point.A,20130818,2359,0.761,,35.0,10.6,,,0,0,,,21.1,21.1,,297,5.838,97.0,32.0
Black_Point.A,20130819,2359,0.000,,33.3,13.9,,,0,0,,,21.1,21.1,,247,5.330,92.0,29.0
Black_Point.A,20130820,2359,0.761,,27.8,14.4,,,0,0,,,21.7,21.1,,276,5.330,92.0,45.0
Black_Point.A,20130821,2359,0.254,,26.1,12.8,,,0,0,,,21.7,21.1,,270,4.822,92.0,46.0
