

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 78% of requested data were available from station HOPLAND.T.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          568          146           12            5            0        "
"                     HOPLAND.T    HOPLAND.A    HOPLAND2.A   HOPLAND.A    "
"Air Temps, max/min     564          149           13            5            0        "
"                     HOPLAND.T    HOPLAND.A    HOPLAND2.A   HOPLAND.A    "
"Air Temps, observed    565            0            0            0          166        "
"                     HOPLAND.T    none         none         none         "
"Wind Speed & Dir       568            0            0            0          163        "
"                     HOPLAND.T    none         none         none         "
"Weather Condition      568            0            0            0          163        "
"                     HOPLAND.T    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
HOPLAND.T,20130810,800,0.000,,30.0,10.6,11.7,C,0,0,,,,,,,,,
HOPLAND.T,20130811,800,0.000,,32.2,10.0,11.7,C,0,0,,,,,,,,,
HOPLAND.T,20130812,800,0.000,,33.3,9.4,12.8,C,0,0,,,,,,,,,
HOPLAND.T,20130813,800,0.000,,35.6,11.1,12.8,F,0,0,,,,,,,,,
HOPLAND.T,20130814,800,0.000,,34.4,12.2,14.4,F,N,1,,,,,,,,,
HOPLAND.T,20130815,800,0.000,,34.4,13.3,16.1,F,0,0,,,,,,,,,
HOPLAND.T,20130816,800,0.000,,35.0,14.4,16.1,C,0,0,,,,,,,,,
HOPLAND.T,20130817,800,0.000,,34.4,14.4,17.2,CY,NW,0,,,,,,,,,
HOPLAND.T,20130818,800,0.000,,40.0,15.0,16.1,C,0,0,,,,,,,,,
HOPLAND.T,20130819,800,0.000,,36.1,16.1,20.0,CY,0,0,,,,,,,,,
HOPLAND.T,20130820,800,0.000,,31.7,15.0,16.1,PC,S,0,,,,,,,,,
HOPLAND.T,20130821,800,0.000,,31.7,13.9,15.0,C,0,0,,,,,,,,,
HOPLAND.T,20130822,800,0.000,,30.0,11.1,12.8,F,0,0,,,,,,,,,
HOPLAND.T,20130823,800,0.000,,31.7,10.0,11.7,C,N,0,,,,,,,,,
HOPLAND.T,20130824,800,0.000,,28.9,11.1,12.2,C,0,0,,,,,,,,,
HOPLAND.T,20130825,800,0.000,,27.2,12.2,14.4,F,0,0,,,,,,,,,
HOPLAND.T,20130826,800,0.000,,28.9,12.2,14.4,C,0,0,,,,,,,,,
HOPLAND.T,20130827,800,0.000,,32.2,11.1,13.3,C,0,0,,,,,,,,,
HOPLAND.T,20130828,800,0.000,,32.8,10.0,12.2,C,0,0,,,,,,,,,
HOPLAND.T,20130829,800,0.000,,31.7,12.2,13.3,C,0,0,,,,,,,,,
HOPLAND.T,20130830,800,0.000,,34.4,13.3,15.0,C,0,0,,,,,,,,,
HOPLAND.T,20130831,800,0.000,,33.9,11.1,12.8,F,0,0,,,,,,,,,
HOPLAND.T,20130901,800,0.000,,31.1,11.1,12.8,CY,0,0,,,,,,,,,
HOPLAND.T,20130902,800,0.000,,29.4,11.7,12.8,PC,0,0,,,,,,,,,
HOPLAND.T,20130903,800,0.000,,28.3,10.0,10.6,C,0,0,,,,,,,,,
HOPLAND.T,20130904,800,0.000,,28.9,10.6,12.2,C,0,0,,,,,,,,,
HOPLAND.T,20130905,800,0.000,,27.8,10.6,12.2,C,NW,0,,,,,,,,,
HOPLAND.T,20130906,800,0.000,,34.4,9.4,10.0,C,0,0,,,,,,,,,
HOPLAND.T,20130907,800,0.000,,36.1,10.6,11.1,C,0,0,,,,,,,,,
HOPLAND.T,20130908,800,0.000,,38.3,11.7,12.2,C,0,0,,,,,,,,,
HOPLAND.T,20130909,800,0.000,,38.9,13.3,13.9,C,0,0,,,,,,,,,
HOPLAND.T,20130910,800,0.000,,30.0,12.8,13.3,C,0,0,,,,,,,,,
HOPLAND.T,20130911,800,0.000,,25.0,13.3,15.0,F+,0,0,,,,,,,,,
HOPLAND.T,20130912,800,0.000,,32.8,13.9,15.0,F+,0,0,,,,,,,,,
HOPLAND.T,20130913,800,0.000,,34.4,11.1,11.7,C,0,0,,,,,,,,,
HOPLAND.T,20130914,800,0.000,,32.8,10.0,10.6,C,0,0,,,,,,,,,
HOPLAND.T,20130915,800,0.000,,27.8,11.1,13.3,F,NW,1,,,,,,,,,
HOPLAND.T,20130916,800,0.000,,28.9,10.0,10.6,C,0,0,,,,,,,,,
HOPLAND.T,20130917,800,0.000,,24.4,12.2,14.4,C,NW,3,,,,,,,,,
HOPLAND.T,20130918,800,0.000,,29.4,7.8,7.8,C,0,0,,,,,,,,,
HOPLAND.T,20130919,800,0.000,,33.3,6.7,6.7,C,0,0,,,,,,,,,
HOPLAND.T,20130920,800,0.000,,24.4,7.2,7.8,C,0,0,,,,,,,,,
HOPLAND.T,20130921,800,7.614,R,19.4,7.8,13.9,R,0,0,,,,,,,,,
HOPLAND.T,20130922,800,1.015,R,22.2,7.8,10.0,F,NW,0,,,,,,,,,
