

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station HOPLAND2.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            3            5            5            0        "
"                     HOPLAND2.A   HOPLAND.A    HOPLAND.T    HOPLAND2.A   "
"Air Temps, max/min     710            7            9            5            0        "
"                     HOPLAND2.A   HOPLAND.A    HOPLAND.T    HOPLAND2.A   "
"Soil Temps, max/min    715            3            0           13            0        "
"                     HOPLAND2.A   HOPLAND.A    none         HOPLAND2.A   "
"Rel. Humidity          712            0            0            0           19        "
"                     HOPLAND2.A   none         none         none         "
"ETo                    720            0            0            0           11        "
"                     HOPLAND2.A   none         none         none         "
"Solar Radiation        713            4            0           14            0        "
"                     HOPLAND2.A   HOPLAND.A    none         HOPLAND2.A   "
"Wind Speed & Dir       712            0            0            0           19        "
"                     HOPLAND2.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
HOPLAND2.A,20130810,2359,0.000,,28.9,10.0,,,0,0,,,23.9,21.7,,324,5.838,90.0,43.0
HOPLAND2.A,20130811,2359,0.000,,31.7,8.3,,,0,0,,,23.9,21.1,,341,6.345,90.0,27.0
HOPLAND2.A,20130812,2359,0.000,,32.2,7.8,,,0,0,,,23.9,21.7,,334,6.345,87.0,25.0
HOPLAND2.A,20130813,2359,0.000,,35.6,8.3,,,0,0,,,24.4,21.7,,341,6.599,82.0,23.0
HOPLAND2.A,20130814,2359,0.000,,32.2,8.9,,,0,0,,,23.9,21.7,,345,6.853,80.0,23.0
HOPLAND2.A,20130815,2359,0.000,,33.3,12.8,,,0,0,,,24.4,21.7,,335,6.345,88.0,36.0
HOPLAND2.A,20130816,2359,0.000,,33.3,13.3,,,0,0,,,25.0,22.2,,335,6.345,90.0,32.0
HOPLAND2.A,20130817,2359,0.000,,32.2,11.1,,,0,0,,,24.4,22.2,,309,6.345,85.0,33.0
HOPLAND2.A,20130818,2359,0.000,,38.9,12.8,,,0,0,,,24.4,21.7,,323,6.345,86.0,26.0
HOPLAND2.A,20130819,2359,0.000,,34.4,16.1,,,0,0,,,23.9,22.2,,188,4.061,78.0,36.0
HOPLAND2.A,20130820,2359,0.000,,30.0,14.4,,,0,0,,,24.4,22.2,,290,5.584,85.0,41.0
HOPLAND2.A,20130821,2359,0.000,,29.4,13.3,,,0,0,,,24.4,22.2,,290,5.330,89.0,40.0
HOPLAND2.A,20130822,2359,0.000,,29.4,10.0,,,0,0,,,24.4,22.2,,325,5.584,89.0,37.0
HOPLAND2.A,20130823,2359,0.000,,31.1,8.9,,,0,0,,,24.4,22.2,,324,6.091,90.0,30.0
HOPLAND2.A,20130824,2359,0.000,,28.3,8.3,,,0,0,,,23.9,21.7,,305,5.838,86.0,38.0
HOPLAND2.A,20130825,2359,0.000,,27.8,12.8,,,0,0,,,24.4,22.2,,304,5.330,86.0,40.0
HOPLAND2.A,20130826,800,0.000,,28.9,12.2,,,0,0,,,22.8,20.0,,275,5.838,89.0,37.0
HOPLAND2.A,20130827,2359,0.000,,31.7,8.3,,,0,0,,,23.9,21.7,,323,5.838,85.0,30.0
HOPLAND2.A,20130828,2359,0.000,,31.7,10.0,,,0,0,,,23.3,21.1,,308,5.330,89.0,39.0
HOPLAND2.A,20130829,2359,0.000,,30.6,12.2,,,0,0,,,23.9,21.7,,289,5.330,92.0,39.0
HOPLAND2.A,20130830,2359,0.000,,32.8,12.2,,,0,0,,,23.3,21.7,,302,6.091,90.0,35.0
HOPLAND2.A,20130831,2359,0.000,,33.3,9.4,,,0,0,,,23.3,21.1,,302,5.584,87.0,30.0
HOPLAND2.A,20130901,2359,0.000,,30.6,8.9,,,0,0,,,23.3,21.1,,292,5.584,89.0,32.0
HOPLAND2.A,20130902,2359,0.000,,29.4,10.0,,,0,0,,,22.8,21.1,,280,5.076,91.0,40.0
HOPLAND2.A,20130903,2359,0.000,,27.8,8.3,,,0,0,,,22.8,20.6,,291,5.330,90.0,35.0
HOPLAND2.A,20130904,2359,0.000,,28.3,11.7,,,0,0,,,22.2,20.6,,265,5.330,91.0,38.0
HOPLAND2.A,20130905,2359,0.000,,27.2,10.0,,,0,0,,,21.7,20.0,,288,5.330,91.0,34.0
HOPLAND2.A,20130906,2359,0.000,,34.4,8.3,,,0,0,,,22.2,20.0,,289,5.330,88.0,20.0
HOPLAND2.A,20130907,2359,0.000,,36.7,7.8,,,0,0,,,22.2,20.0,,285,5.584,84.0,16.0
HOPLAND2.A,20130908,2359,0.000,,38.3,9.4,,,0,0,,,22.8,20.6,,279,5.584,72.0,16.0
HOPLAND2.A,20130909,2359,0.000,,38.9,10.6,,,0,0,,,22.8,20.6,,271,5.838,75.0,15.0
HOPLAND2.A,20130910,2359,0.000,,27.2,10.6,,,0,0,,,22.2,20.6,,263,4.822,84.0,45.0
HOPLAND2.A,20130911,2359,0.000,,23.9,13.3,,,0,0,,,21.7,20.6,,219,3.807,87.0,61.0
HOPLAND2.A,20130912,2359,0.000,,32.2,11.7,,,0,0,,,22.2,20.6,,236,4.569,91.0,28.0
HOPLAND2.A,20130913,2359,0.000,,33.3,9.4,,,E,1,,,21.7,20.0,,255,5.076,91.7,28.7
HOPLAND2.A,20130914,2359,0.000,,32.2,8.3,,,W,1,,,21.7,20.0,,262,4.315,90.0,32.0
HOPLAND2.A,20130915,2359,0.000,,27.2,10.6,,,W,2,,,21.1,20.0,,255,0.254,,
HOPLAND2.A,20130916,2359,0.000,,28.9,8.3,,,W,2,,,21.1,19.4,,254,4.822,91.4,39.5
HOPLAND2.A,20130917,2359,0.000,,23.9,10.0,,,0,0,,,21.1,19.4,,251,4.569,83.0,45.0
HOPLAND2.A,20130918,2359,0.000,,28.3,5.6,,,0,0,,,20.6,18.3,,254,4.569,89.0,28.0
HOPLAND2.A,20130919,2359,0.000,,32.8,3.9,,,0,0,,,20.0,18.3,,254,4.569,87.0,20.0
HOPLAND2.A,20130920,2359,0.000,,24.4,4.4,,,0,0,,,20.0,18.3,,217,3.553,91.0,52.0
HOPLAND2.A,20130921,2359,0.000,,20.0,8.9,,,0,0,,,19.4,18.9,,160,2.284,93.0,56.0
HOPLAND2.A,20130922,2359,0.000,,22.2,6.1,,,0,0,,,19.4,17.8,,196,3.300,92.0,43.0
HOPLAND2.A,20130923,2359,0.000,,27.8,6.7,,,0,0,,,19.4,17.2,,232,4.061,91.0,43.0
HOPLAND2.A,20130924,2359,0.000,,23.3,10.6,,,0,0,,,19.4,18.3,,231,4.315,84.0,40.0
HOPLAND2.A,20130925,2359,0.000,,20.0,5.6,,,0,0,,,18.9,17.2,,237,4.061,89.0,38.0
HOPLAND2.A,20130926,2359,0.000,,23.3,3.9,,,0,0,,,18.3,16.7,,237,4.061,81.0,30.0
HOPLAND2.A,20130927,2359,0.000,,26.7,1.1,,,0,0,,,17.8,16.1,,233,4.061,89.0,18.0
HOPLAND2.A,20130928,2359,0.000,,27.8,3.9,,,0,0,,,17.8,16.1,,215,3.807,83.0,26.0
HOPLAND2.A,20130929,2359,0.000,,22.2,15.0,,,0,0,,,18.3,17.2,,132,2.031,89.0,67.0
HOPLAND2.A,20130930,2359,0.000,,22.8,7.2,,,0,0,,,18.9,18.3,,116,1.777,89.0,49.0
HOPLAND2.A,20131001,2359,0.000,,22.2,5.0,,,0,0,,,18.3,16.7,,219,3.807,92.0,40.0
HOPLAND2.A,20131002,2359,0.000,,22.2,4.4,,,0,0,,,17.8,16.1,,216,4.061,90.0,36.0
HOPLAND2.A,20131003,2359,0.000,,23.3,7.8,,,0,0,,,17.2,16.1,,222,4.315,64.0,24.0
HOPLAND2.A,20131004,2359,0.000,,27.8,4.4,,,0,0,,,17.2,15.6,,226,4.822,52.0,10.0
HOPLAND2.A,20131005,2359,0.000,,31.1,-0.6,,,0,0,,,17.2,15.0,,224,3.807,71.0,12.0
HOPLAND2.A,20131006,2359,0.000,,29.4,-0.6,,,0,0,,,17.2,15.0,,196,3.553,76.0,12.0
HOPLAND2.A,20131007,2359,0.000,,27.2,1.1,,,0,0,,,16.7,14.4,,196,3.807,77.0,19.0
HOPLAND2.A,20131008,2359,0.000,,24.4,2.2,,,0,0,,,16.1,14.4,,192,3.553,88.0,34.0
HOPLAND2.A,20131009,2359,0.000,,22.2,5.0,,,0,0,,,16.1,14.4,,208,3.807,82.0,33.0
HOPLAND2.A,20131010,2359,0.000,,25.6,3.3,,,0,0,,,16.1,14.4,,204,3.553,82.0,27.0
HOPLAND2.A,20131011,2359,0.000,,24.4,0.6,,,0,0,,,16.1,13.9,,202,3.300,87.0,32.0
HOPLAND2.A,20131012,2359,0.000,,23.3,1.1,,,0,0,,,15.6,13.9,,200,3.300,89.0,34.0
HOPLAND2.A,20131013,2359,0.000,,25.6,0.6,,,0,0,,,15.6,13.9,,203,3.300,90.0,21.0
HOPLAND2.A,20131014,2359,0.000,,27.2,0.6,,,0,0,,,15.6,13.9,,198,3.300,87.0,20.0
HOPLAND2.A,20131015,2359,0.000,,30.0,-0.6,,,0,0,,,15.6,13.3,,202,3.300,83.0,12.0
HOPLAND2.A,20131016,2359,0.000,,26.1,4.4,,,0,0,,,15.0,13.9,,32,3.046,73.0,15.0
HOPLAND2.A,20131017,2359,0.000,,30.0,0.0,,,0,0,,,15.0,13.3,,196,3.300,77.0,16.0
HOPLAND2.A,20131018,2359,0.000,,32.8,0.6,,,0,0,,,15.0,13.3,,193,3.300,77.0,17.0
HOPLAND2.A,20131019,2359,0.000,,32.8,1.1,,,0,0,,,15.6,13.3,,190,3.046,84.0,16.0
HOPLAND2.A,20131020,2359,0.000,,32.8,1.1,,,0,0,,,15.0,13.3,,185,3.300,83.0,19.0
HOPLAND2.A,20131021,2359,0.000,,28.3,2.2,,,0,0,,,15.0,13.3,,184,3.300,84.0,21.0
HOPLAND2.A,20131022,2359,0.000,,29.4,2.8,,,0,0,,,15.0,13.9,,179,3.046,86.0,14.0
HOPLAND2.A,20131023,2359,0.000,,29.4,1.1,,,0,0,,,15.0,13.3,,180,3.046,85.0,19.0
HOPLAND2.A,20131024,2359,0.000,,22.2,0.6,,,0,0,,,14.4,13.3,,172,2.538,90.0,40.0
HOPLAND2.A,20131025,2359,0.000,,25.0,0.6,,,0,0,,,14.4,12.8,,154,2.538,91.0,29.0
HOPLAND2.A,20131026,2359,0.000,,32.2,1.1,,,0,0,,,14.4,12.8,,172,2.792,90.0,18.0
HOPLAND2.A,20131027,2359,0.000,,20.0,1.1,,,0,0,,,14.4,12.8,,172,2.792,86.0,39.0
HOPLAND2.A,20131028,2359,0.000,,18.3,2.8,,,0,0,,,13.9,12.8,,163,2.284,88.0,43.0
HOPLAND2.A,20131029,2359,0.000,,18.3,3.3,,,0,0,,,13.3,12.2,,138,1.777,91.0,40.0
HOPLAND2.A,20131030,2359,0.000,,21.7,1.1,,,0,0,,,13.9,12.2,,156,2.284,90.0,36.0
HOPLAND2.A,20131031,2359,0.000,,25.0,5.0,,,0,0,,,19.4,14.4,,124,2.284,91.0,29.0
HOPLAND2.A,20131101,2359,0.000,,30.0,1.7,,,0,0,,,13.9,12.2,,158,2.538,89.0,26.0
HOPLAND2.A,20131102,2359,0.000,,21.7,2.2,,,0,0,,,13.9,12.2,,144,2.284,89.0,39.0
HOPLAND2.A,20131103,2359,0.000,,14.4,1.1,,,0,0,,,13.3,12.2,,98,1.777,82.0,39.0
HOPLAND2.A,20131104,2359,4.061,,20.0,-2.2,,,0,0,,,12.2,10.6,,158,2.792,88.0,23.0
HOPLAND2.A,20131105,2359,0.000,,23.3,-1.1,,,0,0,,,12.2,10.6,,149,2.538,87.0,32.0
HOPLAND2.A,20131106,2359,0.000,,27.8,4.4,,,0,0,,,12.8,11.1,,134,2.031,88.0,27.0
HOPLAND2.A,20131107,2359,1.015,,23.3,7.2,,,0,0,,,13.3,12.2,,128,2.031,88.0,33.0
HOPLAND2.A,20131108,2359,0.000,,22.8,3.3,,,0,0,,,13.3,12.2,,149,2.284,91.0,34.0
HOPLAND2.A,20131109,2359,0.000,,24.4,0.6,,,0,0,,,13.3,11.7,,147,2.284,89.0,31.0
HOPLAND2.A,20131110,2359,0.000,,20.6,1.7,,,0,0,,,12.8,11.7,,145,2.031,88.0,43.0
HOPLAND2.A,20131111,2359,0.000,,21.1,2.8,,,0,0,,,12.8,11.7,,114,2.031,90.0,33.0
HOPLAND2.A,20131112,2359,0.000,,25.6,6.1,,,0,0,,,13.9,12.2,,116,2.031,80.0,28.0
HOPLAND2.A,20131113,2359,0.000,,26.1,2.2,,,0,0,,,13.3,12.2,,139,2.284,90.0,36.0
HOPLAND2.A,20131114,2359,0.761,,20.0,3.3,,,0,0,,,13.3,12.2,,94,1.523,91.0,45.0
HOPLAND2.A,20131115,2359,0.000,,18.3,1.1,,,0,0,,,12.8,11.1,,140,2.031,86.0,37.0
HOPLAND2.A,20131116,2359,0.000,,17.2,2.8,,,0,0,,,12.2,11.1,,117,1.777,88.0,50.0
HOPLAND2.A,20131117,2359,0.000,,19.4,0.0,,,0,0,,,11.7,10.6,,120,1.523,92.0,43.0
HOPLAND2.A,20131118,2359,5.584,,13.9,3.3,,,0,0,,,11.7,10.6,,88,1.269,91.0,55.0
HOPLAND2.A,20131119,2359,10.91,,12.8,8.9,,,0,0,,,12.2,11.7,,25,0.000,93.0,90.0
HOPLAND2.A,20131120,2359,3.553,,16.7,8.3,,,0,0,,,12.8,12.2,,57,0.508,93.0,81.0
HOPLAND2.A,20131121,2359,0.000,,20.0,5.6,,,0,0,,,12.8,12.2,,100,2.031,93.0,12.0
HOPLAND2.A,20131122,2359,0.000,,23.3,2.2,,,0,0,,,12.2,11.1,,135,3.300,54.0,7.0
HOPLAND2.A,20131123,2359,0.000,,26.1,-1.7,,,0,0,,,11.7,10.0,,133,2.031,76.0,11.0
HOPLAND2.A,20131124,2359,0.000,,19.4,-4.4,,,0,0,,,11.1,9.4,,131,1.523,88.0,28.0
HOPLAND2.A,20131125,2359,0.000,,20.0,-3.9,,,0,0,,,10.0,8.9,,126,1.523,90.0,32.0
HOPLAND2.A,20131126,2359,0.000,,17.8,-1.7,,,0,0,,,9.4,8.9,,97,1.269,90.0,41.0
HOPLAND2.A,20131127,2359,0.000,,20.6,-2.2,,,0,0,,,10.0,8.9,,107,1.523,90.0,35.0
HOPLAND2.A,20131128,2359,0.000,,22.2,0.0,,,0,0,,,10.0,8.9,,123,1.777,91.0,31.0
HOPLAND2.A,20131129,2359,0.000,,24.4,-1.1,,,0,0,,,10.0,8.9,,125,1.523,91.0,29.0
HOPLAND2.A,20131130,2359,0.000,,24.4,0.6,,,0,0,,,10.0,8.9,,123,1.523,90.0,30.0
HOPLAND2.A,20131201,2359,0.000,,23.3,-0.6,,,0,0,,,10.0,8.9,,124,1.523,91.0,36.0
