

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 76% of requested data were available from station KESTERSN.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          655           65            0           11            0        "
"                     KESTERSN.A   LOSBANOS.A   LOSBANOS.C   KESTERSN.A   "
"Air Temps, max/min     668           53            0           10            0        "
"                     KESTERSN.A   LOSBANOS.A   LOSBANOS.C   KESTERSN.A   "
"Soil Temps, max/min    570          151            0            0           10        "
"                     KESTERSN.A   LOSBANOS.A   none         none         "
"Rel. Humidity          665            0            0            0           66        "
"                     KESTERSN.A   none         none         none         "
"ETo                      0            0            0            0          731        "
"                     KESTERSN.A   none         none         none         "
"Solar Radiation        657           60            0           14            0        "
"                     KESTERSN.A   LOSBANOS.A   none         KESTERSN.A   "
"Wind Speed & Dir       664            0            0            0           67        "
"                     KESTERSN.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
KESTERSN.A,20130810,2359,0.000,,31.1,10.0,,,0,0,,,32.2,26.7,,302,,91.0,29.0
KESTERSN.A,20130811,2359,0.000,,32.2,10.0,,,0,0,,,32.2,26.7,,303,,91.0,22.0
KESTERSN.A,20130812,2359,0.000,,34.4,10.0,,,0,0,,,32.8,26.7,,306,,82.0,20.0
KESTERSN.A,20130813,2359,0.000,,35.0,10.6,,,0,0,,,32.8,27.2,,308,,78.0,15.0
KESTERSN.A,20130814,2359,0.000,,36.1,10.6,,,0,0,,,33.3,27.2,,311,,75.0,15.0
KESTERSN.A,20130815,2359,0.000,,36.7,8.3,,,0,0,,,33.3,27.2,,310,,80.0,17.0
KESTERSN.A,20130816,2359,0.000,,36.7,12.8,,,0,0,,,33.3,27.8,,307,,91.0,20.0
KESTERSN.A,20130817,2359,0.000,,36.1,14.4,,,0,0,,,33.3,28.3,,264,,71.0,21.0
KESTERSN.A,20130818,2359,0.000,,36.7,15.6,,,0,0,,,32.8,28.3,,250,,73.0,22.0
KESTERSN.A,20130819,2359,0.000,,41.1,15.6,,,0,0,,,33.9,28.3,,277,,73.0,13.0
KESTERSN.A,20130820,2359,0.000,,36.7,15.0,,,0,0,,,34.4,29.4,,283,,69.0,24.0
KESTERSN.A,20130821,2359,0.000,,35.6,12.2,,,0,0,,,33.9,28.9,,289,,81.0,20.0
KESTERSN.A,20130822,2359,0.000,,32.2,9.4,,,0,0,,,33.3,27.8,,287,,86.0,25.0
KESTERSN.A,20130823,2359,0.000,,32.2,8.3,,,0,0,,,32.8,27.2,,290,,91.0,25.0
KESTERSN.A,20130824,2359,0.000,,33.9,10.0,,,0,0,,,32.2,27.2,,284,,80.0,20.0
KESTERSN.A,20130825,2359,0.000,,34.4,12.2,,,0,0,,,32.2,27.2,,278,,84.0,22.0
KESTERSN.A,20130826,2359,0.000,,31.7,11.7,,,0,0,,,32.8,27.2,,282,,90.0,29.0
KESTERSN.A,20130827,2359,0.000,,34.4,11.1,,,0,0,,,32.8,27.2,,274,,85.0,22.0
KESTERSN.A,20130828,2359,0.000,,34.4,12.8,,,0,0,,,32.8,27.2,,278,,80.0,23.0
KESTERSN.A,20130829,2359,0.000,,33.9,12.2,,,0,0,,,32.8,27.8,,279,,88.0,24.0
KESTERSN.A,20130830,2359,0.000,,36.1,11.7,,,0,0,,,32.8,27.2,,275,,84.0,14.0
KESTERSN.A,20130831,2359,0.000,,36.7,14.4,,,0,0,,,33.3,27.8,,258,,77.0,19.0
KESTERSN.A,20130901,2359,0.000,,34.4,16.1,,,0,0,,,33.3,28.3,,239,,70.0,28.0
