

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station LOSBANOS.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            0            0           11            0        "
"                     LOSBANOS.A   KESTERSN.A   LOSBANOS.C   LOSBANOS.A   "
"Air Temps, max/min     718            3            0           10            0        "
"                     LOSBANOS.A   KESTERSN.A   LOSBANOS.C   LOSBANOS.A   "
"Soil Temps, max/min    721            0            0            0           10        "
"                     LOSBANOS.A   KESTERSN.A   none         none         "
"Rel. Humidity          716            0            0            0           15        "
"                     LOSBANOS.A   none         none         none         "
"ETo                    721            0            0            0           10        "
"                     LOSBANOS.A   none         none         none         "
"Solar Radiation        717            0            0           14            0        "
"                     LOSBANOS.A   KESTERSN.A   none         LOSBANOS.A   "
"Wind Speed & Dir       713            0            0            0           18        "
"                     LOSBANOS.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
LOSBANOS.A,20130810,2359,0.000,,30.6,12.2,,,0,0,,,21.1,20.0,,303,5.838,94.0,39.0
LOSBANOS.A,20130811,2359,0.000,,31.1,12.2,,,0,0,,,21.1,20.0,,304,6.091,94.0,36.0
LOSBANOS.A,20130812,2359,0.000,,33.3,13.3,,,0,0,,,21.1,20.0,,301,6.091,85.0,28.0
LOSBANOS.A,20130813,2359,0.000,,33.3,12.8,,,0,0,,,23.9,20.0,,305,6.345,84.0,28.0
LOSBANOS.A,20130814,2359,0.000,,34.4,14.4,,,0,0,,,23.3,21.7,,302,6.345,74.0,29.0
LOSBANOS.A,20130815,2359,0.000,,35.0,13.9,,,0,0,,,22.8,21.7,,302,6.091,84.0,27.0
LOSBANOS.A,20130816,2359,0.000,,35.0,15.6,,,0,0,,,22.2,21.7,,303,6.345,91.0,34.0
LOSBANOS.A,20130817,2359,0.000,,33.9,16.1,,,0,0,,,22.2,21.7,,278,6.345,80.0,33.0
LOSBANOS.A,20130818,2359,0.000,,33.9,16.7,,,0,0,,,22.2,21.7,,240,4.569,85.0,37.0
LOSBANOS.A,20130819,2359,0.000,,37.8,16.7,,,0,0,,,22.2,21.7,,278,6.345,90.0,32.0
LOSBANOS.A,20130820,2359,0.000,,35.0,17.8,,,0,0,,,22.8,21.7,,281,6.345,73.0,31.0
LOSBANOS.A,20130821,2359,0.000,,35.0,14.4,,,0,0,,,22.2,21.7,,288,5.584,83.0,26.0
LOSBANOS.A,20130822,2359,0.000,,31.1,13.3,,,0,0,,,22.2,21.1,,282,5.584,91.0,38.0
LOSBANOS.A,20130823,2359,0.000,,31.1,11.7,,,0,0,,,21.7,21.1,,291,5.838,93.0,34.0
LOSBANOS.A,20130824,2359,0.000,,32.8,12.2,,,0,0,,,21.7,20.6,,286,5.838,90.0,27.0
LOSBANOS.A,20130825,2359,0.000,,32.8,13.9,,,0,0,,,21.7,20.6,,278,5.584,91.0,33.0
LOSBANOS.A,20130826,2359,0.000,,30.6,13.3,,,0,0,,,21.1,20.6,,282,5.584,94.0,39.0
LOSBANOS.A,20130827,2359,0.000,,33.3,13.9,,,0,0,,,21.1,20.0,,274,5.584,90.0,31.0
LOSBANOS.A,20130828,2359,0.000,,33.3,14.4,,,0,0,,,22.8,20.6,,274,5.584,84.0,31.0
LOSBANOS.A,20130829,2359,0.000,,32.2,15.0,,,0,0,,,22.2,21.7,,278,5.838,92.0,34.0
LOSBANOS.A,20130830,2359,0.000,,35.0,15.0,,,0,0,,,21.7,21.1,,273,5.838,89.0,28.0
LOSBANOS.A,20130831,2359,0.000,,36.1,16.1,,,0,0,,,21.7,21.1,,251,5.330,86.0,27.0
LOSBANOS.A,20130901,2359,0.000,,34.4,17.2,,,0,0,,,22.2,21.1,,236,5.330,74.0,36.0
LOSBANOS.A,20130902,2359,0.000,,31.1,18.9,,,0,0,,,22.2,21.7,,223,4.822,79.0,43.0
LOSBANOS.A,20130903,2359,0.000,,31.1,15.6,,,0,0,,,21.7,21.1,,260,5.584,87.0,33.0
LOSBANOS.A,20130904,2359,0.000,,31.1,14.4,,,0,0,,,21.7,20.6,,260,5.330,88.0,33.0
LOSBANOS.A,20130905,2359,0.000,,31.1,13.3,,,0,0,,,21.1,20.6,,266,5.584,89.0,26.0
LOSBANOS.A,20130906,2359,0.000,,31.7,11.7,,,0,0,,,21.1,20.0,,263,5.330,88.0,27.0
LOSBANOS.A,20130907,2359,0.000,,37.2,13.3,,,0,0,,,21.1,20.0,,262,5.330,86.0,22.0
LOSBANOS.A,20130908,2359,0.000,,35.6,15.6,,,0,0,,,21.1,20.0,,256,5.838,76.0,23.0
LOSBANOS.A,20130909,2359,0.000,,35.0,15.0,,,0,0,,,21.1,20.0,,240,5.838,77.0,23.0
LOSBANOS.A,20130910,2359,0.000,,32.2,14.4,,,0,0,,,20.6,20.0,,244,5.838,80.0,26.0
LOSBANOS.A,20130911,2359,0.000,,28.3,13.3,,,0,0,,,20.6,20.6,,197,3.553,95.0,40.0
LOSBANOS.A,20130912,2359,0.000,,31.1,13.3,,,0,0,,,20.6,20.0,,247,4.569,94.0,34.0
LOSBANOS.A,20130913,2359,0.000,,32.2,14.4,,,N,2,,,20.6,20.0,,243,4.822,90.1,34.0
LOSBANOS.A,20130914,2359,0.000,,32.8,13.3,,,NW,2,,,20.6,20.0,,247,4.822,87.0,29.0
LOSBANOS.A,20130915,2359,0.000,,30.6,11.1,,,N,3,,,20.6,19.4,,248,0.508,,
LOSBANOS.A,20130916,2359,0.000,,31.7,12.8,,,NW,2,,,20.0,19.4,,244,4.822,92.4,31.0
LOSBANOS.A,20130917,2359,0.000,,28.3,13.9,,,0,0,,,20.6,20.0,,245,5.330,77.0,30.0
LOSBANOS.A,20130918,2359,0.000,,28.9,12.2,,,0,0,,,20.0,19.4,,247,5.584,81.0,23.0
LOSBANOS.A,20130919,2359,0.000,,32.2,9.4,,,0,0,,,19.4,18.3,,242,4.569,87.0,22.0
LOSBANOS.A,20130920,2359,0.000,,28.9,11.1,,,0,0,,,19.4,18.3,,236,4.822,84.0,30.0
LOSBANOS.A,20130921,2359,0.254,,25.0,11.1,,,0,0,,,19.4,18.9,,164,3.046,95.0,49.0
LOSBANOS.A,20130922,2359,0.254,,23.9,7.8,,,0,0,,,18.9,17.8,,233,4.061,97.0,36.0
LOSBANOS.A,20130923,2359,0.000,,27.8,8.9,,,0,0,,,19.4,17.8,,237,4.315,95.0,35.0
LOSBANOS.A,20130924,2359,0.000,,30.6,11.1,,,0,0,,,20.0,18.3,,230,4.569,89.0,29.0
LOSBANOS.A,20130925,2359,0.000,,22.8,11.7,,,0,0,,,19.4,18.9,,237,4.569,80.0,31.0
LOSBANOS.A,20130926,2359,0.000,,23.3,10.6,,,0,0,,,18.9,17.8,,239,5.838,70.0,23.0
LOSBANOS.A,20130927,2359,0.000,,25.0,6.1,,,0,0,,,18.3,17.2,,237,4.569,73.0,20.0
LOSBANOS.A,20130928,2359,0.000,,29.4,5.6,,,0,0,,,18.3,17.2,,233,4.061,80.0,15.0
LOSBANOS.A,20130929,2359,0.000,,28.9,8.9,,,0,0,,,18.9,17.2,,226,4.061,87.0,31.0
