

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station MERCED.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          713            0            0           18            0        "
"                     MERCED.A     Denair.A     MERCED.C     MERCED.C     "
"Air Temps, max/min     703            0            0           28            0        "
"                     MERCED.A     Denair.A     MERCED.C     MERCED.C     "
"Soil Temps, max/min    714            0            0            0           17        "
"                     MERCED.A     Denair.A     none         none         "
"Rel. Humidity          703            0            0            0           28        "
"                     MERCED.A     none         none         none         "
"ETo                    714            0            0            0           17        "
"                     MERCED.A     none         none         none         "
"Solar Radiation        696            0            0           35            0        "
"                     MERCED.A     Denair.A     none         LOSBANOS.A   "
"Wind Speed & Dir       706            0            0            0           25        "
"                     MERCED.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
MERCED.A,20130810,2359,0.000,,30.6,13.9,,,0,0,,,23.3,22.8,,303,6.345,82.0,33.0
MERCED.A,20130811,2359,0.000,,31.7,13.9,,,0,0,,,23.3,22.8,,302,6.599,84.0,28.0
MERCED.A,20130812,2359,0.000,,33.3,13.9,,,0,0,,,23.3,22.8,,303,6.599,79.0,24.0
MERCED.A,20130813,2359,0.000,,34.4,13.3,,,0,0,,,23.3,22.8,,305,6.853,78.0,23.0
MERCED.A,20130814,2359,0.000,,35.0,13.3,,,0,0,,,23.3,22.8,,307,6.853,82.0,18.0
MERCED.A,20130815,2359,0.000,,35.6,23.3,,,0,0,,,23.3,22.2,,297,6.853,86.0,20.0
MERCED.A,20130816,2359,0.000,,36.1,17.8,,,0,0,,,23.3,22.8,,303,7.360,77.0,20.0
MERCED.A,20130817,2359,0.000,,35.0,18.3,,,0,0,,,23.3,22.8,,289,7.107,67.0,24.0
MERCED.A,20130818,2359,0.000,,36.1,16.7,,,0,0,,,23.3,22.8,,251,5.330,81.0,22.0
MERCED.A,20130819,2359,0.000,,38.9,16.7,,,0,0,,,23.9,22.8,,278,6.345,86.0,22.0
MERCED.A,20130820,2359,0.000,,36.1,18.9,,,0,0,,,28.9,22.8,,280,6.345,80.0,30.0
MERCED.A,20130821,2359,0.000,,34.4,16.1,,,0,0,,,25.6,23.9,,288,6.345,70.0,24.0
MERCED.A,20130822,2359,0.000,,32.2,13.9,,,0,0,,,25.0,24.4,,282,6.345,79.0,30.0
MERCED.A,20130823,2359,0.000,,31.7,12.8,,,0,0,,,24.4,23.9,,286,5.838,81.0,27.0
MERCED.A,20130824,2359,0.000,,32.2,12.2,,,0,0,,,23.9,23.3,,284,6.345,88.0,25.0
MERCED.A,20130825,2359,0.000,,33.3,16.7,,,0,0,,,23.9,23.3,,275,5.584,79.0,28.0
MERCED.A,20130826,2359,0.000,,31.1,16.7,,,0,0,,,23.9,23.3,,276,6.091,77.0,35.0
MERCED.A,20130827,2359,0.000,,33.9,15.0,,,0,0,,,23.9,23.3,,263,6.091,75.0,26.0
MERCED.A,20130828,2359,0.000,,33.9,17.8,,,0,0,,,23.9,23.3,,273,6.599,67.0,22.0
