

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station ALTURAS.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          715            0            0           16            0        "
"                     ALTURAS.A    none         ALTURAS.C    ALTURAS.A    "
"Air Temps, max/min     688            0            0           43            0        "
"                     ALTURAS.A    none         ALTURAS.C    ALTURAS.A    "
"Soil Temps, max/min    709            0            0           22            0        "
"                     ALTURAS.A    none         none         ALTURAS.A    "
"Rel. Humidity          708            0            0            0           23        "
"                     ALTURAS.A    none         none         none         "
"ETo                    719            0            0            0           12        "
"                     ALTURAS.A    none         none         none         "
"Solar Radiation        706            0            0           25            0        "
"                     ALTURAS.A    none         none         ALTURAS.A    "
"Wind Speed & Dir       711            0            0            0           20        "
"                     ALTURAS.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
ALTURAS.A,20130810,2359,0.000,,25.0,3.3,,,0,0,,,19.4,16.1,,296,5.584,97.0,18.0
ALTURAS.A,20130811,2359,0.000,,27.2,2.8,,,0,0,,,20.6,16.1,,310,5.838,94.0,18.0
ALTURAS.A,20130812,2359,0.000,,28.9,3.9,,,0,0,,,20.6,16.7,,272,5.330,84.0,16.0
ALTURAS.A,20130813,2359,0.000,,31.1,5.0,,,0,0,,,21.1,16.7,,310,6.345,84.0,12.0
ALTURAS.A,20130814,2359,0.000,,31.7,3.3,,,0,0,,,21.7,17.2,,314,6.345,80.0,11.0
ALTURAS.A,20130815,2359,0.000,,32.2,3.9,,,0,0,,,21.7,17.2,,308,6.345,78.0,12.0
ALTURAS.A,20130816,2359,0.000,,31.1,2.8,,,0,0,,,21.7,17.2,,310,6.345,82.0,13.0
ALTURAS.A,20130817,2359,0.000,,31.7,5.0,,,0,0,,,22.2,17.8,,305,6.091,80.0,13.0
ALTURAS.A,20130818,2359,0.000,,35.0,8.3,,,0,0,,,22.8,18.3,,293,6.091,84.0,13.0
ALTURAS.A,20130819,2359,0.000,,36.1,10.6,,,0,0,,,22.8,18.9,,233,5.330,65.0,15.0
ALTURAS.A,20130820,2359,0.000,,31.1,7.8,,,0,0,,,21.7,18.9,,202,4.061,80.0,20.0
ALTURAS.A,20130821,2359,3.553,,31.7,12.2,,,0,0,,,21.7,19.4,,206,4.315,91.0,21.0
ALTURAS.A,20130822,2359,1.523,,26.7,6.1,,,0,0,,,21.1,17.8,,234,4.569,97.0,37.0
ALTURAS.A,20130823,2359,0.000,,27.8,2.8,,,0,0,,,20.6,16.7,,298,5.584,97.0,17.0
ALTURAS.A,20130824,2359,0.000,,26.7,5.0,,,0,0,,,20.0,16.7,,247,4.822,86.0,24.0
ALTURAS.A,20130825,2359,0.254,,25.0,3.9,,,0,0,,,18.3,16.7,,170,3.807,90.0,29.0
ALTURAS.A,20130826,2359,0.000,,26.7,2.2,,,0,0,,,18.9,15.0,,292,6.345,93.0,21.0
ALTURAS.A,20130827,2359,0.000,,28.9,0.0,,,0,0,,,18.9,15.0,,282,6.345,86.0,15.0
ALTURAS.A,20130828,2359,0.000,,28.9,3.3,,,0,0,,,19.4,16.1,,273,6.345,81.0,21.0
