

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station Carmel.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            2            0            9            0        "
"                     Carmel.A     NSALINAS.A   SALINAS.A    MONTEREY.C   "
"Air Temps, max/min     701            6            0           24            0        "
"                     Carmel.A     NSALINAS.A   SALINAS.A    MONTEREY.C   "
"Soil Temps, max/min    720            0            2            9            0        "
"                     Carmel.A     SALINAS.A    NSALINAS.A   SALINAS.A    "
"Rel. Humidity          699            0            0            0           32        "
"                     Carmel.A     none         none         none         "
"ETo                    720            0            0            0           11        "
"                     Carmel.A     none         none         none         "
"Solar Radiation        706            4            0           21            0        "
"                     Carmel.A     NSALINAS.A   SALINAS.A    SALINAS.A    "
"Wind Speed & Dir       712            0            0            0           19        "
"                     Carmel.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Carmel.A,20130810,2359,0.000,,18.3,11.7,,,0,0,,,21.1,20.0,,181,2.538,96.0,79.0
Carmel.A,20130811,2359,0.000,,18.3,11.7,,,0,0,,,21.1,20.0,,199,2.792,96.0,79.0
Carmel.A,20130812,2359,0.000,,18.9,10.6,,,0,0,,,21.1,20.0,,244,3.553,96.0,76.0
Carmel.A,20130813,2359,0.000,,18.9,9.4,,,0,0,,,21.7,20.0,,294,4.315,96.0,75.0
Carmel.A,20130814,2359,0.000,,20.6,7.8,,,0,0,,,21.7,19.4,,293,4.569,96.0,68.0
Carmel.A,20130815,2359,0.000,,24.4,10.0,,,0,0,,,22.2,20.0,,299,5.076,94.0,57.0
Carmel.A,20130816,2359,0.000,,21.1,11.7,,,0,0,,,22.2,20.6,,289,4.569,96.0,74.0
Carmel.A,20130817,2359,0.000,,19.4,12.8,,,0,0,,,21.7,20.6,,185,2.792,96.0,77.0
Carmel.A,20130818,2359,0.000,,18.9,12.2,,,0,0,,,21.7,20.6,,217,3.046,96.0,79.0
Carmel.A,20130819,2359,0.000,,20.0,11.1,,,0,0,,,21.7,20.0,,277,4.315,96.0,67.0
Carmel.A,20130820,2359,0.000,,19.4,12.2,,,0,0,,,21.7,20.6,,251,3.807,96.0,72.0
Carmel.A,20130821,2359,0.000,,19.4,12.2,,,0,0,,,21.7,20.0,,247,3.807,96.0,67.0
Carmel.A,20130822,2359,0.000,,20.6,8.9,,,0,0,,,21.7,20.0,,259,4.315,96.0,60.0
Carmel.A,20130823,2359,0.000,,20.6,12.2,,,0,0,,,21.7,20.6,,223,3.553,95.0,67.0
Carmel.A,20130824,2359,0.000,,22.2,11.1,,,0,0,,,22.2,20.6,,274,4.315,95.0,59.0
Carmel.A,20130825,2359,0.000,,22.8,11.7,,,0,0,,,22.2,20.6,,280,4.569,96.0,65.0
Carmel.A,20130826,2359,0.000,,21.1,10.6,,,0,0,,,22.2,20.6,,256,4.061,96.0,69.0
Carmel.A,20130827,2359,0.000,,18.9,8.3,,,0,0,,,21.7,20.0,,254,3.807,96.0,74.0
Carmel.A,20130828,2359,0.000,,25.0,8.9,,,0,0,,,21.7,20.0,,246,3.807,96.0,49.0
Carmel.A,20130829,2359,0.000,,24.4,11.1,,,0,0,,,22.2,20.6,,279,4.569,96.0,60.0
Carmel.A,20130830,2359,0.000,,25.6,11.7,,,0,0,,,22.2,20.6,,274,4.569,96.0,48.0
Carmel.A,20130831,2359,0.000,,18.9,12.2,,,0,0,,,22.2,20.6,,234,3.553,96.0,78.0
Carmel.A,20130901,2359,0.000,,20.6,12.2,,,0,0,,,22.2,20.6,,242,3.807,96.0,71.0
Carmel.A,20130902,2359,0.000,,23.9,14.4,,,0,0,,,22.8,21.1,,224,3.807,96.0,65.0
Carmel.A,20130903,2359,0.000,,23.9,12.2,,,0,0,,,22.2,21.1,,269,4.569,96.0,54.0
Carmel.A,20130904,2359,0.000,,23.9,9.4,,,0,0,,,22.2,20.6,,267,4.315,96.0,58.0
Carmel.A,20130905,2359,0.000,,23.9,11.1,,,0,0,,,22.2,20.0,,259,4.569,96.0,51.0
Carmel.A,20130906,2359,0.000,,28.9,8.9,,,0,0,,,21.7,20.0,,267,4.569,96.0,35.0
Carmel.A,20130907,2359,0.000,,21.1,8.3,,,0,0,,,21.1,20.0,,248,3.807,96.0,60.0
Carmel.A,20130908,2359,0.000,,18.9,11.7,,,0,0,,,21.7,20.0,,230,3.553,96.0,78.0
Carmel.A,20130909,2359,0.000,,17.8,11.7,,,0,0,,,21.7,20.6,,231,3.300,96.0,75.0
Carmel.A,20130910,2359,0.000,,23.3,12.2,,,0,0,,,21.7,20.6,,227,3.807,96.0,55.0
Carmel.A,20130911,2359,0.000,,20.6,12.8,,,0,0,,,21.1,20.0,,180,2.792,95.0,68.0
Carmel.A,20130912,2359,0.000,,21.7,13.3,,,0,0,,,21.7,20.6,,210,3.300,94.0,67.0
Carmel.A,20130913,2359,0.000,,18.9,11.7,,,SW,1,,,21.1,20.0,,159,2.284,96.2,75.0
Carmel.A,20130914,2359,0.000,,19.4,9.4,,,SW,1,,,21.1,20.0,,195,2.792,96.0,72.0
Carmel.A,20130915,2359,0.000,,23.3,9.4,,,SW,1,,,21.1,19.4,,245,0.000,,
Carmel.A,20130916,2359,0.000,,21.1,9.4,,,SW,1,,,21.1,19.4,,248,3.807,96.4,67.8
Carmel.A,20130917,2359,0.000,,20.6,11.1,,,0,0,,,21.1,20.0,,212,3.300,96.0,57.0
Carmel.A,20130918,2359,0.000,,25.0,7.2,,,0,0,,,20.6,18.9,,247,4.061,96.0,37.0
Carmel.A,20130919,2359,0.000,,30.0,7.8,,,0,0,,,20.6,18.3,,239,4.061,95.0,26.0
Carmel.A,20130920,2359,0.000,,22.8,6.7,,,0,0,,,20.0,18.3,,166,2.538,96.0,61.0
Carmel.A,20130921,2359,1.777,,22.2,11.7,,,0,0,,,20.6,18.9,,204,3.046,96.0,59.0
Carmel.A,20130922,2359,0.000,,19.4,10.0,,,0,0,,,20.6,18.9,,230,3.553,96.0,64.0
Carmel.A,20130923,2359,0.000,,26.7,9.4,,,0,0,,,20.0,18.3,,231,4.061,92.0,35.0
Carmel.A,20130924,2359,0.000,,22.8,8.9,,,0,0,,,20.0,18.9,,226,3.807,96.0,51.0
Carmel.A,20130925,2359,0.000,,18.3,7.8,,,0,0,,,19.4,18.3,,228,3.553,96.0,59.0
Carmel.A,20130926,2359,0.000,,20.6,6.1,,,0,0,,,18.9,17.8,,231,3.553,95.0,39.0
Carmel.A,20130927,2359,0.000,,25.0,4.4,,,0,0,,,18.9,16.7,,230,4.061,85.0,22.0
