

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station KINGCTY2.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          717            3            0           11            0        "
"                     KINGCTY2.A   ARYOSECO.A   KINGCITY.C   KINGCITY.C   "
"Air Temps, max/min     677           21            0           33            0        "
"                     KINGCTY2.A   ARYOSECO.A   KINGCITY.C   KINGCITY.C   "
"Soil Temps, max/min    718            2            0           11            0        "
"                     KINGCTY2.A   ARYOSECO.A   none         SALINAS.A    "
"Rel. Humidity          712            0            0            0           19        "
"                     KINGCTY2.A   none         none         none         "
"ETo                    718            0            0            0           13        "
"                     KINGCTY2.A   none         none         none         "
"Solar Radiation        692            9            0           30            0        "
"                     KINGCTY2.A   ARYOSECO.A   none         SALINAS.A    "
"Wind Speed & Dir       710            0            0            0           21        "
"                     KINGCTY2.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
KINGCTY2.A,20130810,2359,0.000,,28.3,12.8,,,0,0,,,22.8,21.7,,278,5.584,93.0,42.0
KINGCTY2.A,20130811,2359,0.254,,28.9,12.2,,,0,0,,,25.0,21.7,,285,5.838,93.0,35.0
KINGCTY2.A,20130812,2359,0.000,,29.4,10.6,,,0,0,,,23.3,22.2,,287,5.838,94.0,30.0
KINGCTY2.A,20130813,2359,0.000,,32.2,9.4,,,0,0,,,23.3,21.7,,299,6.599,94.0,18.0
KINGCTY2.A,20130814,2359,0.000,,31.7,8.3,,,0,0,,,23.3,22.2,,304,6.345,92.0,26.0
KINGCTY2.A,20130815,2359,0.000,,33.9,10.0,,,0,0,,,23.3,22.8,,307,6.599,91.0,26.0
KINGCTY2.A,20130816,2359,0.000,,33.9,12.2,,,0,0,,,23.9,22.8,,299,6.853,92.0,28.0
KINGCTY2.A,20130817,2359,0.000,,31.7,10.6,,,0,0,,,23.9,23.3,,252,5.838,94.0,23.0
KINGCTY2.A,20130818,2359,0.000,,36.7,13.3,,,0,0,,,23.9,23.3,,244,5.076,95.0,20.0
KINGCTY2.A,20130819,2359,0.000,,36.1,11.7,,,0,0,,,23.9,23.3,,279,6.091,91.0,24.0
KINGCTY2.A,20130820,2359,0.000,,30.0,12.8,,,0,0,,,23.9,23.3,,278,5.330,92.0,35.0
KINGCTY2.A,20130821,2359,0.000,,31.7,11.7,,,0,0,,,23.9,23.3,,279,5.584,92.0,28.0
KINGCTY2.A,20130822,2359,0.000,,28.3,9.4,,,0,0,,,23.9,23.3,,265,5.076,92.0,36.0
KINGCTY2.A,20130823,2359,0.000,,29.4,10.6,,,0,0,,,23.9,23.3,,264,5.330,91.0,33.0
KINGCTY2.A,20130824,2359,0.000,,30.6,10.6,,,0,0,,,23.9,23.3,,270,5.838,94.0,30.0
KINGCTY2.A,20130825,2359,0.000,,33.9,11.1,,,0,0,,,23.9,23.3,,282,5.838,91.0,22.0
KINGCTY2.A,20130826,2359,0.000,,30.0,11.7,,,0,0,,,23.9,23.3,,259,5.330,94.0,36.0
KINGCTY2.A,20130827,2359,0.000,,31.7,10.0,,,0,0,,,23.9,23.3,,272,5.838,89.0,32.0
KINGCTY2.A,20130828,2359,0.000,,32.2,10.0,,,0,0,,,23.9,23.3,,282,5.838,91.0,30.0
