

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 49% of requested data were available from station Laguna_Seca.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          363          357            0           11            0        "
"                     Laguna_Seca.ûA            NSALINAS.A   Pacific_Grovûe.A          MONTEREY.C   "
"Air Temps, max/min     340          363            0           28            0        "
"                     Laguna_Seca.ûA            NSALINAS.A   Pacific_Grovûe.A          MONTEREY.C   "
"Soil Temps, max/min    363            0            0          368            0        "
"                     Laguna_Seca.ûA            SALINAS.A    Pacific_Grovûe.A          SALINAS.A    "
"Rel. Humidity          358            0            0            0          373        "
"                     Laguna_Seca.ûA            none         none         none         "
"ETo                    363            0            0            0          368        "
"                     Laguna_Seca.ûA            none         none         none         "
"Solar Radiation        362          352            0           17            0        "
"                     Laguna_Seca.ûA            NSALINAS.A   Pacific_Grovûe.A          SALINAS.A    "
"Wind Speed & Dir       355            0            0            0          376        "
"                     Laguna_Seca.ûA            none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Laguna_Seca.A,20130810,2359,0.000,,19.4,13.3,,,,,,,23.9,21.7,,192,,,
Laguna_Seca.A,20130811,2359,0.000,,18.9,12.8,,,,,,,23.9,21.7,,141,,,
Laguna_Seca.A,20130812,2359,0.000,,18.9,11.7,,,,,,,23.9,21.7,,192,,,
Laguna_Seca.A,20130813,2359,0.254,,18.9,11.7,,,,,,,23.9,21.7,,245,,,
Laguna_Seca.A,20130814,2359,0.000,,20.6,11.7,,,,,,,23.3,21.7,,247,,,
Laguna_Seca.A,20130815,2359,0.254,,23.9,11.7,,,,,,,23.3,21.7,,256,,,
Laguna_Seca.A,20130816,2359,0.000,,22.2,12.8,,,,,,,23.3,21.7,,248,,,
Laguna_Seca.A,20130817,2359,0.000,,20.0,12.8,,,,,,,23.9,21.7,,173,,,
Laguna_Seca.A,20130818,2359,0.254,,21.7,11.7,,,,,,,23.3,21.7,,202,,,
Laguna_Seca.A,20130819,2359,0.000,,20.0,11.1,,,,,,,23.3,21.7,,202,,,
Laguna_Seca.A,20130820,2359,0.000,,17.8,11.7,,,,,,,23.3,21.7,,160,,,
Laguna_Seca.A,20130821,2359,0.000,,20.0,11.7,,,,,,,23.9,21.1,,231,,,
Laguna_Seca.A,20130822,2359,0.000,,21.7,10.0,,,,,,,23.9,21.1,,224,,,
Laguna_Seca.A,20130823,2359,0.000,,20.6,13.3,,,,,,,23.9,21.1,,212,,,
Laguna_Seca.A,20130824,2359,0.000,,21.1,12.2,,,,,,,23.9,21.7,,241,,,
Laguna_Seca.A,20130825,2359,0.000,,24.4,12.2,,,,,,,23.9,21.7,,252,,,
Laguna_Seca.A,20130826,2359,0.000,,21.7,12.8,,,,,,,23.9,21.7,,230,,,
Laguna_Seca.A,20130827,2359,0.000,,21.1,11.1,,,,,,,23.3,21.7,,240,,,
Laguna_Seca.A,20130828,2359,0.000,,20.6,11.1,,,,,,,23.9,21.7,,214,,,
Laguna_Seca.A,20130829,2359,0.000,,23.3,13.3,,,,,,,23.9,21.7,,329,,,
Laguna_Seca.A,20130830,2359,0.254,,22.8,11.1,,,,,,,23.3,21.1,,262,,,
Laguna_Seca.A,20130831,2359,0.000,,21.1,11.7,,,,,,,23.3,21.1,,242,,,
Laguna_Seca.A,20130901,2359,0.000,,21.1,11.7,,,,,,,23.3,21.1,,246,,,
Laguna_Seca.A,20130902,2359,0.000,,23.9,15.0,,,,,,,23.9,21.1,,175,,,
