

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: No data were available from station MONTEREY.C.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation            0          698            0           33            0        "
"                     MONTEREY.C   CASTROVL.A   none         MONTEREY.C   "
"Air Temps, max/min       0          668            0           63            0        "
"                     MONTEREY.C   CASTROVL.A   none         MONTEREY.C   "
"Air Temps, observed      0            0            0            0          731        "
"                     MONTEREY.C   none         none         none         "
"Weather Condition        0            0            0            0          731        "
"                     MONTEREY.C   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
MONTEREY.C,20130810,2359,0.000,,16.7,12.8,,,,,,,,,,,,,
MONTEREY.C,20130811,2359,0.000,,15.0,12.2,,,,,,,,,,,,,
MONTEREY.C,20130812,2359,0.000,,15.6,11.1,,,,,,,,,,,,,
MONTEREY.C,20130813,2359,0.000,,16.1,11.1,,,,,,,,,,,,,
MONTEREY.C,20130814,2359,0.000,,18.9,12.2,,,,,,,,,,,,,
MONTEREY.C,20130815,2359,0.000,,20.6,11.7,,,,,,,,,,,,,
MONTEREY.C,20130816,2359,0.000,,17.8,12.2,,,,,,,,,,,,,
MONTEREY.C,20130817,2359,0.000,,17.8,12.2,,,,,,,,,,,,,
MONTEREY.C,20130818,2359,0.000,,17.2,12.2,,,,,,,,,,,,,
MONTEREY.C,20130819,2359,0.000,,16.1,11.7,,,,,,,,,,,,,
MONTEREY.C,20130820,2359,0.000,,16.7,12.2,,,,,,,,,,,,,
MONTEREY.C,20130821,2359,0.000,,18.3,11.7,,,,,,,,,,,,,
MONTEREY.C,20130822,2359,0.000,,18.9,8.3,,,,,,,,,,,,,
MONTEREY.C,20130823,2359,0.000,,17.8,12.2,,,,,,,,,,,,,
MONTEREY.C,20130824,2359,0.000,,17.8,12.2,,,,,,,,,,,,,
MONTEREY.C,20130825,2359,0.000,,21.1,12.2,,,,,,,,,,,,,
MONTEREY.C,20130826,2359,0.000,,18.3,12.8,,,,,,,,,,,,,
MONTEREY.C,20130827,2359,0.000,,17.8,9.4,,,,,,,,,,,,,
MONTEREY.C,20130828,2359,0.000,,17.8,11.7,,,,,,,,,,,,,
MONTEREY.C,20130829,2359,0.000,,20.0,10.6,,,,,,,,,,,,,
MONTEREY.C,20130830,2359,0.000,,17.8,8.9,,,,,,,,,,,,,
MONTEREY.C,20130831,2359,0.000,,15.0,10.6,,,,,,,,,,,,,
MONTEREY.C,20130901,2359,0.000,,16.7,12.2,,,,,,,,,,,,,
MONTEREY.C,20130902,2359,0.000,,20.6,13.9,,,,,,,,,,,,,
MONTEREY.C,20130903,2359,0.000,,19.4,12.2,,,,,,,,,,,,,
MONTEREY.C,20130904,2359,0.000,,20.0,10.6,,,,,,,,,,,,,
MONTEREY.C,20130905,2359,0.000,,19.4,9.4,,,,,,,,,,,,,
MONTEREY.C,20130906,2359,0.000,,21.7,8.3,,,,,,,,,,,,,
MONTEREY.C,20130907,2359,0.000,,22.2,10.0,,,,,,,,,,,,,
MONTEREY.C,20130908,2359,0.000,,15.6,11.7,,,,,,,,,,,,,
MONTEREY.C,20130909,2359,0.000,,15.6,11.1,,,,,,,,,,,,,
MONTEREY.C,20130910,2359,0.254,,17.2,12.2,,,,,,,,,,,,,
MONTEREY.C,20130911,2359,0.000,,18.3,14.4,,,,,,,,,,,,,
MONTEREY.C,20130912,2359,0.000,,18.3,13.9,,,,,,,,,,,,,
MONTEREY.C,20130913,2359,0.000,,16.7,11.7,,,,,,,,,,,,,
MONTEREY.C,20130914,2359,0.000,,17.2,11.1,,,,,,,,,,,,,
MONTEREY.C,20130915,2359,0.000,,17.8,11.7,,,,,,,,,,,,,
MONTEREY.C,20130916,2359,0.254,,17.2,8.3,,,,,,,,,,,,,
MONTEREY.C,20130917,2359,0.000,,17.8,8.9,,,,,,,,,,,,,
MONTEREY.C,20130918,2359,0.000,,17.2,8.9,,,,,,,,,,,,,
