

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station NSALINAS.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          716            5            0           10            0        "
"                     NSALINAS.A   CASTROVL.A   SALINAS.A    SALINAS.C    "
"Air Temps, max/min     690            8            0           33            0        "
"                     NSALINAS.A   CASTROVL.A   SALINAS.A    SALINAS.C    "
"Soil Temps, max/min    718            3            0           10            0        "
"                     NSALINAS.A   CASTROVL.A   SALINAS.A    SALINAS.A    "
"Rel. Humidity          699            0            0            0           32        "
"                     NSALINAS.A   none         none         none         "
"ETo                    719            0            0            0           12        "
"                     NSALINAS.A   none         none         none         "
"Solar Radiation        693            9            0           29            0        "
"                     NSALINAS.A   CASTROVL.A   SALINAS.A    SALINAS.A    "
"Wind Speed & Dir       711            0            0            0           20        "
"                     NSALINAS.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
NSALINAS.A,20130810,2359,0.000,,19.4,13.3,,,0,0,,,18.9,18.3,,192,2.792,100.0,78.0
NSALINAS.A,20130811,2359,0.000,,18.9,12.8,,,0,0,,,18.9,18.3,,141,1.777,100.0,83.0
NSALINAS.A,20130812,2359,0.000,,18.9,11.7,,,0,0,,,18.9,17.8,,192,2.792,100.0,80.0
NSALINAS.A,20130813,2359,0.254,,18.9,11.7,,,0,0,,,18.9,18.3,,245,3.553,100.0,76.0
NSALINAS.A,20130814,2359,0.000,,20.6,11.7,,,0,0,,,18.9,18.3,,247,3.807,99.0,70.0
NSALINAS.A,20130815,2359,0.254,,23.9,11.7,,,0,0,,,19.4,18.3,,256,4.061,100.0,67.0
NSALINAS.A,20130816,2359,0.000,,22.2,12.8,,,0,0,,,20.0,19.4,,248,3.807,100.0,73.0
NSALINAS.A,20130817,2359,0.000,,20.0,12.8,,,0,0,,,20.0,18.9,,173,2.538,100.0,80.0
NSALINAS.A,20130818,2359,0.254,,21.7,11.7,,,0,0,,,19.4,18.9,,202,3.046,100.0,71.0
NSALINAS.A,20130819,2359,0.000,,20.0,11.1,,,0,0,,,19.4,18.9,,202,3.046,100.0,72.0
NSALINAS.A,20130820,2359,0.000,,17.8,11.7,,,0,0,,,19.4,18.9,,160,2.284,100.0,78.0
NSALINAS.A,20130821,2359,0.000,,20.0,11.7,,,0,0,,,19.4,18.9,,231,3.553,96.0,67.0
NSALINAS.A,20130822,2359,0.000,,21.7,10.0,,,0,0,,,19.4,18.3,,224,3.553,95.0,60.0
NSALINAS.A,20130823,2359,0.000,,20.6,13.3,,,0,0,,,19.4,18.9,,212,3.300,97.0,72.0
NSALINAS.A,20130824,2359,0.000,,21.1,12.2,,,0,0,,,19.4,18.3,,241,3.807,100.0,72.0
NSALINAS.A,20130825,2359,0.000,,24.4,12.2,,,0,0,,,20.0,18.9,,252,4.061,100.0,63.0
NSALINAS.A,20130826,2359,0.000,,21.7,12.8,,,0,0,,,20.0,19.4,,230,3.553,100.0,72.0
NSALINAS.A,20130827,2359,0.000,,21.1,11.1,,,0,0,,,20.0,18.9,,240,3.807,97.0,66.0
NSALINAS.A,20130828,2359,0.000,,20.6,11.1,,,0,0,,,20.0,19.4,,214,3.300,100.0,71.0
