

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station PAJARO.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          707           14            0           10            0        "
"                     PAJARO.A     CASTROVL.A   NSALINAS.A   SALINAS.C    "
"Air Temps, max/min     679           19            1           32            0        "
"                     PAJARO.A     CASTROVL.A   NSALINAS.A   SALINAS.C    "
"Soil Temps, max/min    707           14            0           10            0        "
"                     PAJARO.A     CASTROVL.A   NSALINAS.A   CASTROVL.A   "
"Rel. Humidity          701            0            0            0           30        "
"                     PAJARO.A     none         none         none         "
"ETo                    708            0            0            0           23        "
"                     PAJARO.A     none         none         none         "
"Solar Radiation        688           15            3           25            0        "
"                     PAJARO.A     CASTROVL.A   NSALINAS.A   CASTROVL.A   "
"Wind Speed & Dir       700            0            0            0           31        "
"                     PAJARO.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
PAJARO.A,20130810,2359,0.000,,20.0,14.4,,,0,0,,,24.4,22.2,,246,3.807,99.0,78.0
PAJARO.A,20130811,2359,0.000,,18.9,13.3,,,0,0,,,23.9,22.2,,195,2.792,100.0,82.0
PAJARO.A,20130812,2359,0.000,,20.0,13.3,,,0,0,,,24.4,22.2,,242,3.807,100.0,80.0
PAJARO.A,20130813,2359,0.000,,20.6,11.7,,,0,0,,,24.4,22.2,,264,4.061,100.0,75.0
PAJARO.A,20130814,2359,0.000,,25.6,12.8,,,0,0,,,25.0,22.2,,281,4.822,100.0,57.0
PAJARO.A,20130815,2359,0.000,,27.2,10.6,,,0,0,,,25.0,22.2,,293,5.076,96.0,65.0
PAJARO.A,20130816,2359,0.000,,24.4,13.9,,,0,0,,,25.0,22.8,,273,4.569,100.0,74.0
PAJARO.A,20130817,2359,0.000,,23.3,13.9,,,0,0,,,25.0,22.8,,195,3.046,100.0,70.0
PAJARO.A,20130818,2359,0.000,,22.2,13.3,,,0,0,,,24.4,22.2,,230,3.553,100.0,78.0
PAJARO.A,20130819,2359,0.000,,20.6,13.3,,,0,0,,,23.9,22.2,,236,3.553,100.0,79.0
PAJARO.A,20130820,2359,0.000,,18.3,13.3,,,0,0,,,23.9,22.2,,166,2.284,100.0,83.0
PAJARO.A,20130821,2359,0.000,,20.0,12.8,,,0,0,,,23.3,21.7,,238,3.807,92.0,72.0
PAJARO.A,20130822,2359,0.000,,21.1,10.0,,,0,0,,,23.3,21.1,,243,4.061,96.0,68.0
PAJARO.A,20130823,2359,0.000,,22.8,12.2,,,0,0,,,23.9,21.1,,246,4.061,94.0,65.0
PAJARO.A,20130824,2359,0.000,,22.8,13.3,,,0,0,,,23.9,21.7,,253,4.061,99.0,71.0
PAJARO.A,20130825,2359,0.000,,25.0,12.8,,,0,0,,,23.9,21.7,,263,4.569,99.0,69.0
PAJARO.A,20130826,2359,0.000,,24.4,13.9,,,0,0,,,24.4,22.2,,246,4.061,97.0,63.0
PAJARO.A,20130827,2359,0.000,,23.9,10.6,,,0,0,,,24.4,21.7,,265,4.315,94.0,63.0
PAJARO.A,20130828,2359,0.000,,24.4,12.2,,,0,0,,,24.4,22.2,,250,4.061,100.0,70.0
PAJARO.A,20130829,2359,0.254,,23.3,15.0,,,0,0,,,25.0,22.8,,256,4.315,100.0,72.0
PAJARO.A,20130830,2359,0.000,,26.1,12.2,,,0,0,,,25.0,22.2,,279,4.822,96.0,61.0
PAJARO.A,20130831,2359,0.000,,26.1,13.3,,,0,0,,,25.0,22.8,,262,4.315,95.0,56.0
PAJARO.A,20130901,2359,0.000,,25.0,14.4,,,0,0,,,25.0,22.8,,253,4.569,94.0,61.0
PAJARO.A,20130902,2359,0.000,,25.0,16.7,,,0,0,,,25.0,23.3,,197,3.553,93.0,65.0
PAJARO.A,20130903,2359,0.000,,26.7,14.4,,,0,0,,,25.0,22.8,,271,5.076,96.0,45.0
