

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station OAKVILLE.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          721            0            0           10            0        "
"                     OAKVILLE.A   NAPA.A       STHELENA.C   STHELENA.C   "
"Air Temps, max/min     700           20            0           11            0        "
"                     OAKVILLE.A   NAPA.A       STHELENA.C   OAKVILLE.A   "
"Soil Temps, max/min    701           19            0            0           11        "
"                     OAKVILLE.A   NAPA.A       none         OAKVILLE.A   "
"Rel. Humidity          681            0            0            0           50        "
"                     OAKVILLE.A   none         none         none         "
"ETo                    721            0            0            0           10        "
"                     OAKVILLE.A   none         none         none         "
"Solar Radiation        701           15            0           15            0        "
"                     OAKVILLE.A   NAPA.A       none         OAKVILLE.A   "
"Wind Speed & Dir       713            0            0            0           18        "
"                     OAKVILLE.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
OAKVILLE.A,20130810,2359,0.000,,28.3,10.6,,,0,0,,,21.7,20.0,,268,5.076,93.0,43.0
OAKVILLE.A,20130811,2359,0.000,,27.2,11.1,,,0,0,,,21.7,20.6,,266,4.822,96.0,49.0
OAKVILLE.A,20130812,2359,0.000,,28.3,8.3,,,0,0,,,21.7,20.0,,262,4.822,95.0,46.0
OAKVILLE.A,20130813,2359,0.000,,34.4,8.9,,,0,0,,,21.7,20.0,,297,6.091,93.0,24.0
OAKVILLE.A,20130814,2359,0.000,,31.1,8.9,,,0,0,,,21.7,20.0,,297,5.838,94.0,38.0
OAKVILLE.A,20130815,2359,0.000,,31.1,10.0,,,0,0,,,21.7,19.4,,287,5.838,95.0,39.0
OAKVILLE.A,20130816,2359,0.000,,33.9,13.9,,,0,0,,,22.8,21.1,,277,5.838,96.0,31.0
OAKVILLE.A,20130817,2359,0.000,,27.8,11.7,,,0,0,,,22.2,21.1,,206,3.553,93.0,50.0
OAKVILLE.A,20130818,2359,0.000,,36.1,12.2,,,0,0,,,22.2,21.1,,267,5.584,95.0,31.0
OAKVILLE.A,20130819,2359,0.000,,35.6,15.6,,,0,0,,,22.2,21.1,,186,3.553,90.0,38.0
OAKVILLE.A,20130820,2359,0.000,,28.9,15.0,,,0,0,,,22.8,21.7,,265,5.076,88.0,47.0
OAKVILLE.A,20130821,2359,0.000,,28.9,11.1,,,0,0,,,22.2,21.1,,262,4.822,93.0,42.0
OAKVILLE.A,20130822,2359,0.000,,27.8,9.4,,,0,0,,,21.7,20.6,,277,4.822,92.0,42.0
OAKVILLE.A,20130823,2359,0.000,,27.2,9.4,,,0,0,,,21.7,20.0,,265,4.822,94.0,50.0
OAKVILLE.A,20130824,2359,0.000,,29.4,8.9,,,0,0,,,21.1,20.0,,272,5.330,95.0,40.0
OAKVILLE.A,20130825,2359,0.000,,28.3,12.2,,,0,0,,,21.7,20.6,,278,5.076,94.0,47.0
OAKVILLE.A,20130826,2359,0.000,,30.0,12.2,,,0,0,,,22.2,20.6,,275,5.076,92.0,38.0
OAKVILLE.A,20130827,2359,0.000,,32.2,8.9,,,0,0,,,21.7,20.6,,285,5.584,94.0,31.0
OAKVILLE.A,20130828,2359,0.000,,31.1,9.4,,,0,0,,,21.7,20.0,,273,5.076,96.0,42.0
