

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 95% of requested data were available from station SNTA_ANA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          702            0            0           29            0        "
"                     SNTA_ANA.A   none         SANTAANA.C   SNTA_ANA.A   "
"Air Temps, max/min     690            0            0           41            0        "
"                     SNTA_ANA.A   none         SANTAANA.C   SNTA_ANA.A   "
"Soil Temps, max/min    695            0            0           36            0        "
"                     SNTA_ANA.A   none         none         SNTA_ANA.A   "
"Rel. Humidity          682            0            0            0           49        "
"                     SNTA_ANA.A   none         none         none         "
"ETo                    702            0            0            0           29        "
"                     SNTA_ANA.A   none         none         none         "
"Solar Radiation        694            0            0           37            0        "
"                     SNTA_ANA.A   none         none         SNTA_ANA.A   "
"Wind Speed & Dir       694            0            0            0           37        "
"                     SNTA_ANA.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SNTA_ANA.A,20130810,2359,0.000,,30.6,11.7,,,0,0,,,23.3,22.8,,290,5.330,94.0,42.0
SNTA_ANA.A,20130811,2359,0.000,,31.1,10.6,,,0,0,,,23.3,22.8,,304,5.838,95.0,39.0
SNTA_ANA.A,20130812,2359,0.000,,31.1,13.3,,,0,0,,,23.3,22.8,,307,5.584,93.0,43.0
SNTA_ANA.A,20130813,2359,0.000,,31.1,15.0,,,0,0,,,23.9,22.8,,300,5.584,92.0,45.0
SNTA_ANA.A,20130814,2359,0.000,,31.7,13.3,,,0,0,,,23.9,22.8,,301,5.584,95.0,46.0
SNTA_ANA.A,20130815,2359,0.000,,32.8,12.2,,,0,0,,,23.9,22.8,,301,5.838,95.0,41.0
SNTA_ANA.A,20130816,2359,0.000,,33.9,13.3,,,0,0,,,23.9,22.8,,298,5.838,95.0,33.0
SNTA_ANA.A,20130817,2359,0.000,,33.3,13.3,,,0,0,,,23.9,23.3,,297,5.838,94.0,38.0
SNTA_ANA.A,20130818,2359,0.000,,27.8,16.1,,,,,,,26.7,23.9,,275,,,
SNTA_ANA.A,20130819,2359,0.000,,27.8,16.1,,,,,,,26.7,23.9,,277,,,
SNTA_ANA.A,20130820,2359,0.000,,27.2,15.6,,,,,,,26.7,23.9,,279,,,
SNTA_ANA.A,20130821,2359,0.000,,27.2,15.0,,,,,,,26.7,23.9,,275,,,
SNTA_ANA.A,20130822,2359,0.000,,27.8,15.6,,,,,,,26.7,23.9,,276,,,
SNTA_ANA.A,20130823,2359,0.000,,29.4,15.0,,,0,0,,,23.9,23.3,,363,5.330,,
SNTA_ANA.A,20130824,2359,0.000,,27.8,12.2,,,0,0,,,23.9,22.8,,302,5.076,94.0,48.0
SNTA_ANA.A,20130825,2359,0.000,,29.4,13.9,,,0,0,,,23.3,22.8,,295,5.330,97.0,38.0
SNTA_ANA.A,20130826,2359,0.000,,32.2,17.2,,,0,0,,,23.9,22.8,,220,4.315,98.0,35.0
SNTA_ANA.A,20130827,2359,0.000,,30.6,18.3,,,0,0,,,23.9,23.3,,282,5.584,77.0,34.0
SNTA_ANA.A,20130828,2359,0.000,,31.7,17.8,,,0,0,,,24.4,23.3,,280,5.584,82.0,35.0
SNTA_ANA.A,20130829,2359,0.000,,34.4,18.3,,,0,0,,,24.4,23.9,,268,5.584,77.0,28.0
