

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 95% of requested data were available from station Auburn.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          706            0            0           25            0        "
"                     Auburn.A     none         none         AUBURN.C     "
"Air Temps, max/min     686            0            0           45            0        "
"                     Auburn.A     none         none         AUBURN.C     "
"Soil Temps, max/min    653            0            0            0           78        "
"                     Auburn.A     none         none         none         "
"Rel. Humidity          697            0            0            0           34        "
"                     Auburn.A     none         none         none         "
"ETo                    706            0            0            0           25        "
"                     Auburn.A     none         none         none         "
"Solar Radiation        699           20            0            0           12        "
"                     Auburn.A     FAIR_OAKS.A  none         none         "
"Wind Speed & Dir       698            0            0            0           33        "
"                     Auburn.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Auburn.A,20130810,2359,0.000,,30.6,12.8,,,0,0,,,24.4,21.7,,287,5.838,79.0,29.0
Auburn.A,20130811,2359,0.000,,31.7,14.4,,,0,0,,,24.4,22.2,,292,6.345,66.0,22.0
Auburn.A,20130812,2359,0.000,,33.3,18.9,,,0,0,,,25.0,22.2,,293,6.599,50.0,17.0
Auburn.A,20130813,2359,0.000,,34.4,18.9,,,0,0,,,24.4,22.2,,289,6.599,49.0,17.0
Auburn.A,20130814,2359,0.000,,35.6,19.4,,,0,0,,,24.4,21.7,,288,6.853,54.0,17.0
Auburn.A,20130815,2359,0.000,,35.0,19.4,,,0,0,,,25.6,22.2,,297,6.599,61.0,21.0
Auburn.A,20130816,2359,0.000,,36.7,16.1,,,0,0,,,25.0,22.2,,294,6.599,67.0,16.0
Auburn.A,20130817,2359,0.000,,35.6,21.1,,,0,0,,,25.0,22.8,,287,6.599,55.0,18.0
Auburn.A,20130818,2359,0.000,,37.8,19.4,,,0,0,,,25.6,23.3,,238,5.838,52.0,20.0
Auburn.A,20130819,2359,0.000,,38.3,26.1,,,0,0,,,25.0,23.9,,159,3.553,47.0,19.0
Auburn.A,20130820,2359,0.000,,35.6,22.8,,,0,0,,,26.1,23.9,,255,5.838,58.0,27.0
Auburn.A,20130821,2359,0.000,,34.4,18.9,,,0,0,,,26.1,23.9,,261,5.584,66.0,20.0
Auburn.A,20130822,2359,0.000,,32.2,16.7,,,0,0,,,25.6,23.3,,278,5.838,67.0,23.0
Auburn.A,20130823,2359,0.000,,32.2,13.9,,,0,0,,,25.6,22.8,,281,5.584,72.0,21.0
Auburn.A,20130824,2359,0.000,,31.7,15.6,,,0,0,,,25.0,22.8,,274,5.838,66.0,24.0
Auburn.A,20130825,2359,0.000,,30.6,16.1,,,0,0,,,25.0,22.8,,224,4.569,76.0,31.0
Auburn.A,20130826,2359,0.000,,31.7,14.4,,,0,0,,,25.0,22.8,,277,5.330,85.0,25.0
Auburn.A,20130827,2359,0.000,,33.3,15.0,,,0,0,,,25.0,22.8,,262,5.584,72.0,22.0
Auburn.A,20130828,2359,0.000,,33.9,16.1,,,0,0,,,25.0,22.8,,269,5.838,65.0,19.0
