

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station BLYTHE_NE.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          711            8            1           11            0        "
"                     BLYTHE_NE.A  RIPLEY.A     PALO_VERDE_IûI.A          BLYTHE.C     "
"Air Temps, max/min     685           13            5           28            0        "
"                     BLYTHE_NE.A  RIPLEY.A     PALO_VERDE_IûI.A          BLYTHE.C     "
"Soil Temps, max/min    697           12            2           20            0        "
"                     BLYTHE_NE.A  RIPLEY.A     PALO_VERDE_IûI.A          PALOVERD.A   "
"Rel. Humidity          701            0            0            0           30        "
"                     BLYTHE_NE.A  none         none         none         "
"ETo                    712            0            0            0           19        "
"                     BLYTHE_NE.A  none         none         none         "
"Solar Radiation        685           14            2           30            0        "
"                     BLYTHE_NE.A  RIPLEY.A     PALO_VERDE_IûI.A          PALOVERD.A   "
"Wind Speed & Dir       704            0            0            0           27        "
"                     BLYTHE_NE.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
BLYTHE_NE.A,20130810,2359,0.000,,38.3,19.4,,,0,0,,,30.6,29.4,,316,7.107,68.0,24.0
BLYTHE_NE.A,20130811,2359,0.000,,39.4,18.9,,,0,0,,,30.6,28.9,,319,6.599,69.0,18.0
BLYTHE_NE.A,20130812,2359,0.000,,40.6,17.2,,,0,0,,,30.6,28.9,,318,6.853,71.0,19.0
BLYTHE_NE.A,20130813,2359,0.000,,40.6,18.9,,,0,0,,,31.1,29.4,,318,6.853,67.0,18.0
BLYTHE_NE.A,20130814,2359,0.000,,41.1,20.6,,,0,0,,,31.1,29.4,,296,6.599,81.0,27.0
BLYTHE_NE.A,20130815,2359,0.000,,41.7,25.0,,,0,0,,,32.2,30.6,,288,6.599,70.0,31.0
BLYTHE_NE.A,20130816,2359,0.000,,43.9,26.1,,,0,0,,,32.8,31.1,,290,6.853,76.0,32.0
BLYTHE_NE.A,20130817,2359,0.000,,42.8,25.0,,,0,0,,,32.8,31.7,,288,7.107,72.0,33.0
BLYTHE_NE.A,20130818,2359,0.000,,41.1,26.7,,,0,0,,,32.8,31.7,,249,6.091,68.0,32.0
BLYTHE_NE.A,20130819,2359,0.000,,40.6,26.7,,,0,0,,,32.8,31.7,,224,5.584,69.0,31.0
BLYTHE_NE.A,20130820,2359,0.000,,43.3,24.4,,,0,0,,,32.8,31.7,,286,6.599,76.0,24.0
BLYTHE_NE.A,20130821,2359,0.000,,42.2,23.9,,,0,0,,,32.8,31.7,,264,6.345,69.0,33.0
BLYTHE_NE.A,20130822,2359,0.761,,40.6,25.6,,,0,0,,,32.8,31.7,,177,4.061,80.0,36.0
BLYTHE_NE.A,20130823,2359,0.000,,39.4,26.1,,,0,0,,,32.2,31.1,,262,6.345,72.0,37.0
BLYTHE_NE.A,20130824,2359,0.508,,37.2,23.9,,,0,0,,,32.2,31.1,,199,4.822,87.0,35.0
BLYTHE_NE.A,20130825,2359,0.761,,30.6,23.9,,,0,0,,,31.7,30.6,,83,1.777,,
BLYTHE_NE.A,20130826,2359,1.015,,34.4,22.8,,,0,0,,,30.6,30.0,,260,5.076,91.0,49.0
BLYTHE_NE.A,20130827,2359,0.000,,38.3,23.9,,,0,0,,,31.1,30.0,,252,5.584,81.0,39.0
BLYTHE_NE.A,20130828,2359,0.000,,41.7,25.0,,,0,0,,,31.7,30.6,,249,5.838,84.0,34.0
