

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 89% of requested data were available from station HEMET.T.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          654            0           73            4            0        "
"                     HEMET.T      RIVRSIDE.C   WINCHESTER.A RIVRSIDE.C   "
"Air Temps, max/min     676            0           48            7            0        "
"                     HEMET.T      RIVRSIDE.C   WINCHESTER.A RIVRSIDE.C   "
"Air Temps, observed    642            0            0            0           89        "
"                     HEMET.T      none         none         none         "
"Wind Speed & Dir       644            0            0            0           87        "
"                     HEMET.T      none         none         none         "
"Weather Condition      643            0            0            0           88        "
"                     HEMET.T      none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
HEMET.T,20130810,740,0.000,,32.8,9.4,16.1,C,0,0,,,,,,,,,
HEMET.T,20130811,710,0.000,,35.0,11.7,15.6,C,W,1,,,,,,,,,
HEMET.T,20130812,740,0.000,,35.6,12.8,18.3,C,0,0,,,,,,,,,
HEMET.T,20130813,700,0.000,,38.3,13.3,16.7,C,0,0,,,,,,,,,
HEMET.T,20130814,720,0.000,,40.6,15.6,19.4,C,0,0,,,,,,,,,
HEMET.T,20130815,650,0.000,,40.0,17.8,19.4,C,0,0,,,,,,,,,
HEMET.T,20130816,625,0.000,,39.4,18.3,18.9,C,0,0,,,,,,,,,
HEMET.T,20130817,745,0.000,,40.0,18.9,23.9,C,0,0,,,,,,,,,
HEMET.T,20130818,720,0.000,,39.4,18.9,22.8,C,0,0,,,,,,,,,
HEMET.T,20130819,740,0.000,,37.8,20.0,24.4,C,0,0,,,,,,,,,
HEMET.T,20130820,755,0.000,,40.6,17.8,23.9,C,0,0,,,,,,,,,
HEMET.T,20130821,745,0.000,,40.6,17.8,20.0,PC,0,0,,,,,,,,,
HEMET.T,20130822,700,0.000,,41.1,18.3,21.1,C,0,0,,,,,,,,,
HEMET.T,20130823,650,0.000,,40.0,17.8,20.6,C,0,0,,,,,,,,,
HEMET.T,20130824,700,0.000,,38.3,16.7,18.9,PC,0,0,,,,,,,,,
HEMET.T,20130825,700,0.000,,37.2,18.9,23.9,PC,E,2,,,,,,,,,
HEMET.T,20130826,630,0.000,,38.3,22.8,23.3,CY,0,0,,,,,,,,,
HEMET.T,20130827,750,0.000,,39.4,19.4,25.0,PC,0,0,,,,,,,,,
HEMET.T,20130828,650,0.000,,37.8,21.1,22.8,PC,0,0,,,,,,,,,
HEMET.T,20130829,740,0.000,,38.3,22.8,27.2,PC,0,0,,,,,,,,,
HEMET.T,20130830,735,0.000,,37.8,20.6,23.9,PC,0,0,,,,,,,,,
HEMET.T,20130831,720,0.000,,35.0,20.0,22.8,PC,0,0,,,,,,,,,
HEMET.T,20130901,715,0.000,,38.3,20.0,22.2,PC,0,0,,,,,,,,,
