

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station Indio_2.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Air Temps, max/min     688           18            0           25            0        "
"                     Indio_2.A    CATHEDRL.A   MECCA.A      INDIO.C      "
"Soil Temps, max/min    702           16            0           13            0        "
"                     Indio_2.A    OASIS.A      MECCA.A      THERMAL.A    "
"Rel. Humidity          702            0            0            0           29        "
"                     Indio_2.A    none         none         none         "
"ETo                    717            0            0            0           14        "
"                     Indio_2.A    none         none         none         "
"Solar Radiation        701           18            0           12            0        "
"                     Indio_2.A    OASIS.A      MECCA.A      THERMAL.A    "
"Wind Speed & Dir       709            0            0            0           22        "
"                     Indio_2.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Indio_2.A,20130810,2359,,,38.9,24.4,,,0,0,,,27.8,25.0,,314,8.629,34.0,10.0
Indio_2.A,20130811,2359,,,38.9,24.4,,,0,0,,,27.8,25.0,,309,8.122,37.0,11.0
Indio_2.A,20130812,2359,,,38.9,23.9,,,0,0,,,28.9,25.6,,309,8.122,39.0,11.0
Indio_2.A,20130813,2359,,,40.0,23.9,,,0,0,,,28.3,26.1,,304,7.868,74.0,11.0
Indio_2.A,20130814,2359,,,41.7,6.7,,,0,0,,,28.9,26.1,,297,6.853,,
Indio_2.A,20130815,2359,,,41.7,23.3,,,0,0,,,30.0,26.7,,291,7.614,72.0,16.0
Indio_2.A,20130816,2359,,,43.9,26.7,,,0,0,,,29.4,26.7,,285,8.629,32.0,16.0
Indio_2.A,20130817,2359,,,43.3,28.9,,,0,0,,,30.0,27.2,,286,7.868,45.0,15.0
Indio_2.A,20130818,2359,,,42.2,25.0,,,0,0,,,29.4,27.8,,281,8.122,64.0,19.0
Indio_2.A,20130819,2359,,,41.1,9.4,,,0,0,,,29.4,27.8,,222,5.838,75.0,19.0
Indio_2.A,20130820,2359,,,42.2,29.4,,,0,0,,,30.0,27.8,,264,7.360,40.0,14.0
Indio_2.A,20130821,2359,,,42.2,20.6,,,0,0,,,30.0,27.8,,283,7.360,85.0,13.0
Indio_2.A,20130822,2359,,,40.6,22.8,,,0,0,,,30.6,28.3,,263,6.853,58.0,20.0
Indio_2.A,20130823,2359,,,38.9,22.8,,,0,0,,,30.0,28.9,,203,5.076,96.0,27.0
Indio_2.A,20130824,2359,,,34.4,20.6,,,0,0,,,29.4,28.3,,231,5.584,,
Indio_2.A,20130825,2359,,,34.4,21.1,,,0,0,,,29.4,27.8,,178,5.076,,
Indio_2.A,20130826,2359,,,29.4,23.9,,,0,0,,,28.3,27.8,,88,2.538,,
Indio_2.A,20130827,2359,,,37.8,23.3,,,0,0,,,30.0,27.2,,271,5.584,97.0,36.0
Indio_2.A,20130828,2359,,,41.1,25.6,,,0,0,,,30.6,28.3,,261,6.599,65.0,26.0
Indio_2.A,20130829,2359,,,35.6,21.1,,,0,0,,,30.6,28.9,,217,5.076,98.0,48.0
