

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 93% of requested data were available from station RIPLEY.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          694           25            1           11            0        "
"                     RIPLEY.A     BLYTHE_NE.A  PALO_VERDE_IûI.A          BLYTHE.C     "
"Air Temps, max/min     675           23            5           28            0        "
"                     RIPLEY.A     BLYTHE_NE.A  PALO_VERDE_IûI.A          BLYTHE.C     "
"Soil Temps, max/min    664           45            2           20            0        "
"                     RIPLEY.A     BLYTHE_NE.A  PALO_VERDE_IûI.A          PALOVERD.A   "
"Rel. Humidity          691            0            0            0           40        "
"                     RIPLEY.A     none         none         none         "
"ETo                    699            0            0            0           32        "
"                     RIPLEY.A     none         none         none         "
"Solar Radiation        663           36            2           30            0        "
"                     RIPLEY.A     BLYTHE_NE.A  PALO_VERDE_IûI.A          PALOVERD.A   "
"Wind Speed & Dir       691            0            0            0           40        "
"                     RIPLEY.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
RIPLEY.A,20130810,2359,0.000,,38.9,18.3,,,0,0,,,26.7,26.1,,312,7.868,63.0,14.0
RIPLEY.A,20130811,2359,0.000,,40.6,18.3,,,0,0,,,26.7,26.1,,308,6.853,70.0,9.0
RIPLEY.A,20130812,2359,0.000,,41.7,17.8,,,0,0,,,26.7,26.1,,310,7.107,72.0,10.0
RIPLEY.A,20130813,2359,0.000,,41.1,20.0,,,0,0,,,27.2,26.1,,310,7.360,64.0,10.0
RIPLEY.A,20130814,2359,0.000,,42.2,20.6,,,0,0,,,27.2,26.7,,291,6.853,77.0,14.0
RIPLEY.A,20130815,2359,0.000,,43.3,25.6,,,0,0,,,28.3,27.2,,275,6.853,62.0,19.0
RIPLEY.A,20130816,2359,0.000,,44.4,25.0,,,0,0,,,28.9,27.8,,280,6.853,73.0,20.0
RIPLEY.A,20130817,2359,0.000,,43.9,25.6,,,0,0,,,28.9,28.3,,281,7.360,68.0,24.0
RIPLEY.A,20130818,2359,0.000,,41.7,27.2,,,0,0,,,29.4,28.9,,241,6.345,58.0,25.0
RIPLEY.A,20130819,2359,0.000,,41.7,26.1,,,0,0,,,29.4,28.9,,230,5.838,74.0,29.0
RIPLEY.A,20130820,2359,0.000,,42.8,24.4,,,0,0,,,29.4,28.9,,276,6.599,78.0,20.0
RIPLEY.A,20130821,2359,0.000,,43.3,25.0,,,0,0,,,29.4,28.9,,253,6.345,66.0,21.0
RIPLEY.A,20130822,2359,0.000,,40.0,25.6,,,0,0,,,29.4,29.4,,175,4.061,82.0,36.0
RIPLEY.A,20130823,2359,0.000,,40.0,25.0,,,0,0,,,29.4,28.9,,245,5.584,87.0,34.0
RIPLEY.A,20130824,2359,0.508,,37.2,23.9,,,0,0,,,29.4,28.9,,181,4.822,,
RIPLEY.A,20130825,2359,7.868,,30.0,23.9,,,0,0,,,28.9,27.8,,84,3.046,,
RIPLEY.A,20130826,2359,3.046,,33.3,22.2,,,0,0,,,27.8,27.2,,231,4.315,100.0,57.0
RIPLEY.A,20130827,2359,0.000,,37.2,23.3,,,0,0,,,27.8,27.2,,251,5.076,94.0,43.0
RIPLEY.A,20130828,2359,0.000,,40.6,25.0,,,0,0,,,27.8,27.8,,240,5.584,96.0,35.0
RIPLEY.A,20130829,2359,3.046,,36.1,26.1,,,0,0,,,27.8,27.8,,198,4.061,96.0,52.0
