

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 94% of requested data were available from station TEMECULA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          697            0            0           34            0        "
"                     TEMECULA.A   CALLOWAY_EASûT.A          none         TEMECULA.A   "
"Air Temps, max/min     670            0            0           61            0        "
"                     TEMECULA.A   CALLOWAY_EASûT.A          none         TEMECULA.A   "
"Soil Temps, max/min    695            0            0            0           36        "
"                     TEMECULA.A   CALLOWAY_EASûT.A          none         none         "
"Rel. Humidity          665            0            0            0           66        "
"                     TEMECULA.A   none         none         none         "
"ETo                    700            0            0            0           31        "
"                     TEMECULA.A   none         none         none         "
"Solar Radiation        678            0            0           53            0        "
"                     TEMECULA.A   CALLOWAY_EASûT.A          none         TEMECULA.A   "
"Wind Speed & Dir       692            0            0            0           39        "
"                     TEMECULA.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
TEMECULA.A,20130810,2359,0.000,,26.7,11.1,,,0,0,,,22.2,21.7,,248,4.315,97.0,46.0
TEMECULA.A,20130811,2359,0.000,,29.4,12.8,,,0,0,,,22.2,21.7,,299,5.330,96.0,38.0
TEMECULA.A,20130812,2359,0.000,,29.4,12.8,,,0,0,,,22.2,21.7,,294,5.330,97.0,40.0
TEMECULA.A,20130813,2359,0.000,,32.2,11.7,,,0,0,,,22.2,21.7,,292,5.330,96.0,37.0
TEMECULA.A,20130814,2359,0.000,,32.8,11.7,,,0,0,,,22.2,21.7,,293,5.330,97.0,38.0
TEMECULA.A,20130815,2359,0.000,,34.4,16.7,,,0,0,,,22.8,22.2,,284,5.584,90.0,30.0
TEMECULA.A,20130816,2359,0.000,,33.3,19.4,,,0,0,,,22.8,22.2,,278,5.838,73.0,32.0
TEMECULA.A,20130817,2359,0.000,,34.4,18.3,,,0,0,,,22.8,22.2,,282,5.838,78.0,32.0
TEMECULA.A,20130818,2359,0.000,,30.6,15.6,,,0,0,,,23.3,22.2,,277,5.330,91.0,42.0
TEMECULA.A,20130819,2359,0.000,,31.7,14.4,,,0,0,,,23.3,22.2,,246,4.315,96.0,40.0
TEMECULA.A,20130820,2359,0.000,,32.8,15.6,,,0,0,,,23.3,22.2,,282,5.330,90.0,34.0
TEMECULA.A,20130821,2359,0.000,,35.6,16.7,,,0,0,,,23.3,22.8,,275,5.584,80.0,30.0
TEMECULA.A,20130822,2359,0.000,,35.6,17.2,,,0,0,,,23.3,22.8,,271,6.091,58.0,27.0
TEMECULA.A,20130823,2359,0.000,,35.0,15.6,,,0,0,,,23.3,22.2,,277,5.838,76.0,27.0
TEMECULA.A,20130824,2359,0.000,,33.9,14.4,,,0,0,,,22.8,22.2,,289,5.838,78.0,24.0
TEMECULA.A,20130825,2359,0.000,,33.9,16.7,,,0,0,,,22.8,22.2,,272,6.599,73.0,22.0
TEMECULA.A,20130826,2359,0.000,,31.7,21.1,,,0,0,,,23.3,22.2,,119,2.792,66.0,31.0
TEMECULA.A,20130827,2359,0.000,,33.9,21.1,,,0,0,,,23.3,22.8,,272,5.584,69.0,34.0
TEMECULA.A,20130828,2359,0.000,,36.1,21.1,,,0,0,,,23.3,22.8,,269,6.091,56.0,30.0
TEMECULA.A,20130829,2359,0.000,,36.1,21.7,,,0,0,,,23.3,22.8,,204,4.822,58.0,34.0
TEMECULA.A,20130830,2359,0.000,,35.0,23.9,,,0,0,,,23.9,23.3,,233,5.076,77.0,45.0
TEMECULA.A,20130831,2359,0.000,,34.4,20.6,,,0,0,,,24.4,23.9,,205,4.061,94.0,48.0
TEMECULA.A,20130901,2359,0.000,,35.0,19.4,,,0,0,,,24.4,23.9,,261,5.076,93.0,41.0
TEMECULA.A,20130902,2359,0.000,,33.3,19.4,,,0,0,,,24.4,23.9,,245,4.822,93.0,45.0
TEMECULA.A,20130903,2359,0.000,,36.7,22.8,,,0,0,,,24.4,23.9,,259,5.584,69.0,32.0
TEMECULA.A,20130904,2359,0.000,,38.3,21.1,,,0,0,,,24.4,23.9,,259,6.091,67.0,28.0
TEMECULA.A,20130905,2359,0.000,,38.9,22.8,,,0,0,,,24.4,23.9,,259,6.091,54.0,27.0
