

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station WINCHESTER.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          719            0            2           10            0        "
"                     WINCHESTER.A CALLOWAY_EASûT.A          TEMECULA.A   TEMECULA.A   "
"Air Temps, max/min     689            0           11           31            0        "
"                     WINCHESTER.A CALLOWAY_EASûT.A          TEMECULA.A   TEMECULA.A   "
"Soil Temps, max/min    712            0            9            0           10        "
"                     WINCHESTER.A CALLOWAY_EASûT.A          TEMECULA.A   none         "
"Rel. Humidity          712            0            0            0           19        "
"                     WINCHESTER.A none         none         none         "
"ETo                    720            0            0            0           11        "
"                     WINCHESTER.A none         none         none         "
"Solar Radiation        691            0           22           18            0        "
"                     WINCHESTER.A CALLOWAY_EASûT.A          TEMECULA.A   TEMECULA.A   "
"Wind Speed & Dir       712            0            0            0           19        "
"                     WINCHESTER.A none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
WINCHESTER.A,20130810,2359,0.000,,30.6,8.9,,,0,0,,,27.8,23.9,,309,6.345,96.0,27.0
WINCHESTER.A,20130811,2359,0.000,,33.3,10.6,,,0,0,,,28.3,23.9,,304,6.599,89.0,24.0
WINCHESTER.A,20130812,2359,0.000,,32.8,11.7,,,0,0,,,28.9,24.4,,299,6.599,92.0,27.0
WINCHESTER.A,20130813,2359,0.000,,37.2,12.8,,,0,0,,,29.4,25.0,,296,6.599,89.0,18.0
WINCHESTER.A,20130814,2359,0.000,,38.3,12.8,,,0,0,,,29.4,25.6,,297,7.107,91.0,17.0
WINCHESTER.A,20130815,2359,0.000,,37.8,15.6,,,0,0,,,30.0,26.1,,290,7.614,81.0,11.0
WINCHESTER.A,20130816,2359,0.000,,37.2,16.1,,,0,0,,,30.0,26.1,,285,7.107,73.0,19.0
WINCHESTER.A,20130817,2359,0.000,,39.4,16.7,,,0,0,,,30.6,26.7,,291,7.107,69.0,17.0
WINCHESTER.A,20130818,2359,0.000,,36.1,17.2,,,0,0,,,30.6,27.2,,291,7.614,71.0,24.0
WINCHESTER.A,20130819,2359,0.000,,36.1,18.3,,,0,0,,,30.6,27.2,,249,5.584,76.0,27.0
WINCHESTER.A,20130820,2359,0.000,,36.1,17.2,,,0,0,,,30.6,27.2,,271,6.853,76.0,14.0
WINCHESTER.A,20130821,2359,0.000,,39.4,16.1,,,0,0,,,31.1,26.7,,286,7.107,76.0,12.0
WINCHESTER.A,20130822,2359,0.000,,39.4,17.2,,,0,0,,,31.1,27.2,,276,7.360,60.0,16.0
WINCHESTER.A,20130823,2359,0.000,,38.3,16.1,,,0,0,,,31.1,27.2,,284,7.360,62.0,16.0
WINCHESTER.A,20130824,2359,0.000,,36.7,13.9,,,0,0,,,30.0,26.7,,271,7.360,66.0,10.0
WINCHESTER.A,20130825,2359,0.000,,35.0,16.1,,,0,0,,,30.6,26.7,,288,7.614,63.0,23.0
WINCHESTER.A,20130826,2359,0.000,,32.2,21.7,,,0,0,,,30.0,27.8,,130,3.046,65.0,38.0
WINCHESTER.A,20130827,2359,0.000,,35.6,19.4,,,0,0,,,31.1,27.2,,285,7.107,74.0,33.0
WINCHESTER.A,20130828,2359,0.000,,37.2,20.0,,,0,0,,,31.7,27.8,,281,7.360,62.0,27.0
WINCHESTER.A,20130829,2359,0.000,,36.7,20.0,,,0,0,,,31.1,28.3,,176,4.569,63.0,30.0
WINCHESTER.A,20130830,2359,0.000,,35.6,23.3,,,0,0,,,31.7,28.9,,209,5.330,76.0,38.0
WINCHESTER.A,20130831,2359,0.000,,33.9,22.8,,,0,0,,,31.7,29.4,,172,4.061,80.0,43.0
WINCHESTER.A,20130901,2359,0.000,,35.6,21.7,,,0,0,,,32.2,28.9,,260,5.838,82.0,38.0
WINCHESTER.A,20130902,2359,0.000,,37.2,19.4,,,0,0,,,32.2,28.9,,248,5.838,86.0,26.0
