

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station FAIR_OAKS.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            0            0           13            0        "
"                     FAIR_OAKS.A  none         none         SACRMNTO.C   "
"Air Temps, max/min     702            0            0           29            0        "
"                     FAIR_OAKS.A  none         none         SACRMNTO.C   "
"Soil Temps, max/min    703            0            0            0           28        "
"                     FAIR_OAKS.A  none         none         none         "
"Rel. Humidity          711            0            0            0           20        "
"                     FAIR_OAKS.A  none         none         none         "
"ETo                    718            0            0            0           13        "
"                     FAIR_OAKS.A  none         none         none         "
"Solar Radiation        703            0            0           28            0        "
"                     FAIR_OAKS.A  none         none         DAVIS.A      "
"Wind Speed & Dir       710            0            0            0           21        "
"                     FAIR_OAKS.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
FAIR_OAKS.A,20130810,2359,0.000,,30.6,13.9,,,0,0,,,29.4,25.6,,281,5.330,89.0,35.0
FAIR_OAKS.A,20130811,2359,0.000,,32.8,13.3,,,0,0,,,30.0,26.1,,286,5.584,93.0,28.0
FAIR_OAKS.A,20130812,2359,0.000,,32.8,13.3,,,0,0,,,30.0,26.1,,291,5.838,85.0,23.0
FAIR_OAKS.A,20130813,2359,0.000,,35.0,12.8,,,0,0,,,30.0,26.1,,287,5.838,75.0,21.0
FAIR_OAKS.A,20130814,2359,0.000,,35.6,14.4,,,0,0,,,30.6,26.1,,293,6.091,70.0,22.0
FAIR_OAKS.A,20130815,2359,0.000,,35.0,14.4,,,0,0,,,30.6,26.7,,293,5.838,86.0,27.0
FAIR_OAKS.A,20130816,2359,0.000,,36.1,18.3,,,0,0,,,31.1,27.2,,289,6.091,81.0,26.0
FAIR_OAKS.A,20130817,2359,0.000,,35.6,16.7,,,0,0,,,31.1,27.2,,287,6.091,69.0,27.0
FAIR_OAKS.A,20130818,2359,0.000,,38.3,16.7,,,0,0,,,30.6,27.2,,231,4.822,82.0,25.0
FAIR_OAKS.A,20130819,2359,0.000,,38.9,21.7,,,0,0,,,30.6,27.8,,194,4.822,70.0,28.0
FAIR_OAKS.A,20130820,2359,0.000,,36.1,20.0,,,0,0,,,31.1,27.8,,259,5.584,67.0,36.0
FAIR_OAKS.A,20130821,2359,0.000,,32.8,16.7,,,0,0,,,30.6,27.8,,273,5.584,73.0,27.0
FAIR_OAKS.A,20130822,2359,0.000,,30.6,15.0,,,0,0,,,30.0,26.7,,277,5.330,79.0,31.0
FAIR_OAKS.A,20130823,2359,0.000,,32.8,13.3,,,0,0,,,30.0,26.1,,276,5.076,88.0,29.0
FAIR_OAKS.A,20130824,2359,0.000,,31.7,15.6,,,0,0,,,30.0,26.7,,272,5.584,77.0,31.0
FAIR_OAKS.A,20130825,2359,0.000,,30.6,16.1,,,0,0,,,29.4,26.7,,219,4.315,90.0,41.0
FAIR_OAKS.A,20130826,2359,0.000,,31.7,15.6,,,0,0,,,29.4,26.1,,271,5.076,88.0,24.0
FAIR_OAKS.A,20130827,2359,0.000,,33.9,13.9,,,0,0,,,30.0,26.1,,260,5.330,83.0,29.0
