

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 49% of requested data were available from station TWITCHELL_ISLAND.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          363            0            0          368            0        "
"                     TWITCHELL_ISûLAND.A       HASTINGS.A   ANTIOCH.C    ANTIOCH.C    "
"Air Temps, max/min     353            0            0          378            0        "
"                     TWITCHELL_ISûLAND.A       HASTINGS.A   ANTIOCH.C    ANTIOCH.C    "
"Soil Temps, max/min    363            0            0          368            0        "
"                     TWITCHELL_ISûLAND.A       HASTINGS.A   none         LODI.A       "
"Rel. Humidity          357            0            0            0          374        "
"                     TWITCHELL_ISûLAND.A       none         none         none         "
"ETo                    363            0            0            0          368        "
"                     TWITCHELL_ISûLAND.A       none         none         none         "
"Solar Radiation        352            0            0          379            0        "
"                     TWITCHELL_ISûLAND.A       HASTINGS.A   none         LODI.A       "
"Wind Speed & Dir       355            0            0            0          376        "
"                     TWITCHELL_ISûLAND.A       none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
TWITCHELL_ISLAND.A,20130810,2359,0.000,,33.3,14.4,,,,,,,22.8,21.1,,303,,,
TWITCHELL_ISLAND.A,20130811,2359,0.000,,33.3,14.4,,,,,,,22.8,21.1,,305,,,
TWITCHELL_ISLAND.A,20130812,2359,0.000,,33.3,15.0,,,,,,,23.3,21.1,,302,,,
TWITCHELL_ISLAND.A,20130813,2359,0.000,,32.8,15.6,,,,,,,23.3,21.1,,302,,,
TWITCHELL_ISLAND.A,20130814,2359,0.000,,31.7,15.0,,,,,,,23.3,21.1,,296,,,
TWITCHELL_ISLAND.A,20130815,2359,0.000,,32.2,15.0,,,,,,,22.8,21.1,,306,,,
TWITCHELL_ISLAND.A,20130816,2359,0.000,,32.8,14.4,,,,,,,22.8,21.1,,306,,,
TWITCHELL_ISLAND.A,20130817,2359,0.000,,31.1,14.4,,,,,,,22.8,20.6,,291,,,
TWITCHELL_ISLAND.A,20130818,2359,0.000,,31.1,14.4,,,,,,,22.8,20.6,,299,,,
TWITCHELL_ISLAND.A,20130819,2359,0.000,,31.1,14.4,,,,,,,22.2,20.6,,286,,,
TWITCHELL_ISLAND.A,20130820,2359,0.000,,31.1,14.4,,,,,,,22.2,20.6,,285,,,
TWITCHELL_ISLAND.A,20130821,2359,0.254,,31.1,14.4,,,,,,,22.8,20.6,,296,,,
TWITCHELL_ISLAND.A,20130822,2359,0.000,,31.7,14.4,,,,,,,22.8,20.6,,291,,,
TWITCHELL_ISLAND.A,20130823,2359,0.000,,32.2,14.4,,,,,,,22.8,20.6,,280,,,
TWITCHELL_ISLAND.A,20130824,2359,0.000,,32.8,13.9,,,,,,,22.8,20.6,,293,,,
TWITCHELL_ISLAND.A,20130825,2359,0.000,,31.7,14.4,,,,,,,22.2,20.6,,285,,,
TWITCHELL_ISLAND.A,20130826,2359,0.000,,31.7,14.4,,,,,,,22.2,20.6,,277,,,
TWITCHELL_ISLAND.A,20130827,2359,0.000,,32.2,15.0,,,,,,,22.2,20.6,,283,,,
TWITCHELL_ISLAND.A,20130828,2359,0.000,,32.8,15.0,,,,,,,22.2,20.6,,279,,,
TWITCHELL_ISLAND.A,20130829,2359,0.000,,31.7,15.0,,,,,,,22.2,20.6,,270,,,
TWITCHELL_ISLAND.A,20130830,2359,0.000,,31.7,15.0,,,,,,,22.2,20.6,,272,,,
TWITCHELL_ISLAND.A,20130831,2359,0.000,,32.2,14.4,,,,,,,22.2,20.6,,273,,,
TWITCHELL_ISLAND.A,20130901,2359,0.000,,32.8,15.6,,,,,,,22.8,20.6,,271,,,
TWITCHELL_ISLAND.A,20130902,2359,0.000,,32.8,15.0,,,,,,,22.2,20.6,,258,,,
TWITCHELL_ISLAND.A,20130903,2359,0.000,,31.7,14.4,,,,,,,22.2,20.6,,267,,,
TWITCHELL_ISLAND.A,20130904,2359,0.000,,32.2,14.4,,,,,,,22.2,20.0,,266,,,
TWITCHELL_ISLAND.A,20130905,2359,0.000,,32.8,15.0,,,,,,,22.8,20.6,,258,,,
TWITCHELL_ISLAND.A,20130906,2359,0.000,,31.7,15.0,,,,,,,22.8,20.6,,255,,,
TWITCHELL_ISLAND.A,20130907,2359,0.000,,31.1,14.4,,,,,,,22.2,20.0,,258,,,
TWITCHELL_ISLAND.A,20130908,2359,0.000,,30.6,13.9,,,,,,,22.2,20.0,,246,,,
TWITCHELL_ISLAND.A,20130909,2359,0.254,,30.0,13.9,,,,,,,22.2,20.0,,242,,,
TWITCHELL_ISLAND.A,20130910,2359,0.000,,30.6,13.3,,,,,,,21.7,20.0,,257,,,
TWITCHELL_ISLAND.A,20130911,2359,0.000,,30.0,13.3,,,,,,,21.7,19.4,,254,,,
TWITCHELL_ISLAND.A,20130912,2359,0.000,,28.3,16.7,,,W,4,,,21.7,20.6,,245,4.822,87.7,47.1
TWITCHELL_ISLAND.A,20130913,2359,0.000,,30.0,15.0,,,W,4,,,21.7,20.6,,242,5.330,85.2,39.0
TWITCHELL_ISLAND.A,20130914,2359,0.000,,26.7,13.9,,,W,4,,,21.7,20.6,,248,4.822,,
TWITCHELL_ISLAND.A,20130915,2359,0.000,,27.8,14.4,,,W,5,,,21.1,20.6,,253,0.254,,
TWITCHELL_ISLAND.A,20130916,2359,0.000,,30.0,15.6,,,W,3,,,21.7,20.6,,250,4.822,87.1,34.2
TWITCHELL_ISLAND.A,20130917,2359,0.254,,29.4,13.9,,,,,,,21.1,18.9,,225,,,
TWITCHELL_ISLAND.A,20130918,2359,0.254,,29.4,14.4,,,,,,,21.1,19.4,,232,,,
TWITCHELL_ISLAND.A,20130919,2359,0.761,,29.4,13.3,,,,,,,21.1,19.4,,227,,,
TWITCHELL_ISLAND.A,20130920,2359,0.000,,30.0,13.9,,,,,,,21.7,19.4,,237,,,
TWITCHELL_ISLAND.A,20130921,2359,0.000,,30.6,13.3,,,,,,,21.7,19.4,,235,,,
TWITCHELL_ISLAND.A,20130922,2359,0.254,,30.0,13.3,,,,,,,21.7,19.4,,226,,,
TWITCHELL_ISLAND.A,20130923,2359,0.000,,28.9,13.9,,,,,,,21.1,19.4,,212,,,
TWITCHELL_ISLAND.A,20130924,2359,0.761,,29.4,13.9,,,,,,,21.1,19.4,,215,,,
TWITCHELL_ISLAND.A,20130925,2359,0.254,,28.9,13.9,,,,,,,21.1,19.4,,201,,,
TWITCHELL_ISLAND.A,20130926,2359,0.254,,28.9,13.3,,,,,,,21.1,19.4,,215,,,
TWITCHELL_ISLAND.A,20130927,2359,0.508,,28.3,13.9,,,,,,,20.6,18.9,,212,,,
TWITCHELL_ISLAND.A,20130928,2359,0.000,,28.3,13.3,,,,,,,20.6,18.9,,206,,,
TWITCHELL_ISLAND.A,20130929,2359,0.508,,28.9,13.9,,,,,,,20.6,18.9,,209,,,
TWITCHELL_ISLAND.A,20130930,2359,0.508,,27.8,13.3,,,,,,,20.6,18.9,,205,,,
TWITCHELL_ISLAND.A,20131001,2359,0.000,,27.2,13.3,,,,,,,20.0,18.9,,200,,,
TWITCHELL_ISLAND.A,20131002,2359,0.000,,27.2,12.8,,,,,,,20.0,18.9,,195,,,
TWITCHELL_ISLAND.A,20131003,2359,0.254,,26.7,12.8,,,,,,,20.0,18.3,,206,,,
TWITCHELL_ISLAND.A,20131004,2359,0.000,,26.7,12.8,,,,,,,19.4,18.3,,187,,,
TWITCHELL_ISLAND.A,20131005,2359,0.508,,26.7,12.8,,,,,,,19.4,17.8,,195,,,
TWITCHELL_ISLAND.A,20131006,2359,0.000,,27.2,12.2,,,,,,,19.4,17.8,,194,,,
TWITCHELL_ISLAND.A,20131007,2359,0.000,,27.2,12.8,,,,,,,19.4,17.8,,197,,,
TWITCHELL_ISLAND.A,20131008,2359,0.000,,27.2,12.8,,,,,,,18.9,17.8,,193,,,
TWITCHELL_ISLAND.A,20131009,2359,0.254,,26.7,12.2,,,,,,,19.4,17.8,,179,,,
TWITCHELL_ISLAND.A,20131010,2359,0.254,,26.1,12.2,,,,,,,18.9,17.8,,177,,,
TWITCHELL_ISLAND.A,20131011,2359,0.761,,26.7,11.7,,,,,,,18.9,17.2,,177,,,
TWITCHELL_ISLAND.A,20131012,2359,0.000,,26.1,11.1,,,,,,,18.3,17.2,,183,,,
TWITCHELL_ISLAND.A,20131013,2359,0.000,,26.7,12.2,,,,,,,18.3,16.7,,177,,,
TWITCHELL_ISLAND.A,20131014,2359,0.000,,26.1,11.7,,,,,,,18.3,16.7,,178,,,
TWITCHELL_ISLAND.A,20131015,2359,0.254,,25.6,11.1,,,,,,,17.8,16.7,,182,,,
TWITCHELL_ISLAND.A,20131016,2359,0.000,,24.4,10.6,,,,,,,17.8,16.7,,168,,,
TWITCHELL_ISLAND.A,20131017,2359,0.761,,25.0,10.6,,,,,,,17.8,16.1,,178,,,
TWITCHELL_ISLAND.A,20131018,2359,0.000,,25.0,10.0,,,,,,,17.2,15.6,,161,,,
TWITCHELL_ISLAND.A,20131019,2359,1.777,,24.4,10.6,,,,,,,17.2,16.1,,178,,,
TWITCHELL_ISLAND.A,20131020,2359,0.000,,24.4,10.6,,,,,,,17.2,15.6,,160,,,
TWITCHELL_ISLAND.A,20131021,2359,0.508,,24.4,11.1,,,,,,,17.2,15.6,,152,,,
