

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station Big_Bear_Lake.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          715            5            0           11            0        "
"                     Big_Bear_Lakûe.A          VICTRVIL.A   Lake_Arrowheûad.A         ARROWHD.C    "
"Air Temps, max/min     677           40            0           14            0        "
"                     Big_Bear_Lakûe.A          VICTRVIL.A   Lake_Arrowheûad.A         ARROWHD.C    "
"Soil Temps, max/min    696            0            0            0           35        "
"                     Big_Bear_Lakûe.A          none         none         none         "
"Rel. Humidity          689            0            0            0           42        "
"                     Big_Bear_Lakûe.A          none         none         none         "
"ETo                    718            0            0            0           13        "
"                     Big_Bear_Lakûe.A          none         none         none         "
"Solar Radiation        706           13            1            0           11        "
"                     Big_Bear_Lakûe.A          VICTRVIL.A   Lake_Arrowheûad.A         BRAWLEY.C    "
"Wind Speed & Dir       710            0            0            0           21        "
"                     Big_Bear_Lakûe.A          none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Big_Bear_Lake.A,20130810,2359,0.000,,23.3,1.7,,,0,0,,,18.3,15.0,,327,5.584,,
Big_Bear_Lake.A,20130811,2359,0.000,,23.9,2.2,,,0,0,,,17.8,14.4,,325,5.584,58.0,18.0
Big_Bear_Lake.A,20130812,2359,0.000,,25.0,2.8,,,0,0,,,18.3,15.0,,323,5.584,59.0,16.0
Big_Bear_Lake.A,20130813,2359,0.000,,25.0,3.3,,,0,0,,,17.8,15.0,,323,5.584,59.0,15.0
Big_Bear_Lake.A,20130814,2359,0.000,,27.2,3.3,,,0,0,,,18.3,15.0,,323,5.584,52.0,11.0
Big_Bear_Lake.A,20130815,2359,0.000,,35.6,17.2,,,0,0,,,,,,305,5.838,61.0,23.0
Big_Bear_Lake.A,20130816,2359,0.508,,28.3,8.9,,,0,0,,,20.0,16.7,,296,5.584,70.0,28.0
Big_Bear_Lake.A,20130817,2359,0.254,,28.3,8.9,,,0,0,,,20.0,16.7,,309,5.838,64.0,24.0
Big_Bear_Lake.A,20130818,2359,1.777,,26.1,10.6,,,0,0,,,19.4,17.8,,220,4.569,,
Big_Bear_Lake.A,20130819,2359,0.254,,24.4,9.4,,,0,0,,,19.4,17.8,,183,3.300,82.0,33.0
Big_Bear_Lake.A,20130820,2359,0.000,,26.7,8.9,,,0,0,,,20.0,17.2,,280,5.330,75.0,19.0
Big_Bear_Lake.A,20130821,2359,0.000,,26.1,8.9,,,0,0,,,20.0,17.2,,310,5.584,62.0,20.0
Big_Bear_Lake.A,20130822,2359,0.000,,26.1,8.3,,,0,0,,,20.0,17.2,,269,5.076,73.0,24.0
Big_Bear_Lake.A,20130823,2359,0.000,,25.0,7.8,,,0,0,,,19.4,16.7,,301,5.584,73.0,21.0
Big_Bear_Lake.A,20130824,2359,0.000,,24.4,6.7,,,0,0,,,18.9,16.1,,302,5.584,71.0,18.0
Big_Bear_Lake.A,20130825,2359,0.000,,23.3,5.0,,,0,0,,,19.4,16.1,,301,5.330,,
Big_Bear_Lake.A,20130826,2359,1.523,,26.7,18.9,,,0,0,,,17.8,16.7,,79,5.076,,
Big_Bear_Lake.A,20130827,2359,0.000,,22.8,7.2,,,0,0,,,18.9,16.1,,252,4.061,90.0,47.0
Big_Bear_Lake.A,20130828,2359,0.000,,25.0,7.8,,,0,0,,,18.9,16.7,,232,3.807,84.0,41.0
Big_Bear_Lake.A,20130829,2359,0.000,,22.2,8.9,,,0,0,,,18.3,16.7,,101,3.046,,
Big_Bear_Lake.A,20130830,2359,0.000,,32.2,21.7,,,0,0,,,17.8,16.7,,73,4.569,,
Big_Bear_Lake.A,20130831,2359,0.000,,30.6,23.3,,,0,0,,,18.9,17.2,,175,4.315,,
Big_Bear_Lake.A,20130901,2359,0.000,,25.0,9.4,,,0,0,,,20.0,17.2,,281,4.822,90.0,32.0
Big_Bear_Lake.A,20130902,2359,1.777,,23.9,8.3,,,0,0,,,18.9,17.2,,173,2.792,84.0,36.0
