

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 82% of requested data were available from station ESCONDIDO_SPV.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          606            0            0          125            0        "
"                     ESCONDIDO_SPûV.A          none         ESCNDIDO.A   VISTA.C      "
"Air Temps, max/min     580            0            0          151            0        "
"                     ESCONDIDO_SPûV.A          none         ESCNDIDO.A   ESCNDIDO.A   "
"Soil Temps, max/min    603            0            0            0          128        "
"                     ESCONDIDO_SPûV.A          none         ESCNDIDO.A   ESCNDIDO.A   "
"Rel. Humidity          600            0            0            0          131        "
"                     ESCONDIDO_SPûV.A          none         none         none         "
"ETo                    611            0            0            0          120        "
"                     ESCONDIDO_SPûV.A          none         none         none         "
"Solar Radiation        599            0            0            0          132        "
"                     ESCONDIDO_SPûV.A          none         ESCNDIDO.A   ESCNDIDO.A   "
"Wind Speed & Dir       611            0            0            0          120        "
"                     ESCONDIDO_SPûV.A          none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
ESCONDIDO_SPV.A,20130810,2359,0.000,,26.1,8.3,,,0,0,,,25.6,23.3,,282,4.822,96.0,50.0
ESCONDIDO_SPV.A,20130811,2359,0.000,,28.3,7.2,,,0,0,,,25.0,22.8,,307,5.584,96.0,49.0
ESCONDIDO_SPV.A,20130812,2359,0.000,,30.0,10.6,,,0,0,,,25.6,23.3,,298,5.584,95.0,43.0
ESCONDIDO_SPV.A,20130813,2359,0.000,,31.7,12.2,,,0,0,,,26.1,23.3,,292,5.584,94.0,39.0
ESCONDIDO_SPV.A,20130814,2359,0.000,,31.7,12.8,,,0,0,,,26.1,23.9,,286,5.584,95.0,41.0
ESCONDIDO_SPV.A,20130815,2359,0.000,,33.3,11.7,,,0,0,,,26.1,23.9,,291,5.584,95.0,36.0
ESCONDIDO_SPV.A,20130816,2359,0.000,,32.8,13.3,,,0,0,,,26.7,24.4,,286,5.584,94.0,31.0
ESCONDIDO_SPV.A,20130817,2359,0.000,,33.3,13.9,,,0,0,,,26.1,24.4,,289,5.330,93.0,34.0
ESCONDIDO_SPV.A,20130818,2359,0.000,,30.6,13.3,,,0,0,,,26.1,23.9,,283,5.330,97.0,46.0
ESCONDIDO_SPV.A,20130819,2359,0.000,,30.6,13.9,,,0,0,,,23.9,20.6,,268,4.822,98.0,46.0
ESCONDIDO_SPV.A,20130820,2359,0.000,,31.1,13.3,,,0,0,,,24.4,22.2,,287,5.584,95.0,41.0
ESCONDIDO_SPV.A,20130821,2359,0.000,,32.8,11.7,,,0,0,,,25.0,22.8,,289,5.584,96.0,38.0
ESCONDIDO_SPV.A,20130822,2359,0.000,,33.9,13.9,,,0,0,,,25.0,22.8,,274,5.584,92.0,27.0
ESCONDIDO_SPV.A,20130823,2359,0.000,,33.3,12.8,,,0,0,,,25.0,23.3,,269,5.330,92.0,32.0
ESCONDIDO_SPV.A,20130824,2359,0.000,,32.2,12.2,,,0,0,,,24.4,22.8,,259,4.569,96.0,34.0
ESCONDIDO_SPV.A,20130825,2359,0.000,,32.2,13.3,,,0,0,,,24.4,23.3,,267,5.330,95.0,40.0
ESCONDIDO_SPV.A,20130826,2359,0.000,,31.7,19.4,,,0,0,,,25.0,23.9,,136,2.284,80.0,52.0
ESCONDIDO_SPV.A,20130827,2359,0.000,,31.7,17.2,,,0,0,,,25.6,23.9,,273,5.076,85.0,40.0
