

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station MIRAMAR.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            0            0           11            0        "
"                     MIRAMAR.A    SAN_DIEGO.A  none         VISTA.C      "
"Air Temps, max/min     685           20            0           26            0        "
"                     MIRAMAR.A    SAN_DIEGO.A  none         SN_DIEGO.A   "
"Soil Temps, max/min    707           12            0            0           12        "
"                     MIRAMAR.A    SAN_DIEGO.A  none         none         "
"Rel. Humidity          707            0            0            0           24        "
"                     MIRAMAR.A    none         none         none         "
"ETo                    720            0            0            0           11        "
"                     MIRAMAR.A    none         none         none         "
"Solar Radiation        703           11            0           17            0        "
"                     MIRAMAR.A    SAN_DIEGO.A  none         SN_DIEGO.A   "
"Wind Speed & Dir       712            0            0            0           19        "
"                     MIRAMAR.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
MIRAMAR.A,20130810,2359,0.000,,23.3,13.3,,,0,0,,,25.0,21.1,,289,4.822,98.0,61.0
MIRAMAR.A,20130811,2359,0.000,,24.4,14.4,,,0,0,,,25.6,21.1,,295,4.822,97.0,63.0
MIRAMAR.A,20130812,2359,0.000,,24.4,15.6,,,0,0,,,25.6,21.7,,293,4.822,97.0,65.0
MIRAMAR.A,20130813,2359,0.000,,24.4,16.1,,,0,0,,,26.1,22.2,,303,5.076,96.0,67.0
MIRAMAR.A,20130814,2359,0.000,,25.0,16.7,,,0,0,,,26.1,22.2,,293,5.076,97.0,66.0
MIRAMAR.A,20130815,2359,0.000,,26.7,16.1,,,0,0,,,26.1,22.2,,297,5.076,99.0,64.0
MIRAMAR.A,20130816,2359,0.000,,28.3,16.1,,,0,0,,,26.1,22.2,,297,5.330,98.0,51.0
MIRAMAR.A,20130817,2359,0.000,,27.2,16.7,,,0,0,,,26.1,22.2,,298,5.330,100.0,61.0
MIRAMAR.A,20130818,2359,0.000,,26.1,16.7,,,0,0,,,25.6,22.2,,266,4.569,99.0,62.0
MIRAMAR.A,20130819,2359,1.015,,25.0,17.2,,,0,0,,,25.0,22.8,,222,3.807,98.0,66.0
MIRAMAR.A,20130820,2359,0.000,,25.0,16.7,,,0,0,,,25.0,22.2,,255,4.315,98.0,68.0
MIRAMAR.A,20130821,2359,0.000,,27.2,17.2,,,0,0,,,25.6,22.2,,291,5.330,99.0,61.0
MIRAMAR.A,20130822,2359,0.000,,28.3,17.2,,,0,0,,,25.0,21.7,,288,5.584,97.0,46.0
MIRAMAR.A,20130823,2359,0.000,,28.9,17.2,,,0,0,,,25.0,21.7,,278,5.076,99.0,49.0
MIRAMAR.A,20130824,2359,0.000,,26.1,17.2,,,0,0,,,25.6,22.2,,295,5.076,100.0,62.0
MIRAMAR.A,20130825,2359,0.000,,28.9,16.1,,,0,0,,,25.6,22.2,,266,4.822,100.0,42.0
MIRAMAR.A,20130826,2359,0.000,,28.9,19.4,,,0,0,,,25.0,22.8,,161,3.046,87.0,47.0
MIRAMAR.A,20130827,2359,0.000,,28.9,18.9,,,0,0,,,27.2,22.2,,285,5.330,96.0,41.0
MIRAMAR.A,20130828,2359,0.000,,30.6,18.9,,,0,0,,,27.8,22.8,,278,5.584,92.0,43.0
