

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station OTAY_LAKE.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            3            0           10            0        "
"                     OTAY_LAKE.A  SAN_DIEGO.A  none         VISTA.C      "
"Air Temps, max/min     686           20            0           25            0        "
"                     OTAY_LAKE.A  SAN_DIEGO.A  none         SN_DIEGO.A   "
"Soil Temps, max/min    715            5            0            0           11        "
"                     OTAY_LAKE.A  SAN_DIEGO.A  none         none         "
"Rel. Humidity          673            0            0            0           58        "
"                     OTAY_LAKE.A  none         none         none         "
"ETo                    718            0            0            0           13        "
"                     OTAY_LAKE.A  none         none         none         "
"Solar Radiation        706            9            0           16            0        "
"                     OTAY_LAKE.A  SAN_DIEGO.A  none         SN_DIEGO.A   "
"Wind Speed & Dir       710            0            0            0           21        "
"                     OTAY_LAKE.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
OTAY_LAKE.A,20130810,2359,0.000,,23.3,13.3,,,0,0,,,23.3,22.2,,286,4.822,94.0,60.0
OTAY_LAKE.A,20130811,2359,0.000,,24.4,12.8,,,0,0,,,23.3,22.2,,295,5.076,97.0,60.0
OTAY_LAKE.A,20130812,2359,0.000,,24.4,15.0,,,0,0,,,23.3,22.2,,293,5.076,95.0,64.0
OTAY_LAKE.A,20130813,2359,0.000,,24.4,14.4,,,0,0,,,23.3,22.2,,285,4.822,97.0,63.0
OTAY_LAKE.A,20130814,2359,0.000,,25.6,15.0,,,0,0,,,23.3,22.2,,282,4.822,96.0,61.0
OTAY_LAKE.A,20130815,2359,0.000,,25.6,15.0,,,0,0,,,23.9,22.8,,288,5.076,97.0,58.0
OTAY_LAKE.A,20130816,2359,0.000,,27.2,15.0,,,0,0,,,23.9,22.8,,292,5.330,96.0,50.0
OTAY_LAKE.A,20130817,2359,0.000,,28.3,15.6,,,0,0,,,23.9,22.8,,291,5.330,98.0,56.0
OTAY_LAKE.A,20130818,2359,0.000,,25.0,15.0,,,0,0,,,23.9,22.8,,262,4.569,97.0,61.0
OTAY_LAKE.A,20130819,2359,0.000,,25.6,15.6,,,0,0,,,23.3,22.8,,261,4.569,97.0,62.0
OTAY_LAKE.A,20130820,2359,0.000,,28.3,16.1,,,0,0,,,23.9,22.8,,275,5.076,98.0,54.0
OTAY_LAKE.A,20130821,2359,0.000,,29.4,15.0,,,0,0,,,23.9,22.8,,287,5.330,98.0,51.0
OTAY_LAKE.A,20130822,2359,0.000,,31.1,16.7,,,0,0,,,23.9,22.8,,283,5.584,95.0,42.0
OTAY_LAKE.A,20130823,2359,0.000,,28.9,16.1,,,0,0,,,23.9,22.8,,274,5.076,97.0,49.0
OTAY_LAKE.A,20130824,2359,0.000,,27.2,16.1,,,0,0,,,23.9,23.3,,277,5.076,98.0,56.0
OTAY_LAKE.A,20130825,2359,0.000,,29.4,15.6,,,0,0,,,23.9,23.3,,274,5.330,91.0,38.0
OTAY_LAKE.A,20130826,2359,0.000,,29.4,18.3,,,0,0,,,23.9,23.3,,135,2.538,94.0,55.0
OTAY_LAKE.A,20130827,2359,0.000,,30.0,17.8,,,0,0,,,23.9,23.3,,279,5.330,95.0,43.0
OTAY_LAKE.A,20130828,2359,0.000,,32.2,17.8,,,0,0,,,24.4,23.3,,275,5.584,94.0,43.0
