

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 79% of requested data were available from station LODI_WEST.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          580            0          141           10            0        "
"                     LODI_WEST.A  none         MANTECA.A    LODI.C       "
"Air Temps, max/min     575          137            0           19            0        "
"                     LODI_WEST.A  MANTECA.A    none         LODI.C       "
"Soil Temps, max/min    566          153            0           12            0        "
"                     LODI_WEST.A  MANTECA.A    none         LODI.A       "
"Rel. Humidity          574            0            0            0          157        "
"                     LODI_WEST.A  none         none         none         "
"ETo                    581            0            0            0          150        "
"                     LODI_WEST.A  none         none         none         "
"Solar Radiation        576          135            0           20            0        "
"                     LODI_WEST.A  MANTECA.A    none         LODI.A       "
"Wind Speed & Dir       573            0            0            0          158        "
"                     LODI_WEST.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
LODI_WEST.A,20130810,2359,0.000,,27.8,12.8,,,0,0,,,21.1,19.4,,310,5.584,92.0,47.0
LODI_WEST.A,20130811,2359,0.000,,29.4,10.6,,,0,0,,,21.1,19.4,,312,5.584,95.0,41.0
LODI_WEST.A,20130812,2359,0.000,,31.1,11.1,,,0,0,,,21.1,19.4,,315,5.584,89.0,31.0
LODI_WEST.A,20130813,2359,0.000,,33.9,10.0,,,0,0,,,21.1,18.9,,318,5.838,91.0,26.0
LODI_WEST.A,20130814,2359,0.000,,32.8,11.1,,,0,0,,,20.6,18.9,,319,5.838,86.0,33.0
LODI_WEST.A,20130815,2359,0.000,,32.8,11.7,,,0,0,,,21.1,18.9,,314,6.091,93.0,34.0
LODI_WEST.A,20130816,2359,0.000,,33.9,14.4,,,0,0,,,21.7,19.4,,309,6.091,92.0,35.0
LODI_WEST.A,20130817,2359,0.000,,31.7,13.9,,,0,0,,,21.1,19.4,,239,4.822,87.0,40.0
LODI_WEST.A,20130818,2359,0.000,,36.1,14.4,,,0,0,,,21.7,20.0,,266,5.076,88.0,30.0
LODI_WEST.A,20130819,2359,0.000,,37.8,17.2,,,0,0,,,22.2,20.6,,275,6.091,88.0,30.0
LODI_WEST.A,20130820,2359,0.000,,32.2,17.2,,,0,0,,,22.2,21.1,,283,5.838,79.0,34.0
LODI_WEST.A,20130821,2359,0.000,,30.6,13.3,,,0,0,,,21.7,20.0,,293,5.584,89.0,33.0
LODI_WEST.A,20130822,2359,0.000,,27.8,11.1,,,0,0,,,21.1,19.4,,292,5.330,92.0,40.0
LODI_WEST.A,20130823,2359,0.000,,30.6,12.2,,,0,0,,,21.1,19.4,,297,5.330,92.0,35.0
LODI_WEST.A,20130824,2359,0.000,,30.0,11.7,,,0,0,,,21.1,19.4,,284,5.584,87.0,37.0
LODI_WEST.A,20130825,2359,0.000,,30.6,15.0,,,0,0,,,22.2,20.0,,273,5.076,91.0,44.0
LODI_WEST.A,20130826,2359,0.000,,30.0,13.3,,,0,0,,,22.2,20.0,,291,5.330,93.0,35.0
LODI_WEST.A,20130827,2359,0.000,,33.3,11.1,,,0,0,,,22.2,19.4,,285,5.838,90.0,28.0
LODI_WEST.A,20130828,2359,0.000,,31.7,13.9,,,0,0,,,26.1,20.0,,285,5.584,88.0,36.0
LODI_WEST.A,20130829,2359,0.000,,31.1,14.4,,,0,0,,,23.9,22.8,,287,5.330,93.0,38.0
LODI_WEST.A,20130830,2359,0.000,,35.0,13.3,,,0,0,,,23.9,21.7,,290,5.584,92.0,31.0
LODI_WEST.A,20130831,2359,0.000,,32.8,12.8,,,0,0,,,23.3,21.1,,275,5.584,88.0,31.0
LODI_WEST.A,20130901,2359,0.000,,32.2,14.4,,,0,0,,,22.8,21.1,,238,5.076,88.0,35.0
LODI_WEST.A,20130902,2359,3.046,,27.8,18.3,,,0,0,,,22.8,21.7,,131,2.284,86.0,49.0
LODI_WEST.A,20130903,2359,0.000,,28.3,13.9,,,0,0,,,22.8,21.1,,278,5.330,89.0,33.0
LODI_WEST.A,20130904,2359,0.000,,29.4,12.8,,,0,0,,,22.2,20.0,,275,5.076,90.0,31.0
LODI_WEST.A,20130905,2359,0.000,,29.4,11.7,,,0,0,,,21.7,19.4,,280,5.076,91.0,32.0
LODI_WEST.A,20130906,2359,0.000,,31.7,12.8,,,0,0,,,21.7,18.9,,268,5.330,94.0,26.0
LODI_WEST.A,20130907,2359,0.000,,35.0,11.1,,,0,0,,,21.7,18.9,,283,5.076,88.0,23.0
LODI_WEST.A,20130908,2359,0.000,,35.6,13.3,,,0,0,,,21.7,19.4,,276,5.330,87.0,25.0
LODI_WEST.A,20130909,2359,0.000,,36.7,12.8,,,0,0,,,21.7,19.4,,264,5.330,84.0,26.0
LODI_WEST.A,20130910,2359,0.000,,30.0,14.4,,,0,0,,,21.7,20.0,,263,4.822,86.0,41.0
LODI_WEST.A,20130911,2359,0.000,,25.6,15.6,,,0,0,,,21.1,20.0,,233,4.061,88.0,52.0
LODI_WEST.A,20130912,2359,0.000,,29.4,15.6,,,0,0,,,21.1,20.0,,245,4.315,91.0,45.0
LODI_WEST.A,20130913,2359,0.000,,31.7,13.3,,,W,1,,,21.1,19.4,,254,4.569,92.5,38.9
LODI_WEST.A,20130914,2359,0.000,,28.3,11.1,,,W,1,,,20.6,18.9,,260,4.315,90.0,44.0
LODI_WEST.A,20130915,2359,0.000,,28.3,8.3,,,W,2,,,20.0,18.3,,264,0.254,,
LODI_WEST.A,20130916,2359,0.000,,30.0,10.6,,,W,1,,,20.0,18.9,,261,4.569,94.0,34.1
LODI_WEST.A,20130917,2359,0.000,,26.7,11.7,,,0,0,,,19.4,18.3,,258,4.569,91.0,41.0
LODI_WEST.A,20130918,2359,0.000,,28.9,10.6,,,0,0,,,22.8,18.3,,255,5.076,87.0,26.0
LODI_WEST.A,20130919,2359,0.000,,31.1,7.2,,,0,0,,,18.9,17.2,,257,4.315,90.0,27.0
LODI_WEST.A,20130920,2359,0.000,,26.1,9.4,,,0,0,,,18.9,17.2,,249,4.315,89.0,48.0
LODI_WEST.A,20130921,2359,8.122,,21.7,11.7,,,0,0,,,18.9,18.3,,77,1.015,94.0,62.0
LODI_WEST.A,20130922,2359,0.000,,22.8,9.4,,,0,0,,,18.3,17.2,,180,2.538,96.0,51.0
LODI_WEST.A,20130923,2359,0.000,,27.8,8.9,,,0,0,,,18.9,16.7,,249,4.061,95.0,39.0
LODI_WEST.A,20130924,2359,0.000,,26.1,12.8,,,0,0,,,18.9,17.2,,240,4.315,92.0,36.0
LODI_WEST.A,20130925,2359,0.000,,22.8,12.2,,,0,0,,,18.3,17.2,,244,4.061,78.0,33.0
LODI_WEST.A,20130926,2359,0.000,,23.3,10.6,,,0,0,,,19.4,16.7,,248,5.076,63.0,26.0
LODI_WEST.A,20130927,2359,0.000,,26.1,10.0,,,0,0,,,19.4,17.2,,246,4.315,68.0,21.0
LODI_WEST.A,20130928,2359,0.000,,29.4,5.6,,,0,0,,,19.4,16.1,,236,4.061,87.0,18.0
LODI_WEST.A,20130929,2359,0.000,,26.7,12.2,,,0,0,,,20.6,18.3,,218,3.553,88.0,46.0
LODI_WEST.A,20130930,2359,0.000,,25.6,11.7,,,0,0,,,21.1,18.9,,176,3.046,94.0,52.0
LODI_WEST.A,20131001,2359,0.000,,25.0,8.3,,,0,0,,,20.6,18.3,,220,3.553,87.0,41.0
LODI_WEST.A,20131002,2359,0.000,,26.1,10.6,,,0,0,,,19.4,17.8,,224,3.807,87.0,29.0
LODI_WEST.A,20131003,2359,0.000,,23.3,9.4,,,0,0,,,18.9,17.2,,224,5.838,67.0,23.0
LODI_WEST.A,20131004,2359,0.000,,27.2,8.9,,,0,0,,,18.9,17.2,,230,4.822,63.0,19.0
LODI_WEST.A,20131005,2359,0.000,,28.9,3.3,,,0,0,,,18.9,16.1,,227,3.300,84.0,18.0
LODI_WEST.A,20131006,2359,0.000,,30.0,4.4,,,0,0,,,18.3,16.1,,207,3.300,91.0,16.0
LODI_WEST.A,20131007,2359,0.000,,28.9,6.1,,,0,0,,,18.3,16.1,,216,3.807,87.0,19.0
LODI_WEST.A,20131008,2359,0.000,,25.0,5.0,,,0,0,,,17.8,16.1,,197,3.553,86.0,24.0
LODI_WEST.A,20131009,2359,0.000,,22.8,9.4,,,0,0,,,17.8,16.1,,198,3.300,74.0,31.0
LODI_WEST.A,20131010,2359,0.000,,23.9,7.2,,,0,0,,,17.8,16.1,,199,3.046,86.0,31.0
LODI_WEST.A,20131011,2359,0.000,,23.9,4.4,,,0,0,,,17.2,15.6,,203,3.046,94.0,38.0
LODI_WEST.A,20131012,2359,0.000,,25.0,3.9,,,0,0,,,18.9,15.0,,200,3.046,92.0,34.0
LODI_WEST.A,20131013,2359,0.000,,23.9,7.8,,,0,0,,,17.8,16.1,,202,3.553,89.0,31.0
LODI_WEST.A,20131014,2359,0.000,,26.7,8.9,,,0,0,,,16.7,15.0,,202,3.300,88.0,27.0
LODI_WEST.A,20131015,2359,0.000,,26.1,3.3,,,0,0,,,20.6,14.4,,201,3.300,88.0,24.0
LODI_WEST.A,20131016,2359,0.000,,25.6,8.3,,,0,0,,,18.3,16.7,,195,3.046,88.0,23.0
LODI_WEST.A,20131017,2359,0.000,,26.7,3.9,,,0,0,,,17.8,16.1,,194,3.046,91.0,24.0
LODI_WEST.A,20131018,2359,0.000,,25.6,7.8,,,0,0,,,17.8,16.1,,193,3.046,86.0,23.0
LODI_WEST.A,20131019,2359,0.000,,25.0,8.9,,,0,0,,,17.2,14.4,,190,2.792,92.0,26.0
LODI_WEST.A,20131020,2359,0.000,,24.4,8.3,,,0,0,,,16.1,13.9,,190,3.046,93.0,25.0
LODI_WEST.A,20131021,2359,0.000,,25.0,8.3,,,0,0,,,15.6,12.8,,182,2.538,92.0,30.0
LODI_WEST.A,20131022,2359,0.000,,27.8,5.0,,,0,0,,,15.0,12.8,,182,2.792,94.0,31.0
LODI_WEST.A,20131023,2359,0.000,,27.2,3.3,,,0,0,,,14.4,12.2,,179,2.792,92.0,31.0
LODI_WEST.A,20131024,2359,0.000,,20.0,5.0,,,0,0,,,13.9,12.2,,175,2.538,93.0,50.0
LODI_WEST.A,20131025,2359,0.000,,23.9,6.7,,,0,0,,,13.3,11.7,,169,2.284,93.0,44.0
LODI_WEST.A,20131026,2359,0.000,,25.6,3.3,,,0,0,,,13.3,11.1,,173,2.538,93.0,37.0
LODI_WEST.A,20131027,2359,0.000,,23.3,3.9,,,0,0,,,13.3,11.1,,168,2.792,91.0,40.0
LODI_WEST.A,20131028,2359,0.000,,18.9,8.3,,,0,0,,,13.3,11.7,,139,2.031,82.0,38.0
LODI_WEST.A,20131029,2359,0.000,,17.8,5.6,,,0,0,,,12.8,11.1,,118,1.523,92.0,53.0
LODI_WEST.A,20131030,2359,0.000,,19.4,2.2,,,0,0,,,12.2,10.6,,156,2.031,94.0,48.0
LODI_WEST.A,20131031,2359,0.000,,21.7,1.7,,,0,0,,,12.2,10.0,,161,2.031,93.0,40.0
LODI_WEST.A,20131101,2359,0.000,,25.6,1.7,,,0,0,,,12.2,10.0,,158,2.284,93.0,34.0
