

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 98% of requested data were available from station MANTECA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            1            0           10            0        "
"                     MANTECA.A    TRACY.A      MODESTO.A    MANTECA.A    "
"Air Temps, max/min     713            1            0           17            0        "
"                     MANTECA.A    TRACY.A      MODESTO.A    MANTECA.A    "
"Soil Temps, max/min    720            1            0           10            0        "
"                     MANTECA.A    TRACY.A      MODESTO.A    LODI.A       "
"Rel. Humidity          706            0            0            0           25        "
"                     MANTECA.A    none         none         none         "
"ETo                    720            0            0            0           11        "
"                     MANTECA.A    none         none         none         "
"Solar Radiation        711            6            0           14            0        "
"                     MANTECA.A    TRACY.A      MODESTO.A    MANTECA.A    "
"Wind Speed & Dir       712            0            0            0           19        "
"                     MANTECA.A    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
MANTECA.A,20130810,2359,0.000,,29.4,12.8,,,0,0,,,22.8,21.7,,307,5.584,97.0,43.0
MANTECA.A,20130811,2359,0.000,,30.6,12.2,,,0,0,,,23.3,21.7,,305,5.838,97.0,39.0
MANTECA.A,20130812,2359,0.000,,31.7,12.8,,,0,0,,,23.3,21.7,,308,6.091,89.0,32.0
MANTECA.A,20130813,2359,0.000,,34.4,11.7,,,0,0,,,23.3,21.7,,311,6.345,91.0,20.0
MANTECA.A,20130814,2359,0.000,,33.9,12.8,,,0,0,,,23.3,21.7,,313,6.599,82.0,26.0
MANTECA.A,20130815,2359,0.000,,33.9,15.0,,,0,0,,,23.9,22.2,,305,6.091,94.0,39.0
MANTECA.A,20130816,2359,0.000,,33.9,17.2,,,0,0,,,23.3,22.2,,298,6.345,93.0,36.0
MANTECA.A,20130817,2359,0.000,,31.7,15.0,,,0,0,,,23.3,22.2,,243,5.584,75.0,38.0
MANTECA.A,20130818,2359,0.000,,36.7,16.1,,,0,0,,,23.3,22.8,,269,5.076,84.0,33.0
MANTECA.A,20130819,2359,0.000,,37.8,17.8,,,0,0,,,23.9,22.8,,267,6.091,92.0,32.0
MANTECA.A,20130820,2359,0.000,,32.8,17.2,,,0,0,,,24.4,23.3,,279,6.091,81.0,37.0
MANTECA.A,20130821,2359,0.000,,31.1,15.0,,,0,0,,,24.4,23.3,,289,5.584,87.0,38.0
MANTECA.A,20130822,2359,0.000,,30.0,12.2,,,0,0,,,23.9,22.8,,287,5.838,95.0,41.0
MANTECA.A,20130823,2359,0.000,,30.6,11.1,,,0,0,,,23.3,22.2,,291,5.584,95.0,37.0
MANTECA.A,20130824,2359,0.000,,31.7,11.7,,,0,0,,,23.3,22.2,,284,6.345,88.0,33.0
MANTECA.A,20130825,2359,0.000,,31.7,15.6,,,0,0,,,23.9,22.8,,274,5.330,92.0,40.0
MANTECA.A,20130826,2359,0.000,,29.4,13.9,,,0,0,,,23.3,22.8,,284,5.330,94.0,37.0
MANTECA.A,20130827,2359,0.000,,32.2,12.2,,,0,0,,,23.3,22.2,,278,5.838,94.0,32.0
MANTECA.A,20130828,2359,0.000,,31.7,15.0,,,0,0,,,23.3,22.8,,275,5.330,88.0,39.0
MANTECA.A,20130829,2359,0.000,,31.1,16.1,,,0,0,,,23.3,22.8,,278,5.584,91.0,37.0
MANTECA.A,20130830,2359,0.000,,35.0,12.8,,,0,0,,,23.3,22.2,,284,5.838,97.0,27.0
MANTECA.A,20130831,2359,0.000,,33.9,13.9,,,0,0,,,23.3,22.2,,270,5.838,89.0,31.0
MANTECA.A,20130901,2359,0.000,,32.2,17.8,,,0,0,,,23.3,22.2,,249,5.330,70.0,37.0
MANTECA.A,20130902,2359,0.254,,26.1,19.4,,,0,0,,,23.3,22.8,,126,2.538,80.0,59.0
MANTECA.A,20130903,2359,0.000,,29.4,16.1,,,0,0,,,23.3,22.8,,267,5.838,81.0,34.0
MANTECA.A,20130904,2359,0.000,,30.6,15.6,,,0,0,,,23.9,22.2,,265,5.584,88.0,34.0
MANTECA.A,20130905,2359,0.000,,29.4,14.4,,,0,0,,,23.3,22.2,,272,5.584,87.0,34.0
MANTECA.A,20130906,2359,0.000,,32.8,11.7,,,0,0,,,22.8,21.7,,268,5.076,93.0,28.0
MANTECA.A,20130907,2359,0.000,,35.0,12.8,,,0,0,,,22.8,21.7,,265,5.330,91.0,26.0
MANTECA.A,20130908,2359,0.000,,35.6,13.9,,,0,0,,,22.8,21.7,,261,5.584,86.0,26.0
MANTECA.A,20130909,2359,0.000,,36.1,14.4,,,0,0,,,23.3,21.7,,246,5.330,84.0,25.0
MANTECA.A,20130910,2359,0.000,,32.2,13.9,,,0,0,,,23.3,22.2,,246,4.822,88.0,38.0
MANTECA.A,20130911,2359,0.000,,27.2,12.8,,,0,0,,,22.8,21.7,,206,3.553,98.0,50.0
MANTECA.A,20130912,2359,0.000,,29.4,12.2,,,0,0,,,22.8,21.7,,247,4.315,98.0,46.0
MANTECA.A,20130913,2359,0.000,,32.2,14.4,,,NW,2,,,23.3,22.2,,244,4.569,90.8,39.3
MANTECA.A,20130914,2359,0.000,,28.9,14.4,,,NW,3,,,23.3,21.7,,250,4.315,84.0,46.0
MANTECA.A,20130915,2359,0.000,,29.4,14.4,,,W,3,,,23.3,21.7,,252,0.254,,
MANTECA.A,20130916,2359,0.000,,30.0,12.2,,,NW,2,,,22.2,21.7,,249,4.569,97.0,39.8
MANTECA.A,20130917,2359,0.000,,26.7,14.4,,,0,0,,,22.2,21.7,,248,5.076,80.0,44.0
MANTECA.A,20130918,2359,0.000,,28.9,12.2,,,0,0,,,22.2,21.1,,245,4.822,85.0,26.0
MANTECA.A,20130919,2359,0.000,,31.7,8.9,,,0,0,,,21.7,20.6,,247,4.315,94.0,25.0
