

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 94% of requested data were available from station TRACY.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          718            0            3           10            0        "
"                     TRACY.A      MATENCA.A    MODESTO.A    TRACY.C      "
"Air Temps, max/min     679           35            0           17            0        "
"                     TRACY.A      MANTECA.A    MODESTO.A    TRACY.C      "
"Soil Temps, max/min    591          130            0           10            0        "
"                     TRACY.A      MANTECA.A    MODESTO.A    LODI.A       "
"Rel. Humidity          704            0            0            0           27        "
"                     TRACY.A      none         none         none         "
"ETo                    718            0            0            0           13        "
"                     TRACY.A      none         none         none         "
"Solar Radiation        690           27            0           14            0        "
"                     TRACY.A      MANTECA.A    MODESTO.A    MANTECA.A    "
"Wind Speed & Dir       710            0            0            0           21        "
"                     TRACY.A      none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
TRACY.A,20130810,2359,0.000,,28.9,11.1,,,0,0,,,20.6,18.9,,292,6.091,91.0,35.0
TRACY.A,20130811,2359,0.000,,30.6,11.1,,,0,0,,,20.6,19.4,,292,6.599,88.0,28.0
TRACY.A,20130812,2359,0.000,,31.7,12.2,,,0,0,,,21.1,19.4,,293,6.599,83.0,24.0
TRACY.A,20130813,2359,0.000,,32.8,10.6,,,0,0,,,21.7,19.4,,298,6.599,89.0,24.0
TRACY.A,20130814,2359,0.000,,33.3,12.2,,,0,0,,,21.1,19.4,,302,7.614,71.0,18.0
TRACY.A,20130815,2359,0.000,,33.9,13.3,,,0,0,,,21.7,19.4,,295,6.853,81.0,25.0
TRACY.A,20130816,2359,0.000,,34.4,14.4,,,0,0,,,22.2,20.0,,286,6.853,85.0,29.0
TRACY.A,20130817,2359,0.000,,32.8,15.6,,,0,0,,,21.7,20.0,,217,6.091,65.0,28.0
TRACY.A,20130818,2359,0.000,,35.0,15.0,,,0,0,,,22.2,20.6,,259,5.330,81.0,25.0
TRACY.A,20130819,2359,0.000,,36.1,17.8,,,0,0,,,22.8,21.1,,265,6.853,64.0,26.0
TRACY.A,20130820,2359,0.000,,32.8,17.2,,,0,0,,,24.4,23.3,,279,6.599,75.0,31.0
TRACY.A,20130821,2359,0.000,,31.7,14.4,,,0,0,,,23.9,21.1,,276,5.838,79.0,28.0
TRACY.A,20130822,2359,0.000,,28.9,13.3,,,0,0,,,23.3,21.7,,277,6.091,87.0,35.0
TRACY.A,20130823,2359,0.000,,30.6,11.1,,,0,0,,,22.2,20.6,,279,6.345,90.0,28.0
TRACY.A,20130824,2359,0.000,,30.0,12.2,,,0,0,,,21.7,20.0,,274,6.599,81.0,32.0
TRACY.A,20130825,2359,0.000,,31.1,15.6,,,0,0,,,22.8,20.6,,270,5.330,86.0,41.0
TRACY.A,20130826,2359,0.000,,29.4,12.8,,,0,0,,,22.2,20.6,,274,5.584,91.0,36.0
TRACY.A,20130827,2359,0.000,,32.2,13.3,,,0,0,,,22.2,20.0,,269,6.345,75.0,25.0
TRACY.A,20130828,2359,0.000,,31.7,15.0,,,0,0,,,22.2,20.6,,270,6.345,75.0,29.0
TRACY.A,20130829,2359,0.000,,31.7,14.4,,,0,0,,,22.8,20.6,,269,6.091,87.0,29.0
