"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 90% of requested data were available from station CUYAMA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          685            0            0           46            0        "
"                     CUYAMA.A     none         NWCUYAMA.C   CUYAMA.A     "
"Air Temps, max/min     618            0            0          113            0        "
"                     CUYAMA.A     none         NWCUYAMA.C   CUYAMA.A     "
"Soil Temps, max/min    604            0            0          127            0        "
"                     CUYAMA.A     none         none         CUYAMA.A     "
"Rel. Humidity          675            0            0            0           56        "
"                     CUYAMA.A     none         none         none         "
"ETo                    685            0            0            0           46        "
"                     CUYAMA.A     none         none         none         "
"Solar Radiation        677            0            0           54            0        "
"                     CUYAMA.A     none         none         CUYAMA.A     "
"Wind Speed & Dir       677            0            0            0           54        "
"                     CUYAMA.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
CUYAMA.A,20130810,2359,0.000,,30.0,10.0,,,0,0,,,25.0,22.2,,301,6.345,74.0,26.0
CUYAMA.A,20130811,2359,0.000,,30.6,11.7,,,0,0,,,25.0,22.2,,307,6.345,81.0,24.0
CUYAMA.A,20130812,2359,0.000,,32.2,11.7,,,0,0,,,25.0,22.2,,307,6.599,74.0,21.0
CUYAMA.A,20130813,2359,0.000,,33.3,11.7,,,0,0,,,25.0,22.8,,310,6.853,71.0,16.0
CUYAMA.A,20130814,2359,0.000,,34.4,12.2,,,0,0,,,25.0,22.8,,311,7.107,63.0,14.0
CUYAMA.A,20130815,2359,0.000,,35.0,12.8,,,0,0,,,25.0,22.8,,301,7.360,61.0,15.0
CUYAMA.A,20130816,2359,0.000,,34.4,15.6,,,0,0,,,25.6,23.3,,293,7.107,63.0,19.0
CUYAMA.A,20130817,2359,0.000,,34.4,16.1,,,0,0,,,25.6,23.9,,295,7.107,63.0,18.0
CUYAMA.A,20130818,2359,0.000,,35.0,15.6,,,0,0,,,26.1,23.9,,298,7.107,63.0,19.0
CUYAMA.A,20130819,2359,0.000,,38.9,16.1,,,0,0,,,25.6,23.9,,212,5.330,61.0,20.0
CUYAMA.A,20130820,2359,0.000,,37.8,12.8,,,0,0,,,26.7,23.9,,304,6.853,72.0,9.0
CUYAMA.A,20130821,2359,0.000,,37.8,11.7,,,0,0,,,25.6,23.3,,303,7.360,73.0,9.0
CUYAMA.A,20130822,2359,0.000,,36.7,10.0,,,0,0,,,25.0,22.8,,299,6.599,74.0,11.0
CUYAMA.A,20130823,2359,0.000,,32.8,10.6,,,0,0,,,25.0,22.8,,298,6.345,68.0,21.0
CUYAMA.A,20130824,2359,0.000,,32.8,12.8,,,0,0,,,25.0,23.3,,291,6.599,71.0,21.0
CUYAMA.A,20130825,2359,0.000,,32.2,12.2,,,0,0,,,25.0,23.3,,292,6.345,68.0,23.0
CUYAMA.A,20130826,2359,0.000,,32.2,10.6,,,0,0,,,25.0,22.8,,292,6.345,72.0,21.0
CUYAMA.A,20130827,2359,0.000,,33.9,16.1,,,0,0,,,25.0,23.3,,201,4.822,71.0,29.0
CUYAMA.A,20130828,2359,0.000,,35.0,15.0,,,0,0,,,25.6,23.3,,286,6.599,64.0,20.0
CUYAMA.A,20130829,2359,0.000,,33.3,13.9,,,0,0,,,25.6,23.3,,281,6.599,66.0,25.0
CUYAMA.A,20130830,2359,0.000,,34.4,16.1,,,0,0,,,25.6,23.9,,273,6.345,71.0,26.0
CUYAMA.A,20130831,2359,0.000,,34.4,17.8,,,0,0,,,26.7,24.4,,152,3.553,75.0,30.0
CUYAMA.A,20130901,2359,0.000,,33.9,17.2,,,0,0,,,38.9,24.4,,233,5.076,83.0,35.0
