"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station GOLETAHL.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          713            8            0           10            0        "
"                     GOLETAHL.A   STBARBRA.A   STBARBRA.C   GOLETAHL.A   "
"Air Temps, max/min     685           12            0           34            0        "
"                     GOLETAHL.A   STBARBRA.A   STBARBRA.C   GOLETAHL.A   "
"Soil Temps, max/min    719            1            0            0           11        "
"                     GOLETAHL.A   STBARBRA.A   none         none         "
"Rel. Humidity          705            0            0            0           26        "
"                     GOLETAHL.A   none         none         none         "
"ETo                    721            0            0            0           10        "
"                     GOLETAHL.A   none         none         none         "
"Solar Radiation        720            1            0           10            0        "
"                     GOLETAHL.A   STBARBRA.A   none         GOLETAHL.A   "
"Wind Speed & Dir       713            0            0            0           18        "
"                     GOLETAHL.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
GOLETAHL.A,20130810,2359,0.000,,20.6,13.3,,,0,0,,,22.2,21.7,,291,4.569,94.0,68.0
GOLETAHL.A,20130811,2359,0.000,,22.8,12.2,,,0,0,,,22.2,21.7,,303,4.822,96.0,58.0
GOLETAHL.A,20130812,2359,0.000,,22.2,13.3,,,0,0,,,22.2,21.7,,279,4.569,96.0,60.0
GOLETAHL.A,20130813,2359,0.000,,22.8,13.3,,,0,0,,,22.2,22.2,,282,4.569,96.0,61.0
GOLETAHL.A,20130814,2359,0.000,,23.9,13.9,,,0,0,,,22.2,22.2,,298,4.822,96.0,57.0
GOLETAHL.A,20130815,2359,0.000,,23.9,13.9,,,0,0,,,22.2,22.2,,286,4.569,96.0,61.0
GOLETAHL.A,20130816,2359,0.254,,24.4,13.3,,,0,0,,,22.8,22.2,,294,5.076,96.0,52.0
GOLETAHL.A,20130817,2359,0.000,,26.1,13.3,,,0,0,,,22.8,22.8,,303,5.076,96.0,46.0
GOLETAHL.A,20130818,2359,0.000,,26.1,13.9,,,0,0,,,22.8,22.8,,302,5.076,95.0,54.0
GOLETAHL.A,20130819,2359,0.000,,21.1,13.3,,,0,0,,,22.8,22.8,,244,3.807,96.0,66.0
GOLETAHL.A,20130820,2359,0.000,,22.2,12.2,,,0,0,,,22.8,22.8,,278,4.569,96.0,59.0
GOLETAHL.A,20130821,2359,0.000,,23.9,12.8,,,0,0,,,22.8,22.2,,287,4.822,95.0,46.0
GOLETAHL.A,20130822,2359,0.000,,27.8,14.4,,,0,0,,,22.8,22.2,,305,5.584,81.0,29.0
GOLETAHL.A,20130823,2359,0.254,,27.2,14.4,,,0,0,,,22.8,22.2,,306,5.330,87.0,36.0
GOLETAHL.A,20130824,2359,0.000,,26.7,14.4,,,0,0,,,22.8,22.2,,301,5.076,89.0,37.0
GOLETAHL.A,20130825,2359,0.000,,30.0,12.8,,,0,0,,,22.8,22.2,,296,5.330,97.0,31.0
GOLETAHL.A,20130826,2359,0.000,,30.0,15.6,,,0,0,,,22.8,22.8,,301,5.838,93.0,27.0
GOLETAHL.A,20130827,2359,0.000,,27.2,17.2,,,0,0,,,22.8,22.8,,283,5.330,79.0,42.0
GOLETAHL.A,20130828,2359,0.000,,28.3,15.6,,,0,0,,,23.3,22.8,,292,5.330,90.0,40.0
