"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station Santa_Maria_II.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            1            1            9            0        "
"                     Santa_Maria_ûII.A         Nipomo.A     SISQUOC.A    STAMARIA.C   "
"Air Temps, max/min     692            6           12           21            0        "
"                     Santa_Maria_ûII.A         Nipomo.A     SISQUOC.A    STAMARIA.C   "
"Soil Temps, max/min    620            0            0          111            0        "
"                     Santa_Maria_ûII.A         none         none         STAMARIA.A   "
"Rel. Humidity          716            0            0            0           15        "
"                     Santa_Maria_ûII.A         none         none         none         "
"ETo                    721            0            0            0           10        "
"                     Santa_Maria_ûII.A         none         none         none         "
"Solar Radiation        714            4            4            9            0        "
"                     Santa_Maria_ûII.A         Nipomo.A     SISQUOC.A    STAMARIA.A   "
"Wind Speed & Dir       713            0            0            0           18        "
"                     Santa_Maria_ûII.A         none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Santa_Maria_II.A,20130810,2359,0.000,,19.4,12.8,,,0,0,,,21.7,19.4,,245,3.807,94.0,75.0
Santa_Maria_II.A,20130811,2359,0.000,,18.3,12.2,,,0,0,,,21.7,19.4,,247,3.553,94.0,77.0
Santa_Maria_II.A,20130812,2359,0.000,,19.4,12.2,,,0,0,,,22.2,19.4,,269,4.061,95.0,73.0
Santa_Maria_II.A,20130813,2359,0.000,,21.1,11.7,,,0,0,,,22.2,19.4,,289,4.315,95.0,68.0
Santa_Maria_II.A,20130814,2359,0.000,,21.7,10.0,,,0,0,,,22.2,20.0,,312,4.822,95.0,65.0
Santa_Maria_II.A,20130815,2359,0.000,,26.1,10.0,,,0,0,,,21.7,20.0,,313,5.076,95.0,54.0
Santa_Maria_II.A,20130816,2359,0.000,,23.3,11.1,,,0,0,,,21.7,19.4,,298,4.822,95.0,61.0
Santa_Maria_II.A,20130817,2359,0.000,,21.7,12.8,,,0,0,,,21.7,19.4,,285,4.315,95.0,69.0
Santa_Maria_II.A,20130818,2359,0.000,,22.8,13.3,,,0,0,,,21.7,19.4,,268,4.061,93.0,67.0
Santa_Maria_II.A,20130819,2359,0.000,,23.3,12.8,,,0,0,,,21.7,19.4,,280,4.315,95.0,63.0
Santa_Maria_II.A,20130820,2359,0.000,,22.8,10.6,,,0,0,,,21.1,19.4,,257,4.061,94.0,67.0
Santa_Maria_II.A,20130821,2359,0.000,,22.8,11.1,,,0,0,,,21.7,19.4,,247,3.807,92.0,59.0
Santa_Maria_II.A,20130822,2359,0.000,,22.2,10.6,,,0,0,,,21.7,18.9,,298,4.822,93.0,61.0
Santa_Maria_II.A,20130823,2359,0.000,,20.6,11.1,,,0,0,,,21.7,19.4,,250,3.807,94.0,68.0
Santa_Maria_II.A,20130824,2359,0.000,,24.4,12.8,,,0,0,,,21.7,19.4,,288,4.569,93.0,61.0
Santa_Maria_II.A,20130825,2359,0.000,,23.9,11.7,,,0,0,,,21.7,19.4,,270,4.315,95.0,64.0
Santa_Maria_II.A,20130826,2359,0.000,,21.1,12.8,,,0,0,,,21.1,19.4,,261,4.061,95.0,72.0
Santa_Maria_II.A,20130827,2359,0.000,,20.6,11.7,,,0,0,,,21.1,18.9,,275,4.315,95.0,71.0
Santa_Maria_II.A,20130828,2359,0.000,,22.8,12.8,,,0,0,,,21.1,18.9,,263,4.061,95.0,66.0
Santa_Maria_II.A,20130829,2359,0.000,,22.2,13.3,,,0,0,,,21.1,18.9,,264,4.061,95.0,69.0
Santa_Maria_II.A,20130830,2359,0.000,,27.2,13.3,,,0,0,,,21.1,19.4,,273,4.822,94.0,51.0
Santa_Maria_II.A,20130831,2359,0.000,,27.8,14.4,,,0,0,,,21.7,19.4,,216,3.807,92.0,53.0
Santa_Maria_II.A,20130901,2359,0.000,,27.8,15.6,,,0,0,,,21.7,20.0,,257,4.315,89.0,55.0
Santa_Maria_II.A,20130902,2359,0.000,,25.6,14.4,,,0,0,,,21.7,19.4,,268,4.315,92.0,66.0
Santa_Maria_II.A,20130903,2359,4.315,,22.8,14.4,,,0,0,,,21.7,20.0,,263,4.315,94.0,52.0
Santa_Maria_II.A,20130904,2359,0.000,,23.3,12.8,,,0,0,,,21.7,20.0,,270,4.315,93.0,62.0
Santa_Maria_II.A,20130905,2359,0.000,,23.3,13.9,,,0,0,,,21.7,20.0,,269,4.315,93.0,61.0
Santa_Maria_II.A,20130906,2359,0.000,,23.9,11.1,,,0,0,,,21.7,18.9,,275,4.315,92.0,58.0
Santa_Maria_II.A,20130907,2359,0.000,,22.2,10.6,,,0,0,,,21.7,19.4,,267,4.061,95.0,68.0
Santa_Maria_II.A,20130908,2359,0.000,,20.6,12.8,,,0,0,,,21.7,19.4,,240,3.553,95.0,69.0
Santa_Maria_II.A,20130909,2359,0.000,,21.1,12.8,,,0,0,,,21.7,19.4,,231,3.553,95.0,69.0
Santa_Maria_II.A,20130910,2359,0.000,,22.2,13.3,,,0,0,,,21.1,18.9,,212,3.300,94.0,65.0
Santa_Maria_II.A,20130911,2359,0.000,,22.2,11.7,,,0,0,,,21.7,21.1,,187,2.792,93.0,65.0
Santa_Maria_II.A,20130912,2359,0.000,,20.6,11.7,,,0,0,,,21.1,20.6,,225,3.300,94.0,72.0
Santa_Maria_II.A,20130913,2359,0.000,,20.6,12.8,,,W,2,,,21.1,20.6,,238,3.553,94.9,74.3
Santa_Maria_II.A,20130914,2359,0.000,,19.4,12.2,,,W,2,,,21.1,20.6,,249,3.807,95.2,70.7
Santa_Maria_II.A,20130915,2359,0.000,,21.7,10.6,,,W,2,,,20.6,20.0,,258,3.807,94.2,64.1
Santa_Maria_II.A,20130916,2359,0.000,,20.0,11.1,,,NW,2,,,20.6,20.0,,254,3.553,94.9,73.4
