University of California Statewide Integrated Pest Management Program
How to Manage Pests California Weather Data
Retrieve data in comma delimited data file format
 
Weather database request  
 
Time Period August 10, 2013 to August 10, 2015, retrieved on August 11, 2015
 (731 days)
 
To save this text, you can
Select SAVE AS and TEXT from the top menu of your browser, or
copy and paste the data to a new document in a word processor
and save it as text.
 
Note Only 97% of requested data were available from station Gilroy.A.    See Retrieval Table.
 
                     Retrieval Table
                     Stations used to fill in missing data
 
                     Data Values  Data Values  Data Values  Data Values  Data Values
                        from         from         from         from        Missing
Variable             Station      Backup 1     Backup 2     Averages
Precipitation          715            6            0           10            0        
                     Gilroy.A     HOLLISTR.A   SJ_VALLEY.A  GILROY.C     
Air Temps, maxmin     713            8            0           10            0        
                     Gilroy.A     HOLLISTR.A   SJ_VALLEY.A  GILROY.C     
Soil Temps, maxmin    702            0            0            0           29        
                     Gilroy.A     none         none         none         
Rel. Humidity          708            0            0            0           23        
                     Gilroy.A     none         none         none         
ETo                    715            0            0            0           16        
                     Gilroy.A     none         none         none         
Solar Radiation        713            6            0           12            0        
                     Gilroy.A     HOLLISTR.A   SJ_VALLEY.A  SANJOSE.A    
Wind Speed & Dir       707            0            0            0           24        
                     Gilroy.A     none         none         none         
 
Variable   Description                   Units
   1       Database name                 
   2       Date year,month,day          yyyymmdd
   3       Observation time              hhmm
   4       Precipitation, amount         Millimeters
   5       Precipitation, type           (coded)
   6       Air temperature, maximum      Celsius
   7       Air temperature, minimum      Celsius
   8       Air temperature, observed     Celsius
   9       Weather conditions            (coded)
  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm
  11       Wind, speed                   Meters per second
  12       Bulb temperature, wet         Celsius
  13       Bulb temperature, dry         Celsius
  14       Soil temperature, maximum     Celsius
  15       Soil temperature, minimum     Celsius
  16       Pan evaporation               Millimeters
  17       Solar radiation               Watts per sq. meters
  18       Reference evapotranspiration  Millimeters
  19       Relative humidity, minimum    Percent
  20       Relative humidity, maximum    Percent
 
Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
Gilroy.A,20130810,2359,0.000,,28.3,13.3,,,0,0,,,20.6,19.4,,260,4.822,100.0,46.0
Gilroy.A,20130811,2359,0.000,,28.9,12.2,,,0,0,,,20.6,19.4,,267,5.330,100.0,32.0
Gilroy.A,20130812,2359,0.000,,28.3,8.9,,,0,0,,,20.6,18.9,,262,4.822,100.0,42.0
Gilroy.A,20130813,2359,0.000,,32.2,12.2,,,0,0,,,20.6,19.4,,293,5.584,100.0,28.0
Gilroy.A,20130814,2359,0.000,,31.1,8.3,,,0,0,,,21.1,18.9,,302,6.599,100.0,25.0
Gilroy.A,20130815,2359,0.000,,31.1,12.8,,,0,0,,,21.1,19.4,,279,6.345,100.0,38.0
Gilroy.A,20130816,2359,0.000,,33.3,15.6,,,0,0,,,21.1,20.0,,290,6.599,100.0,33.0
Gilroy.A,20130817,2359,0.000,,30.6,14.4,,,0,0,,,21.1,20.0,,212,4.315,88.0,33.0
Gilroy.A,20130818,2359,0.000,,33.9,12.8,,,0,0,,,21.1,19.4,,264,5.076,100.0,27.0
Gilroy.A,20130819,2359,0.000,,32.8,12.8,,,0,0,,,21.1,19.4,,264,5.330,100.0,36.0
Gilroy.A,20130820,2359,0.000,,26.1,13.3,,,0,0,,,20.0,19.4,,262,4.822,100.0,49.0
Gilroy.A,20130821,2359,0.000,,27.8,12.8,,,0,0,,,20.6,19.4,,264,4.822,100.0,38.0
Gilroy.A,20130822,2359,0.000,,26.1,9.4,,,0,0,,,20.6,18.9,,220,3.807,100.0,45.0
Gilroy.A,20130823,2359,0.000,,29.4,13.9,,,0,0,,,20.6,19.4,,257,5.076,87.0,35.0
Gilroy.A,20130824,2359,0.000,,28.9,9.4,,,0,0,,,20.6,18.9,,277,5.838,100.0,37.0
Gilroy.A,20130825,2359,0.000,,29.4,14.4,,,0,0,,,21.1,19.4,,255,4.822,100.0,40.0
Gilroy.A,20130826,2359,0.000,,27.8,15.0,,,0,0,,,20.6,20.0,,263,5.838,100.0,39.0
Gilroy.A,20130827,2359,0.000,,31.7,10.6,,,0,0,,,21.1,19.4,,274,5.838,91.0,32.0
Gilroy.A,20130828,2359,0.000,,31.1,11.7,,,0,0,,,20.6,19.4,,269,5.584,100.0,33.0
Gilroy.A,20130829,2359,0.000,,30.6,15.6,,,0,0,,,20.6,19.4,,253,5.838,100.0,37.0
Gilroy.A,20130830,2359,0.000,,35.6,14.4,,,0,0,,,20.6,19.4,,271,6.853,100.0,22.0
Gilroy.A,20130831,2359,0.000,,33.3,14.4,,,0,0,,,21.7,19.4,,264,6.091,82.0,28.0
Gilroy.A,20130901,2359,0.000,,31.7,16.7,,,0,0,,,21.1,20.0,,246,5.584,82.0,35.0
Gilroy.A,20130902,2359,0.000,,30.0,18.3,,,0,0,,,21.1,20.6,,208,4.822,83.0,40.0
Gilroy.A,20130903,2359,0.000,,28.9,15.6,,,0,0,,,20.6,20.0,,268,6.345,87.0,32.0
