"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station SNTACRUZ.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            0            0            0           11        "
"                     SNTACRUZ.A   WATSONVILLE_ûWEST.A       WTSNVILE.C   SNTACRUZ.A   "
"Air Temps, max/min     716            0            0           15            0        "
"                     SNTACRUZ.A   WATSONVILLE_ûWEST.A       WTSNVILE.C   SNTACRUZ.A   "
"Soil Temps, max/min    707            0            0            0           24        "
"                     SNTACRUZ.A   WATSONVILLE_ûWEST.A       none         none         "
"Rel. Humidity          705            0            0            0           26        "
"                     SNTACRUZ.A   none         none         none         "
"ETo                    720            0            0            0           11        "
"                     SNTACRUZ.A   none         none         none         "
"Solar Radiation        705            0            0           26            0        "
"                     SNTACRUZ.A   WATSONVILLE_ûWEST.A       none         SNTACRUZ.A   "
"Wind Speed & Dir       712            0            0            0           19        "
"                     SNTACRUZ.A   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SNTACRUZ.A,20130810,2359,0.000,,23.9,13.3,,,0,0,,,27.8,24.4,,260,4.061,91.0,54.0
SNTACRUZ.A,20130811,2359,0.000,,22.8,12.8,,,0,0,,,27.8,25.0,,252,3.807,92.0,56.0
SNTACRUZ.A,20130812,2359,0.000,,22.8,11.1,,,0,0,,,,,,262,4.061,94.0,58.0
SNTACRUZ.A,20130813,2359,0.000,,23.9,9.4,,,0,0,,,,,,290,4.569,95.0,50.0
SNTACRUZ.A,20130814,2359,0.000,,26.1,8.3,,,0,0,,,,,,300,4.822,95.0,37.0
SNTACRUZ.A,20130815,2359,0.000,,31.1,11.7,,,0,0,,,,,,299,5.076,94.0,35.0
SNTACRUZ.A,20130816,2359,0.000,,30.0,12.8,,,0,0,,,,,,294,4.822,95.0,43.0
SNTACRUZ.A,20130817,2359,0.000,,23.9,11.7,,,0,0,,,,,,197,3.046,95.0,58.0
SNTACRUZ.A,20130818,2359,0.000,,22.2,11.7,,,0,0,,,,,,262,4.061,95.0,63.0
SNTACRUZ.A,20130819,2359,0.000,,20.0,11.7,,,0,0,,,27.8,25.0,,252,3.807,95.0,67.0
SNTACRUZ.A,20130820,2359,0.000,,19.4,13.3,,,0,0,,,26.7,25.0,,206,3.300,95.0,75.0
SNTACRUZ.A,20130821,2359,0.000,,21.1,11.7,,,0,0,,,27.2,24.4,,253,3.807,92.0,59.0
SNTACRUZ.A,20130822,2359,0.000,,23.9,10.6,,,0,0,,,27.8,24.4,,254,4.061,94.0,48.0
SNTACRUZ.A,20130823,2359,0.000,,25.0,10.0,,,0,0,,,27.8,24.4,,263,4.061,94.0,48.0
SNTACRUZ.A,20130824,2359,0.000,,25.6,10.6,,,0,0,,,28.3,24.4,,278,4.315,95.0,52.0
SNTACRUZ.A,20130825,2359,0.254,,24.4,12.8,,,0,0,,,27.8,25.0,,282,4.569,92.0,59.0
SNTACRUZ.A,20130826,2359,0.254,,27.2,12.8,,,0,0,,,,,,269,4.315,92.0,44.0
SNTACRUZ.A,20130827,2359,0.000,,27.2,10.6,,,0,0,,,28.3,24.4,,282,4.569,93.0,38.0
SNTACRUZ.A,20130828,2359,0.000,,28.9,10.6,,,0,0,,,,,,284,4.822,94.0,40.0
SNTACRUZ.A,20130829,2359,0.000,,28.9,13.3,,,0,0,,,,,,281,4.569,95.0,47.0
SNTACRUZ.A,20130830,2359,0.000,,32.2,12.8,,,0,0,,,,,,280,4.822,94.0,34.0
