"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 97% of requested data were available from station Watsonville_West-2.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          720            1            1            9            0        "
"                     Watsonville_ûWest-2.A     FREEDOM.A    CASTROVL.A   WTSNVILE.C   "
"Air Temps, max/min     695           11           15           10            0        "
"                     Watsonville_ûWest-2.A     FREEDOM.A    CASTROVL.A   WTSNVILE.C   "
"Soil Temps, max/min    696           25            0           10            0        "
"                     Watsonville_ûWest-2.A     CASTROVL.A   none         CASTROVL.A   "
"Rel. Humidity          714            0            0            0           17        "
"                     Watsonville_ûWest-2.A     none         none         none         "
"ETo                    721            0            0            0           10        "
"                     Watsonville_ûWest-2.A     none         none         none         "
"Solar Radiation        692           10           13           16            0        "
"                     Watsonville_ûWest-2.A     FREEDOM.A    CASTROVL.A   CASTROVL.A   "
"Wind Speed & Dir       713            0            0            0           18        "
"                     Watsonville_ûWest-2.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
Watsonville_West-2.A,20130810,2359,0.000,,18.3,12.8,,,0,0,,,25.0,21.7,,239,3.553,100.0,85.0
Watsonville_West-2.A,20130811,2359,0.000,,17.2,12.2,,,0,0,,,23.9,22.2,,190,2.538,100.0,92.0
Watsonville_West-2.A,20130812,2359,0.000,,16.7,12.2,,,0,0,,,23.9,21.7,,190,2.538,100.0,92.0
Watsonville_West-2.A,20130813,2359,0.254,,17.8,11.7,,,0,0,,,23.9,21.7,,258,3.553,100.0,82.0
Watsonville_West-2.A,20130814,2359,0.000,,23.3,11.7,,,0,0,,,25.0,20.6,,278,4.315,100.0,57.0
Watsonville_West-2.A,20130815,2359,0.000,,25.0,13.9,,,0,0,,,26.1,21.1,,292,4.822,100.0,63.0
Watsonville_West-2.A,20130816,2359,0.000,,22.2,12.2,,,0,0,,,26.7,22.2,,265,4.061,100.0,71.0
Watsonville_West-2.A,20130817,2359,0.000,,21.1,12.8,,,0,0,,,25.0,22.8,,174,2.284,100.0,66.0
Watsonville_West-2.A,20130818,2359,0.000,,18.3,12.8,,,0,0,,,25.0,22.2,,217,3.046,100.0,85.0
Watsonville_West-2.A,20130819,2359,0.000,,16.1,11.7,,,0,0,,,21.7,20.6,,99,3.046,100.0,89.0
Watsonville_West-2.A,20130820,2359,0.000,,19.4,13.9,,,0,0,,,23.9,22.2,,188,2.284,100.0,85.0
Watsonville_West-2.A,20130821,2359,0.000,,18.3,12.8,,,0,0,,,25.0,21.7,,252,3.807,100.0,69.0
Watsonville_West-2.A,20130822,2359,0.000,,20.0,12.2,,,0,0,,,23.9,21.7,,259,4.061,100.0,64.0
Watsonville_West-2.A,20130823,2359,0.000,,21.7,12.8,,,0,0,,,24.4,20.6,,254,3.807,100.0,60.0
Watsonville_West-2.A,20130824,2359,0.000,,21.1,12.2,,,0,0,,,25.0,21.1,,250,3.807,100.0,68.0
Watsonville_West-2.A,20130825,2359,0.000,,21.7,13.9,,,0,0,,,25.6,21.7,,267,4.061,100.0,69.0
Watsonville_West-2.A,20130826,2359,0.000,,22.2,14.4,,,0,0,,,26.1,22.2,,242,3.807,100.0,62.0
Watsonville_West-2.A,20130827,2359,0.000,,17.8,9.4,,,0,0,,,22.2,20.0,,172,4.315,100.0,60.0
Watsonville_West-2.A,20130828,2359,0.254,,21.7,11.1,,,0,0,,,26.1,22.2,,271,4.061,100.0,70.0
